,time,open,high,low,close,tick_volume,spread,real_volume
0,2020-01-10 00:00:00,75.109,75.117,75.011,75.024,1282,4,0
1,2020-01-10 01:00:00,75.023,75.091,75.023,75.042,1761,0,0
2,2020-01-10 02:00:00,75.042,75.295,75.03,75.095,4904,0,0
3,2020-01-10 03:00:00,75.095,75.191,75.078,75.091,2624,0,0
4,2020-01-10 04:00:00,75.091,75.179,75.067,75.177,1681,0,0
5,2020-01-10 05:00:00,75.178,75.248,75.14,75.242,1313,0,0
6,2020-01-10 06:00:00,75.242,75.331,75.236,75.287,1655,0,0
7,2020-01-10 07:00:00,75.287,75.404,75.264,75.367,1802,0,0
8,2020-01-10 08:00:00,75.367,75.426,75.362,75.366,1561,0,0
9,2020-01-10 09:00:00,75.366,75.38,75.293,75.362,2213,0,0
10,2020-01-10 10:00:00,75.362,75.362,75.278,75.309,2840,0,0
11,2020-01-10 11:00:00,75.309,75.405,75.282,75.394,2552,0,0
12,2020-01-10 12:00:00,75.394,75.4,75.352,75.385,1916,0,0
13,2020-01-10 13:00:00,75.386,75.49,75.377,75.457,1808,0,0
14,2020-01-10 14:00:00,75.457,75.46,75.389,75.404,1889,0,0
15,2020-01-10 15:00:00,75.404,75.523,75.357,75.433,4964,0,0
16,2020-01-10 16:00:00,75.433,75.512,75.387,75.499,4193,0,0
17,2020-01-10 17:00:00,75.499,75.672,75.463,75.659,3856,0,0
18,2020-01-10 18:00:00,75.661,75.662,75.475,75.574,3054,0,0
19,2020-01-10 19:00:00,75.577,75.67,75.525,75.604,1998,0,0
20,2020-01-10 20:00:00,75.604,75.643,75.602,75.617,838,0,0
21,2020-01-10 21:00:00,75.617,75.699,75.617,75.673,1042,0,0
22,2020-01-10 22:00:00,75.673,75.675,75.604,75.625,1410,0,0
23,2020-01-10 23:00:00,75.623,75.626,75.539,75.549,1056,0,0
24,2020-01-13 00:00:00,75.533,75.575,75.498,75.533,1271,6,0
25,2020-01-13 01:00:00,75.533,75.676,75.532,75.589,1874,0,0
26,2020-01-13 02:00:00,75.589,75.667,75.556,75.659,1711,0,0
27,2020-01-13 03:00:00,75.659,75.779,75.648,75.76,2369,0,0
28,2020-01-13 04:00:00,75.76,75.81,75.721,75.805,2132,0,0
29,2020-01-13 05:00:00,75.805,75.854,75.777,75.815,1751,0,0
30,2020-01-13 06:00:00,75.815,75.831,75.788,75.789,649,0,0
31,2020-01-13 07:00:00,75.789,75.86,75.783,75.836,1429,0,0
32,2020-01-13 08:00:00,75.835,75.85,75.792,75.822,1358,0,0
33,2020-01-13 09:00:00,75.826,75.857,75.768,75.806,2476,0,0
34,2020-01-13 10:00:00,75.806,75.842,75.722,75.803,3470,0,0
35,2020-01-13 11:00:00,75.803,75.949,75.803,75.855,4069,0,0
36,2020-01-13 12:00:00,75.855,75.855,75.764,75.81,2553,0,0
37,2020-01-13 13:00:00,75.81,75.835,75.791,75.794,1878,0,0
38,2020-01-13 14:00:00,75.795,75.88,75.761,75.839,2059,0,0
39,2020-01-13 15:00:00,75.839,75.878,75.828,75.876,2720,0,0
40,2020-01-13 16:00:00,75.876,75.884,75.765,75.817,4390,0,0
41,2020-01-13 17:00:00,75.816,75.929,75.816,75.896,3756,0,0
42,2020-01-13 18:00:00,75.895,76.008,75.894,75.97,2881,0,0
43,2020-01-13 19:00:00,75.97,75.992,75.954,75.974,1890,0,0
44,2020-01-13 20:00:00,75.974,76.008,75.951,75.952,1332,0,0
45,2020-01-13 21:00:00,75.952,75.962,75.898,75.912,1497,0,0
46,2020-01-13 22:00:00,75.912,75.915,75.882,75.906,1287,0,0
47,2020-01-13 23:00:00,75.907,75.918,75.872,75.894,764,0,0
48,2020-01-14 00:00:00,75.896,75.925,75.86,75.867,903,4,0
49,2020-01-14 01:00:00,75.869,75.901,75.842,75.878,1882,0,0
50,2020-01-14 02:00:00,75.878,76.104,75.868,76.057,3468,0,0
51,2020-01-14 03:00:00,76.058,76.066,75.74,75.829,4535,0,0
52,2020-01-14 04:00:00,75.829,75.938,75.79,75.916,2420,0,0
53,2020-01-14 05:00:00,75.917,75.964,75.88,75.94,1920,0,0
54,2020-01-14 06:00:00,75.943,76.01,75.936,75.959,1536,0,0
55,2020-01-14 07:00:00,75.959,75.967,75.886,75.901,1904,0,0
56,2020-01-14 08:00:00,75.901,76.053,75.897,76.033,2336,0,0
57,2020-01-14 09:00:00,76.033,76.034,75.875,75.946,3085,0,0
58,2020-01-14 10:00:00,75.946,75.985,75.769,75.807,4649,0,0
59,2020-01-14 11:00:00,75.806,75.927,75.782,75.919,3189,0,0
60,2020-01-14 12:00:00,75.919,75.932,75.862,75.911,2379,0,0
61,2020-01-14 13:00:00,75.911,75.935,75.831,75.927,3164,0,0
62,2020-01-14 14:00:00,75.928,75.946,75.869,75.922,2358,0,0
63,2020-01-14 15:00:00,75.922,75.952,75.852,75.92,4158,0,0
64,2020-01-14 16:00:00,75.92,76.01,75.898,75.946,4614,0,0
65,2020-01-14 17:00:00,75.948,75.971,75.882,75.935,3935,0,0
66,2020-01-14 18:00:00,75.936,76.005,75.922,75.98,2617,0,0
67,2020-01-14 19:00:00,75.979,76.023,75.951,76.013,1625,0,0
68,2020-01-14 20:00:00,76.012,76.039,75.773,75.885,4171,0,0
69,2020-01-14 21:00:00,75.885,75.978,75.826,75.933,3079,0,0
