DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL
2024.07.11,00:00,0.8993,0.8994,0.8989,0.8990,  49
2024.07.10,20:00,0.8992,0.9001,0.8990,0.8995,2966
2024.07.10,16:00,0.8981,0.8997,0.8981,0.8992,6386
2024.07.10,12:00,0.8973,0.8984,0.8973,0.8981,4458
2024.07.10,08:00,0.8973,0.8976,0.8964,0.8973,4292
2024.07.10,04:00,0.8979,0.8982,0.8972,0.8973,2687
2024.07.10,00:00,0.8971,0.8980,0.8971,0.8979,1946
2024.07.09,20:00,0.8977,0.8980,0.8973,0.8977,3165
2024.07.09,16:00,0.8980,0.8986,0.8968,0.8977,8333
2024.07.09,12:00,0.8985,0.8985,0.8974,0.8980,5439
2024.07.09,08:00,0.8982,0.8988,0.8979,0.8985,4472
2024.07.09,04:00,0.8982,0.8990,0.8980,0.8982,2535
2024.07.09,00:00,0.8975,0.8983,0.8967,0.8982,2089
2024.07.08,20:00,0.8971,0.8977,0.8967,0.8972,2294
2024.07.08,16:00,0.8962,0.8973,0.8956,0.8971,6083
2024.07.08,12:00,0.8955,0.8967,0.8952,0.8962,5373
2024.07.08,08:00,0.8950,0.8957,0.8945,0.8955,5931
2024.07.08,04:00,0.8955,0.8957,0.8949,0.8950,3094
2024.07.08,00:00,0.8956,0.8957,0.8943,0.8955,2961
2024.07.05,20:00,0.8975,0.8975,0.8954,0.8956,3086
2024.07.05,16:00,0.8980,0.8991,0.8970,0.8976,9451
2024.07.05,12:00,0.8983,0.9006,0.8973,0.8980,6565
2024.07.05,08:00,0.8985,0.8990,0.8979,0.8983,4521
2024.07.05,04:00,0.8997,0.8998,0.8983,0.8985,3036
2024.07.05,00:00,0.8999,0.9003,0.8995,0.8997,1900
2024.07.04,20:00,0.8999,0.9001,0.8997,0.9000, 985
2024.07.04,16:00,0.9000,0.9005,0.8994,0.8999,4065
2024.07.04,12:00,0.9013,0.9013,0.8991,0.8999,5067
2024.07.04,08:00,0.9010,0.9039,0.9000,0.9013,6351
2024.07.04,04:00,0.9006,0.9011,0.9003,0.9010,2147
2024.07.04,00:00,0.8997,0.9017,0.8997,0.9007,2726
2024.07.03,20:00,0.9007,0.9019,0.9007,0.9014,2546
2024.07.03,16:00,0.9026,0.9028,0.8985,0.9007,8887
2024.07.03,12:00,0.9036,0.9038,0.9026,0.9026,5402
2024.07.03,08:00,0.9042,0.9050,0.9034,0.9036,4276
2024.07.03,04:00,0.9038,0.9043,0.9038,0.9042,1689
2024.07.03,00:00,0.9034,0.9039,0.9031,0.9038,1896
2024.07.02,12:00,0.9042,0.9043,0.9040,0.9041, 230
2024.07.02,08:00,0.9040,0.9047,0.9035,0.9042,5199
2024.07.02,04:00,0.9033,0.9041,0.9030,0.9040,2489
2024.07.02,00:00,0.9023,0.9036,0.9017,0.9033,2447
2024.07.01,20:00,0.9035,0.9040,0.9026,0.9026,2985
2024.07.01,16:00,0.9023,0.9044,0.8998,0.9035,8652
2024.07.01,12:00,0.9003,0.9024,0.8997,0.9024,6423
2024.07.01,08:00,0.8996,0.9008,0.8984,0.9002,6746
2024.07.01,04:00,0.8995,0.8998,0.8989,0.8996,3062
2024.07.01,00:00,0.8981,0.9005,0.8963,0.8995,3922
2024.06.28,20:00,0.8984,0.8989,0.8979,0.8984,4037
2024.06.28,16:00,0.8994,0.9010,0.8979,0.8985,10295
2024.06.28,12:00,0.8995,0.9004,0.8985,0.8994,7228
2024.06.28,08:00,0.8995,0.9002,0.8986,0.8995,5158
2024.06.28,04:00,0.8995,0.9000,0.8991,0.8995,3522
2024.06.28,00:00,0.8986,0.8995,0.8978,0.8995,2065
2024.06.27,20:00,0.8981,0.8989,0.8979,0.8987,3230
2024.06.27,16:00,0.8963,0.8984,0.8957,0.8981,7656
2024.06.27,12:00,0.8976,0.8980,0.8960,0.8963,6479
2024.06.27,08:00,0.8967,0.8980,0.8965,0.8977,4703
2024.06.27,04:00,0.8973,0.8974,0.8966,0.8967,2898
2024.06.27,00:00,0.8972,0.8975,0.8963,0.8973,2765
2024.06.26,20:00,0.8976,0.8977,0.8968,0.8973,3263
2024.06.26,16:00,0.8963,0.8977,0.8953,0.8976,8612
2024.06.26,12:00,0.8971,0.8983,0.8958,0.8963,6606
2024.06.26,08:00,0.8950,0.8972,0.8950,0.8971,4682
2024.06.26,04:00,0.8953,0.8954,0.8946,0.8950,2898
2024.06.26,00:00,0.8944,0.8957,0.8941,0.8953,2201
2024.06.25,20:00,0.8950,0.8952,0.8942,0.8945,2885
2024.06.25,16:00,0.8941,0.8950,0.8937,0.8950,6553
2024.06.25,12:00,0.8936,0.8942,0.8927,0.8942,5951
2024.06.25,08:00,0.8919,0.8938,0.8913,0.8936,5358
2024.06.25,04:00,0.8919,0.8925,0.8917,0.8919,3400
2024.06.25,00:00,0.8924,0.8933,0.8918,0.8919,1864
2024.06.24,20:00,0.8940,0.8942,0.8925,0.8925,2946
2024.06.24,16:00,0.8925,0.8941,0.8922,0.8940,6966
2024.06.24,12:00,0.8939,0.8941,0.8922,0.8925,6982
2024.06.24,08:00,0.8936,0.8942,0.8931,0.8939,5118
2024.06.24,04:00,0.8938,0.8941,0.8932,0.8936,2749
2024.06.24,00:00,0.8932,0.8945,0.8925,0.8938,2417
2024.06.21,20:00,0.8943,0.8944,0.8940,0.8941,3126
2024.06.21,16:00,0.8926,0.8945,0.8923,0.8943,8767
2024.06.21,12:00,0.8920,0.8929,0.8917,0.8925,6336
2024.06.21,08:00,0.8911,0.8926,0.8905,0.8920,7034
2024.06.21,04:00,0.8919,0.8920,0.8911,0.8911,2834
2024.06.21,00:00,0.8909,0.8919,0.8904,0.8919,2586
2024.06.20,20:00,0.8913,0.8915,0.8903,0.8910,4161
2024.06.20,16:00,0.8917,0.8926,0.8901,0.8913,8496
2024.06.20,12:00,0.8894,0.8919,0.8890,0.8917,8775
