time,open,high,low,close,tick_volume,spread,real_volume
2020-01-10 01:00:00,1552.6,1553.82,1551.7,1552.73,2292,2,0
2020-01-10 02:00:00,1552.73,1552.73,1550.16,1551.93,4597,2,0
2020-01-10 03:00:00,1551.87,1551.94,1547.57,1548.02,7143,2,0
2020-01-10 04:00:00,1548.0,1549.36,1547.2,1548.85,3262,2,0
2020-01-10 05:00:00,1548.85,1548.97,1546.29,1546.41,2606,2,0
2020-01-10 06:00:00,1546.38,1547.4,1545.75,1547.15,2102,2,0
2020-01-10 07:00:00,1547.16,1548.75,1546.56,1548.4,2261,2,0
2020-01-10 08:00:00,1548.39,1548.5,1546.25,1547.9,3762,2,0
2020-01-10 09:00:00,1547.9,1551.75,1547.37,1550.78,4409,2,0
2020-01-10 10:00:00,1550.8,1552.49,1549.86,1551.08,4522,2,0
2020-01-10 11:00:00,1551.08,1551.39,1547.84,1548.38,4377,2,0
2020-01-10 12:00:00,1548.33,1549.78,1548.14,1548.87,3049,2,0
2020-01-10 13:00:00,1548.88,1550.97,1548.04,1550.68,2577,2,0
2020-01-10 14:00:00,1550.68,1550.68,1548.76,1549.55,2862,2,0
2020-01-10 15:00:00,1549.55,1556.61,1546.89,1548.72,14179,2,0
2020-01-10 16:00:00,1548.76,1554.53,1547.79,1553.4,12447,2,0
2020-01-10 17:00:00,1553.4,1559.45,1552.91,1558.66,11040,2,0
2020-01-10 18:00:00,1558.63,1561.06,1557.85,1560.0,11453,2,0
2020-01-10 19:00:00,1560.0,1561.03,1558.06,1559.48,8428,2,0
2020-01-10 20:00:00,1559.48,1559.6,1558.25,1558.58,3552,2,0
2020-01-10 21:00:00,1558.58,1559.07,1557.87,1558.86,3262,2,0
2020-01-10 22:00:00,1558.91,1560.57,1558.79,1560.29,4063,2,0
2020-01-10 23:00:00,1560.31,1563.18,1560.31,1562.3,1989,2,0
2020-01-13 01:00:00,1559.33,1561.49,1558.05,1559.26,3590,2,0
2020-01-13 02:00:00,1559.27,1560.07,1558.37,1558.66,3045,2,0
2020-01-13 03:00:00,1558.66,1558.74,1554.33,1556.8,7595,2,0
2020-01-13 04:00:00,1556.82,1557.62,1555.5,1556.19,3533,2,0
2020-01-13 05:00:00,1556.17,1556.93,1555.86,1556.77,2453,2,0
2020-01-13 06:00:00,1556.77,1556.89,1555.51,1555.7,1244,2,0
2020-01-13 07:00:00,1555.7,1556.46,1554.99,1555.19,1855,2,0
2020-01-13 08:00:00,1555.19,1555.53,1553.94,1555.22,3488,2,0
2020-01-13 09:00:00,1555.22,1555.22,1552.05,1552.76,4157,2,0
2020-01-13 10:00:00,1552.78,1553.13,1549.92,1550.43,4921,2,0
2020-01-13 11:00:00,1550.43,1550.71,1546.58,1547.96,6132,2,0
2020-01-13 12:00:00,1547.96,1551.55,1547.92,1551.18,3483,2,0
2020-01-13 13:00:00,1551.18,1553.96,1550.46,1552.96,2782,2,0
2020-01-13 14:00:00,1552.96,1555.01,1552.21,1555.0,3623,2,0
2020-01-13 15:00:00,1554.98,1556.17,1552.86,1554.75,6178,2,0
2020-01-13 16:00:00,1554.75,1555.28,1548.69,1551.17,10391,2,0
2020-01-13 17:00:00,1551.17,1553.38,1549.37,1551.54,8162,2,0
2020-01-13 18:00:00,1551.54,1553.94,1550.56,1550.64,6035,2,0
2020-01-13 19:00:00,1550.65,1551.19,1549.24,1549.76,4834,2,0
2020-01-13 20:00:00,1549.76,1550.3,1549.2,1549.56,3823,2,0
2020-01-13 21:00:00,1549.57,1550.3,1548.28,1549.78,2620,2,0
2020-01-13 22:00:00,1549.78,1550.51,1548.57,1548.67,2241,2,0
2020-01-13 23:00:00,1548.62,1549.11,1547.86,1547.96,1368,2,0
2020-01-14 01:00:00,1548.46,1548.89,1544.98,1545.28,3202,2,0
2020-01-14 02:00:00,1545.28,1545.35,1541.77,1543.48,5467,2,0
2020-01-14 03:00:00,1543.48,1543.64,1535.95,1537.65,10016,2,0
2020-01-14 04:00:00,1537.68,1540.21,1537.53,1540.09,3675,2,0
2020-01-14 05:00:00,1540.09,1540.57,1538.58,1538.81,3133,2,0
2020-01-14 06:00:00,1538.81,1539.36,1538.12,1538.97,1913,2,0
2020-01-14 07:00:00,1538.97,1539.18,1536.17,1537.99,4757,2,0
2020-01-14 08:00:00,1537.99,1540.05,1536.36,1539.77,4942,2,0
2020-01-14 09:00:00,1539.77,1543.15,1539.01,1543.1,4358,2,0
2020-01-14 10:00:00,1543.11,1545.92,1541.85,1544.52,5984,2,0
2020-01-14 11:00:00,1544.52,1544.68,1542.6,1544.1,4021,2,0
2020-01-14 12:00:00,1544.1,1545.81,1543.77,1545.07,3582,2,0
2020-01-14 13:00:00,1545.05,1546.04,1543.09,1543.11,4709,2,0
2020-01-14 14:00:00,1543.13,1544.29,1542.3,1543.19,4558,2,0
2020-01-14 15:00:00,1543.18,1546.75,1542.1,1544.17,10245,2,0
2020-01-14 16:00:00,1544.17,1547.04,1542.48,1546.43,11124,2,0
2020-01-14 17:00:00,1546.43,1546.81,1541.02,1543.02,10646,2,0
2020-01-14 18:00:00,1543.03,1544.38,1542.22,1542.44,5523,2,0
2020-01-14 19:00:00,1542.44,1543.88,1542.1,1543.58,3536,2,0
2020-01-14 20:00:00,1543.58,1548.86,1542.94,1545.75,8674,2,0
2020-01-14 21:00:00,1545.75,1547.87,1545.16,1546.13,7852,2,0
2020-01-14 22:00:00,1546.16,1547.34,1545.6,1547.04,5222,2,0
2020-01-14 23:00:00,1547.03,1547.14,1546.01,1546.23,1327,2,0
2020-01-15 01:00:00,1546.48,1550.04,1546.42,1549.58,2955,2,0
2020-01-15 02:00:00,1549.55,1550.09,1547.97,1549.19,3795,2,0
2020-01-15 03:00:00,1549.19,1549.19,1546.4,1547.4,6222,2,0
2020-01-15 04:00:00,1547.39,1552.9,1547.23,1552.2,5748,2,0
2020-01-15 05:00:00,1552.22,1552.81,1551.13,1552.13,4253,2,0
2020-01-15 06:00:00,1552.13,1552.71,1551.75,1552.04,2715,2,0
2020-01-15 07:00:00,1552.04,1553.39,1551.95,1553.24,2606,2,0
2020-01-15 08:00:00,1553.23,1553.92,1550.33,1550.85,6401,2,0
2020-01-15 09:00:00,1550.85,1552.84,1550.66,1552.79,3518,2,0
2020-01-15 10:00:00,1552.77,1554.27,1551.91,1553.53,4906,2,0
2020-01-15 11:00:00,1553.53,1553.67,1551.58,1553.25,4054,2,0
2020-01-15 12:00:00,1553.26,1553.45,1551.42,1551.93,2674,2,0
2020-01-15 13:00:00,1551.94,1553.15,1551.66,1552.05,2513,2,0
2020-01-15 14:00:00,1552.05,1552.36,1550.18,1550.82,3455,2,0
2020-01-15 15:00:00,1550.88,1554.82,1546.97,1554.82,9067,2,0
2020-01-15 16:00:00,1554.8,1557.05,1548.86,1549.68,12725,2,0
2020-01-15 17:00:00,1549.68,1551.07,1548.84,1548.99,8281,2,0
2020-01-15 18:00:00,1548.99,1552.35,1548.78,1551.85,5771,2,0
2020-01-15 19:00:00,1551.85,1554.38,1550.89,1554.05,5761,2,0
2020-01-15 20:00:00,1554.05,1556.49,1553.11,1555.97,5588,2,0
2020-01-15 21:00:00,1555.97,1558.19,1554.88,1555.43,4590,2,0
2020-01-15 22:00:00,1555.43,1557.06,1554.19,1556.15,6666,2,0
2020-01-15 23:00:00,1556.15,1556.46,1555.1,1556.3,1647,2,0
2020-01-16 01:00:00,1555.72,1556.41,1554.99,1556.35,1915,2,0
2020-01-16 02:00:00,1556.35,1558.11,1556.33,1557.05,3690,2,0
2020-01-16 03:00:00,1557.07,1557.57,1555.79,1556.45,5778,2,0
2020-01-16 04:00:00,1556.44,1557.16,1555.44,1555.98,3900,2,0
2020-01-16 05:00:00,1555.97,1556.8,1555.44,1556.5,2764,2,0
2020-01-16 06:00:00,1556.51,1556.51,1555.64,1555.83,1345,2,0
2020-01-16 07:00:00,1555.81,1556.01,1551.52,1551.74,4046,2,0
2020-01-16 08:00:00,1551.73,1553.32,1551.65,1552.95,2884,2,0
2020-01-16 09:00:00,1552.93,1553.84,1552.49,1553.55,2027,2,0
2020-01-16 10:00:00,1553.55,1554.69,1551.88,1553.94,4010,2,0
2020-01-16 11:00:00,1553.91,1555.7,1553.81,1554.91,3375,2,0
2020-01-16 12:00:00,1554.92,1555.89,1554.57,1554.77,2636,2,0
2020-01-16 13:00:00,1554.76,1556.5,1554.54,1556.25,2133,2,0
2020-01-16 14:00:00,1556.25,1557.5,1555.33,1556.69,3710,2,0
2020-01-16 15:00:00,1556.69,1556.72,1552.52,1554.32,8911,2,0
2020-01-16 16:00:00,1554.32,1555.08,1550.74,1553.93,8475,2,0
2020-01-16 17:00:00,1553.93,1555.57,1548.04,1550.86,11006,2,0
2020-01-16 18:00:00,1550.85,1551.14,1549.03,1550.93,6320,2,0
2020-01-16 19:00:00,1550.93,1552.28,1550.63,1551.6,3645,2,0
2020-01-16 20:00:00,1551.6,1551.69,1549.44,1550.45,3699,2,0
2020-01-16 21:00:00,1550.45,1552.27,1550.21,1551.77,2644,2,0
2020-01-16 22:00:00,1551.78,1554.01,1551.29,1553.63,3058,2,0
2020-01-16 23:00:00,1553.71,1554.18,1552.42,1552.42,1360,2,0
2020-01-17 01:00:00,1552.22,1552.55,1550.88,1552.25,2265,2,0
2020-01-17 02:00:00,1552.26,1552.85,1549.88,1550.01,2928,2,0
2020-01-17 03:00:00,1550.02,1553.6,1549.42,1553.18,4061,2,0
2020-01-17 04:00:00,1553.14,1554.16,1552.0,1553.72,3543,2,0
2020-01-17 05:00:00,1553.72,1554.75,1553.24,1554.64,1864,2,0
2020-01-17 06:00:00,1554.64,1555.86,1554.58,1555.72,1325,2,0
2020-01-17 07:00:00,1555.72,1556.97,1555.6,1555.66,2563,2,0
2020-01-17 08:00:00,1555.67,1556.99,1554.3,1556.86,3853,2,0
2020-01-17 09:00:00,1556.88,1557.06,1554.73,1555.55,3007,2,0
2020-01-17 10:00:00,1555.58,1555.7,1554.17,1554.6,3017,2,0
2020-01-17 11:00:00,1554.6,1555.73,1554.13,1555.52,2350,2,0
2020-01-17 12:00:00,1555.52,1556.92,1554.32,1556.86,2586,2,0
2020-01-17 13:00:00,1556.86,1557.25,1555.73,1556.53,2464,2,0
2020-01-17 14:00:00,1556.57,1559.77,1556.51,1559.01,4854,2,0
2020-01-17 15:00:00,1559.01,1560.75,1554.85,1555.43,9625,2,0
2020-01-17 16:00:00,1555.43,1558.97,1554.49,1557.75,8507,2,0
2020-01-17 17:00:00,1557.75,1558.49,1554.1,1556.31,9727,2,0
2020-01-17 18:00:00,1556.31,1558.63,1555.88,1557.94,6537,2,0
2020-01-17 19:00:00,1557.94,1560.16,1557.59,1559.79,4278,2,0
2020-01-17 20:00:00,1559.79,1561.27,1559.4,1560.07,3750,2,0
2020-01-17 21:00:00,1560.07,1561.28,1559.67,1559.75,2775,2,0
2020-01-17 22:00:00,1559.68,1560.98,1556.31,1557.18,3284,2,0
2020-01-17 23:00:00,1557.15,1557.62,1556.36,1557.12,1584,2,0
2020-01-20 01:00:00,1557.23,1559.08,1556.37,1557.06,2613,2,0
2020-01-20 02:00:00,1557.06,1558.32,1556.76,1556.88,1783,2,0
2020-01-20 03:00:00,1556.88,1558.85,1556.67,1557.68,3029,2,0
2020-01-20 04:00:00,1557.68,1558.1,1556.96,1557.91,1797,2,0
2020-01-20 05:00:00,1557.91,1558.94,1557.81,1558.92,1411,2,0
2020-01-20 06:00:00,1558.92,1559.81,1558.92,1559.59,1398,2,0
2020-01-20 07:00:00,1559.58,1562.3,1559.18,1561.93,2538,2,0
2020-01-20 08:00:00,1561.93,1562.76,1561.36,1561.53,3963,2,0
2020-01-20 09:00:00,1561.5,1562.52,1560.23,1561.54,3194,2,0
2020-01-20 10:00:00,1561.55,1561.74,1559.31,1560.21,3584,2,0
