INPUT: [No Input Found] | OUTPUT: [1,0.60111749]
INPUT: [No Input Found] | OUTPUT: [1,0.41657305]
INPUT: [No Input Found] | OUTPUT: [0.32523459,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.68798268]
INPUT: [No Input Found] | OUTPUT: [1,0.085099012]
INPUT: [No Input Found] | OUTPUT: [1,0.55208296]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.21667412]
INPUT: [No Input Found] | OUTPUT: [1,0.22078663]
INPUT: [No Input Found] | OUTPUT: [1,0.53788465]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.51004314]
INPUT: [No Input Found] | OUTPUT: [0.45169491,0.087674156]
INPUT: [No Input Found] | OUTPUT: [1,0.39773998]
INPUT: [No Input Found] | OUTPUT: [-0.36538255,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.3700383]
INPUT: [No Input Found] | OUTPUT: [1,0.97204149]
INPUT: [No Input Found] | OUTPUT: [1,0.58580512]
INPUT: [No Input Found] | OUTPUT: [0.9901818,0]
INPUT: [No Input Found] | OUTPUT: [0.75424945,0]
INPUT: [No Input Found] | OUTPUT: [1,0.42299861]
INPUT: [No Input Found] | OUTPUT: [1,0.59424353]
INPUT: [No Input Found] | OUTPUT: [0.71894139,0]
INPUT: [No Input Found] | OUTPUT: [0.88508916,0.12322703]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.40072092,0.29623938]
INPUT: [No Input Found] | OUTPUT: [1,0.92532545]
INPUT: [No Input Found] | OUTPUT: [-0.17551766,0]
INPUT: [No Input Found] | OUTPUT: [-0.10420148,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.11932905]
INPUT: [No Input Found] | OUTPUT: [1,0.77668148]
INPUT: [No Input Found] | OUTPUT: [-0.23703831,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.41685772,0.10760745]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.8801201]
INPUT: [No Input Found] | OUTPUT: [1,0.22669497]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.49871832,0.44434094]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.06695278,0.42330182]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.13695735,0.58236009]
INPUT: [No Input Found] | OUTPUT: [1,0.64993989]
INPUT: [No Input Found] | OUTPUT: [-0.36403841,0.33596757]
INPUT: [No Input Found] | OUTPUT: [0.93588078,0.2440289]
INPUT: [No Input Found] | OUTPUT: [0.72255838,0.25122845]
INPUT: [No Input Found] | OUTPUT: [1,0.12972291]
INPUT: [No Input Found] | OUTPUT: [1,0.67237854]
INPUT: [No Input Found] | OUTPUT: [1,0.86113715]
INPUT: [No Input Found] | OUTPUT: [1,0.81759918]
INPUT: [No Input Found] | OUTPUT: [0.45813936,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.19649085]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.8313604]
INPUT: [No Input Found] | OUTPUT: [-1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.58353639]
INPUT: [No Input Found] | OUTPUT: [-0.14331609,1]
INPUT: [No Input Found] | OUTPUT: [1,0.55342811]
INPUT: [No Input Found] | OUTPUT: [-0.10771564,0.044835746]
INPUT: [No Input Found] | OUTPUT: [-0.0022262707,0]
INPUT: [No Input Found] | OUTPUT: [0.05841504,0.24726908]
INPUT: [No Input Found] | OUTPUT: [0.90717781,1]
INPUT: [No Input Found] | OUTPUT: [1,0.72267473]
INPUT: [No Input Found] | OUTPUT: [-1,0.65114844]
INPUT: [No Input Found] | OUTPUT: [0.46136796,0.96720141]
INPUT: [No Input Found] | OUTPUT: [1,0.91727406]
INPUT: [No Input Found] | OUTPUT: [1,0.22399116]
INPUT: [No Input Found] | OUTPUT: [1,0.10620792]
INPUT: [No Input Found] | OUTPUT: [0.91483611,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.81536245]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.87888771,0.44027478]
INPUT: [No Input Found] | OUTPUT: [1,0.67109245]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.37274355]
INPUT: [No Input Found] | OUTPUT: [1,0.27404815]
INPUT: [No Input Found] | OUTPUT: [1,0.10617486]
INPUT: [No Input Found] | OUTPUT: [0.028380699,0.1301367]
INPUT: [No Input Found] | OUTPUT: [0.17917076,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.64393067]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.1771962,0]
INPUT: [No Input Found] | OUTPUT: [1,0.039390884]
INPUT: [No Input Found] | OUTPUT: [1,0.035438355]
INPUT: [No Input Found] | OUTPUT: [1,0.94148642]
INPUT: [No Input Found] | OUTPUT: [1,0.67709804]
INPUT: [No Input Found] | OUTPUT: [0.79908592,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.61911613,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.86121076,0.61980563]
INPUT: [No Input Found] | OUTPUT: [0.97228128,1]
INPUT: [No Input Found] | OUTPUT: [-1,0.9632141]
INPUT: [No Input Found] | OUTPUT: [0.21773498,0]
INPUT: [No Input Found] | OUTPUT: [-0.19747901,0.33157203]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.24472523]
INPUT: [No Input Found] | OUTPUT: [-0.5959233,0.9859277]
INPUT: [No Input Found] | OUTPUT: [-0.18409956,0.56961077]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.48938623]
INPUT: [No Input Found] | OUTPUT: [1,0.63463444]
INPUT: [No Input Found] | OUTPUT: [1,0.19943775]
INPUT: [No Input Found] | OUTPUT: [1,0.13937178]
INPUT: [No Input Found] | OUTPUT: [1,0.19927162]
INPUT: [No Input Found] | OUTPUT: [1,0.83618546]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.21994841]
INPUT: [No Input Found] | OUTPUT: [1,0.35930476]
INPUT: [No Input Found] | OUTPUT: [1,0.46637866]
INPUT: [No Input Found] | OUTPUT: [1,0.82654941]
INPUT: [No Input Found] | OUTPUT: [1,0.6697365]
INPUT: [No Input Found] | OUTPUT: [1,0.81937325]
INPUT: [No Input Found] | OUTPUT: [0.16123365,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.39544684]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.29427686]
INPUT: [No Input Found] | OUTPUT: [1,0.075851202]
INPUT: [No Input Found] | OUTPUT: [1,0.99959493]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.66820025]
INPUT: [No Input Found] | OUTPUT: [1,0.29861981]
INPUT: [No Input Found] | OUTPUT: [1,0.62894708]
INPUT: [No Input Found] | OUTPUT: [0.33961302,0.011459395]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.89631885]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.3698743,0.46130881]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.15878102,0.71286148]
INPUT: [No Input Found] | OUTPUT: [0.40676135,0.05029133]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.066439256]
INPUT: [No Input Found] | OUTPUT: [0.26662579,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.54632586]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.40158296]
INPUT: [No Input Found] | OUTPUT: [-1,0.74435741]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.20527828]
INPUT: [No Input Found] | OUTPUT: [0.99770337,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-1,0.6448766]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.94131577]
INPUT: [No Input Found] | OUTPUT: [1,0.40321374]
INPUT: [No Input Found] | OUTPUT: [1,0.76638412]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.11191003]
INPUT: [No Input Found] | OUTPUT: [1,0.5663572]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.86407328,0.62381101]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.16396293]
INPUT: [No Input Found] | OUTPUT: [1,0.16949716]
INPUT: [No Input Found] | OUTPUT: [1,0.931373]
INPUT: [No Input Found] | OUTPUT: [0.036761068,0.94448686]
INPUT: [No Input Found] | OUTPUT: [0.093578696,0.06142674]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.87586778,0]
INPUT: [No Input Found] | OUTPUT: [0.80916524,0]
INPUT: [No Input Found] | OUTPUT: [1,0.65928435]
INPUT: [No Input Found] | OUTPUT: [-0.79592359,0.55133659]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.36701757]
INPUT: [No Input Found] | OUTPUT: [-0.12238994,0.14682174]
