,direction,risk
0,-0.18146625,0.5739711
1,-1.0,0.6897269
2,-0.33263177,1.0
3,0.21909979,0.96237975
4,0.6240697,0.0
5,0.55033106,0.8575446
6,-1.0,0.0
7,0.6172301,0.87120664
8,-0.038553126,0.30938295
9,-1.0,0.8230927
10,0.6240697,0.0
11,-1.0,1.0
12,-0.18146625,0.5739711
13,1.0,0.96223533
14,1.0,1.0
15,1.0,1.0
16,0.7771061,0.64587504
17,1.0,1.0
18,-0.43009222,1.0
19,1.0,0.0
20,-0.2901971,0.19038387
21,-0.918009,1.0
22,-1.0,1.0
23,-0.45550287,0.6926965
24,0.52419734,0.0
25,0.6240697,0.0
26,-1.0,0.0
27,-0.33263177,1.0
28,0.25061262,1.0
29,-0.37918302,0.0
30,1.0,0.0
31,-1.0,1.0
32,-1.0,0.17017321
33,1.0,0.0
34,-0.5370523,0.6284949
35,1.0,0.87335676
36,-0.0051396433,0.7245486
37,-0.9607445,1.0
38,0.6240697,0.0
39,-1.0,1.0
40,-0.09304024,0.0
41,-1.0,1.0
42,-0.6404814,0.3828635
43,0.94972,0.0
44,0.78957707,0.8906391
45,-1.0,0.9789206
46,-0.11124984,1.0
47,0.019665744,1.0
48,-1.0,1.0
49,-1.0,0.3948315
50,-1.0,0.4579121
51,0.33601233,0.4338317
52,0.5776576,0.0
53,0.09025886,0.0
54,0.48847365,0.13302173
55,0.66812426,0.0
56,-1.0,0.0
57,1.0,0.0
58,0.6240697,0.0
59,-0.33263177,1.0
60,-0.67753994,1.0
61,0.11635466,0.0
62,-0.21502535,0.08061851
63,-1.0,1.0
64,0.3903063,0.0
65,-0.038189046,0.66716635
66,0.5005623,0.93145233
67,-1.0,1.0
68,1.0,0.0
69,1.0,1.0
70,0.09822353,1.0
71,0.5724007,0.5272046
72,-1.0,1.0
73,-0.6070357,0.0
74,-0.2901971,0.19038387
75,-1.0,0.8230927
76,-1.0,0.41372666
77,-0.51546365,0.0
78,0.32020643,1.0
79,1.0,0.6839309
80,0.7687302,1.0
81,0.7135366,0.64756364
82,0.12981391,1.0
83,-0.3056968,0.5301093
84,-0.014291595,0.0
85,-1.0,1.0
86,-1.0,0.6897269
87,-0.18146625,0.5739711
88,-0.9039404,0.7733183
89,1.0,0.021450147
90,0.03207922,1.0
91,-1.0,0.8145983
92,0.52419734,0.0
93,0.6240697,0.0
94,0.60932076,1.0
95,-1.0,0.6897269
96,-0.7704063,1.0
97,0.6240697,0.0
98,-0.2901971,0.19038387
99,-0.43111616,0.4087564
100,-1.0,1.0
101,-0.29944128,0.0
102,-0.18146625,0.5739711
103,-0.45550287,0.6926965
104,0.48465124,1.0
105,-0.7135944,0.9020815
106,-0.8804517,1.0
107,-0.39849484,0.0
108,-0.0782715,0.7357537
109,0.60932076,1.0
110,0.03207922,1.0
111,-1.0,1.0
112,0.5135958,0.0
113,1.0,0.41982216
114,0.3813465,1.0
115,-0.06578745,1.0
116,-1.0,1.0
117,-0.37918302,0.0
118,0.6240697,0.0
119,-1.0,1.0
120,-0.26522973,0.3565265
121,-0.33263177,1.0
122,-0.0701931,0.7206121
123,0.032255217,0.0
124,1.0,1.0
125,-1.0,1.0
126,-0.83450645,0.0
127,-0.34924796,0.3659687
128,-1.0,0.57313854
129,-1.0,0.33720335
130,-0.6495032,1.0
131,0.48465124,1.0
132,0.019705243,0.0
133,-0.12066361,1.0
134,0.50226647,0.02976742
135,-1.0,1.0
136,0.6240697,0.0
137,-0.18146625,0.5739711
138,0.11635466,0.0
139,0.57217824,0.0
140,-0.5365728,0.9326098
141,-1.0,0.8230927
142,-0.58570105,1.0
143,-1.0,1.0
144,0.61156446,1.0
145,-0.87351686,1.0
146,-1.0,1.0
147,0.7919771,0.0
148,1.0,0.64903337
149,0.03207922,1.0
150,-1.0,1.0
151,-0.8984621,0.0
152,-1.0,0.8230927
