Step: 2048, Info: {'Step': 2058, 'Balance': 6317.839999999997, 'Action': 1.0, 'Position': 1, 'Reward': 0.0, 'TotalReward': -0.33138247286082095, 'Done': False, 'Wins': 157, 'Losses': 231, 'TotalTrades': 388, 'TimeLimit.truncated': False}
Step: 4096, Info: {'Step': 4106, 'Balance': 9776.470000000007, 'Action': -1.0, 'Position': 2, 'Reward': 0.0, 'TotalReward': 0.32319641148299627, 'Done': False, 'Wins': 338, 'Losses': 432, 'TotalTrades': 770, 'TimeLimit.truncated': False}
Step: 6144, Info: {'Step': 6154, 'Balance': 11169.99, 'Action': 1.0, 'Position': 0, 'Reward': 0.03821026146749343, 'TotalReward': 0.5990646809518567, 'Done': False, 'Wins': 515, 'Losses': 639, 'TotalTrades': 1154, 'TimeLimit.truncated': False}
Step: 8192, Info: {'Step': 8202, 'Balance': 8380.389999999989, 'Action': -0.8662067, 'Position': 0, 'Reward': -0.008566392201400715, 'TotalReward': 0.7144096714084449, 'Done': False, 'Wins': 676, 'Losses': 869, 'TotalTrades': 1545, 'TimeLimit.truncated': False}
Step: 10240, Info: {'Step': 261, 'Balance': 10482.97, 'Action': -0.0038777739, 'Position': 0, 'Reward': -0.02177246043173521, 'TotalReward': 0.06843141561301141, 'Done': False, 'Wins': 24, 'Losses': 29, 'TotalTrades': 53, 'TimeLimit.truncated': False}
Step: 12288, Info: {'Step': 2309, 'Balance': 11046.690000000011, 'Action': -0.7480223, 'Position': 2, 'Reward': 0.0, 'TotalReward': 0.2772065899190997, 'Done': False, 'Wins': 197, 'Losses': 237, 'TotalTrades': 434, 'TimeLimit.truncated': False}
Step: 14336, Info: {'Step': 4357, 'Balance': 12800.840000000038, 'Action': 0.06534422, 'Position': 1, 'Reward': 0.0, 'TotalReward': 0.637751157462963, 'Done': False, 'Wins': 382, 'Losses': 457, 'TotalTrades': 839, 'TimeLimit.truncated': False}
Step: 16384, Info: {'Step': 6405, 'Balance': 9776.490000000038, 'Action': 1.0, 'Position': 1, 'Reward': 0.0, 'TotalReward': 0.49506248301643047, 'Done': False, 'Wins': 557, 'Losses': 662, 'TotalTrades': 1219, 'TimeLimit.truncated': False}
Step: 18432, Info: {'Step': 8453, 'Balance': 11841.780000000052, 'Action': 0.96924424, 'Position': 0, 'Reward': 0.005184751330566066, 'TotalReward': 1.0714924598493447, 'Done': False, 'Wins': 731, 'Losses': 884, 'TotalTrades': 1615, 'TimeLimit.truncated': False}
Step: 20480, Info: {'Step': 512, 'Balance': 8218.029999999997, 'Action': -0.24113426, 'Position': 0, 'Reward': 0.0, 'TotalReward': -0.17085330535569207, 'Done': False, 'Wins': 32, 'Losses': 50, 'TotalTrades': 82, 'TimeLimit.truncated': False}
Step: 22528, Info: {'Step': 2560, 'Balance': 12757.899999999992, 'Action': -1.0, 'Position': 1, 'Reward': 0.0, 'TotalReward': 0.3945934044589813, 'Done': False, 'Wins': 201, 'Losses': 251, 'TotalTrades': 452, 'TimeLimit.truncated': False}
