time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/value_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/n_updates,train/std,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
1,7,257,2048,,,,,,,,,,,,,
2,17,237,4096,0.046382290494511834,0.2,-34.32179641723633,0.03427734375,0.010561108589172363,10,1.0089080333709717,0.006095138,-2.850738637149334,-0.00673585238182568,0.0003,,
3,26,232,6144,0.011135716635908465,0.2,-5.6353349685668945,0.04072265625,0.000816788524389267,20,1.0077298879623413,0.0049390746,-2.8544440984725954,-0.00711840393851162,0.0003,,
4,35,229,8192,0.005970105164306005,0.2,-4.122211933135986,0.067041015625,0.0006591925630345941,30,1.0028908252716064,0.006049582,-2.8443795777857304,-0.009208219344145618,0.0003,,
5,45,227,10240,0.007115330883971182,0.2,-1.250685214996338,0.048193359375,-0.012439827434718609,40,0.9951333403587341,0.005877575,-2.836301881074905,-0.004523777590657118,0.0003,9989.0,0.749956
6,54,226,12288,0.004644630882103229,0.2,-2.8808541297912598,0.05048828125,-0.012320862151682377,50,0.9983205199241638,0.0061687147,-2.830917824804783,-0.00724862411734648,0.0003,9989.0,0.749956
7,63,225,14336,0.003749764308304293,0.2,-1.9896042346954346,0.0880859375,0.008192562498152256,60,0.9920819997787476,0.008186992,-2.829633991420269,-0.007977722006035037,0.0003,9989.0,0.749956
8,72,224,16384,0.0033987969080044424,0.2,-1.168564796447754,0.089892578125,-0.039265163242816925,70,0.985221266746521,0.009923311,-2.8154449716210364,-0.007154484171769582,0.0003,9989.0,0.749956
9,82,223,18432,0.0022648085054242984,0.2,-1.1354358196258545,0.098974609375,-0.014841172844171524,80,0.9707857370376587,0.009421407,-2.7924653507769106,-0.007987842204602202,0.0003,9989.0,0.749956
10,91,223,20480,0.003866474880487658,0.2,-0.4446868896484375,0.096484375,0.015755433589220047,90,0.9603351950645447,0.009275989,-2.764687853306532,-0.00972561973539996,0.0003,9989.0,0.531838
11,101,222,22528,0.0021744401881733212,0.2,-1.6910877227783203,0.08388671875,0.0040744394063949585,100,0.9627854228019714,0.0096870735,-2.7599194809794425,-0.004524347824917641,0.0003,9989.0,0.531838
12,110,222,24576,0.002076336408936186,0.2,-1.143249273300171,0.096533203125,-0.0173304695636034,110,0.9722444415092468,0.011971801,-2.77357509881258,-0.00736708286422072,0.0003,9989.0,0.531838
13,119,221,26624,0.00199263412723667,0.2,-0.5198509693145752,0.124462890625,-0.01609376072883606,120,0.9742494821548462,0.013244478,-2.783220499008894,-0.002992754381557461,0.0003,9989.0,0.531838
14,129,221,28672,0.0015579974196953117,0.2,-0.4715907573699951,0.120166015625,-0.009373444132506847,130,0.9707636833190918,0.011565868,-2.7803195767104625,-0.004294540968112414,0.0003,9989.0,0.531838
15,138,221,30720,0.0029534341982071057,0.2,-0.3099156618118286,0.100390625,0.012562613002955914,140,0.956629753112793,0.0126238,-2.760282017290592,-0.0018852050125133246,0.0003,9989.0,-0.2759493333333333
16,147,221,32768,0.0018814041308360175,0.2,-0.4640089273452759,0.104443359375,-0.035368435084819794,150,0.9594681262969971,0.01296457,-2.7499302193522452,-0.00593612544471398,0.0003,9989.0,-0.2759493333333333
17,157,221,34816,0.001599241107578564,0.2,-0.537764310836792,0.119775390625,0.006360568571835756,160,0.9534186720848083,0.011681353,-2.7479096062481405,-0.005370414574281312,0.0003,9989.0,-0.2759493333333333
18,166,221,36864,0.002203021148670814,0.2,-0.20614206790924072,0.1353515625,0.006417565979063511,170,0.9588544964790344,0.013010656,-2.7473895110189916,-0.005235290067503229,0.0003,9989.0,-0.2759493333333333
19,175,221,38912,0.0028294296102103545,0.2,-0.14232420921325684,0.12685546875,-0.01551643293350935,180,0.9461447596549988,0.012759211,-2.736151486635208,-0.0022782081432524137,0.0003,9989.0,-0.2759493333333333
20,185,220,40960,0.0031062824265973175,0.2,-0.10662198066711426,0.127587890625,-0.009553744457662106,190,0.9490860104560852,0.013198594,-2.7281081318855285,-0.0068730091450561305,0.0003,9989.0,0.217109
21,194,220,43008,0.0012117329302782308,0.2,-0.4942491054534912,0.110107421875,0.01619563437998295,200,0.9426989555358887,0.0131165385,-2.7231706380844116,-0.005539525049971417,0.0003,9989.0,0.217109
22,204,220,45056,0.001332777784591599,0.2,-0.3586627244949341,0.137890625,-0.01288751233369112,210,0.9421093463897705,0.014026058,-2.716698645055294,-0.002226499529206194,0.0003,9989.0,0.217109
