time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
2048,736,2,1,,,,,,,,,,,,,
4096,687,5,2,10,29.16390103697777,-0.005849599838256836,0.0052072415,0.042822265625,0.2,-2.828466110676527,-0.006257853462011553,0.0003,0.9918842315673828,12.9076509475708,,
6144,673,9,3,20,97.86095099449157,-0.003298640251159668,0.0052031865,0.02412109375,0.2,-2.823661918193102,-0.0044007540491293184,0.0003,0.9927769303321838,44.3044548034668,,
8192,644,12,4,30,38.6783883869648,-0.10008251667022705,0.006571718,0.024609375,0.2,-2.822733513265848,-0.002200493009877391,0.0003,0.9899815320968628,0.4837665557861328,,
10240,646,15,5,40,36.11195570155978,-0.039312124252319336,0.006691493,0.0263671875,0.2,-2.8196051746606825,-0.003285755214164965,0.0003,0.9888497591018677,1.1359933614730835,9989.0,-2983.978749
12288,647,18,6,50,37.41823273897171,-0.004536032676696777,0.006062463,0.047021484375,0.2,-2.8103227078914643,-0.005234392754209694,0.0003,0.9798561930656433,10.218524932861328,9989.0,-2983.978749
14336,635,22,7,60,20.717017172276975,0.001474618911743164,0.0081929825,0.0494140625,0.2,-2.787828153371811,-0.004194747831206769,0.0003,0.971713662147522,4.751887321472168,9989.0,-2983.978749
16384,627,26,8,70,32.716732954978944,0.0011840462684631348,0.0024329824,0.009765625,0.2,-2.778152395039797,-0.0007509558039600961,0.0003,0.9702948927879333,1.76895272731781,9989.0,-2983.978749
18432,620,29,9,80,28.914132189005613,-0.015999197959899902,0.0030695784,0.008935546875,0.2,-2.778526060283184,-0.0028335272036201786,0.0003,0.9709372520446777,1.355432391166687,9989.0,-2983.978749
20480,614,33,10,90,30.563580283522604,0.007974445819854736,0.0048058005,0.0220703125,0.2,-2.779415789246559,-0.003397091883380199,0.0003,0.9707218408584595,1.9029492139816284,9989.0,-5428.134244999999
22528,610,36,11,100,57.30544093847275,-0.0004304647445678711,0.0053144405,0.04189453125,0.2,-2.785674782842398,-0.003136565358727239,0.0003,0.976202130317688,40.51509094238281,9989.0,-5428.134244999999
24576,606,40,12,110,6.073156160116196,0.0009009838104248047,0.009416284,0.064892578125,0.2,-2.787192587554455,-0.005074821754533332,0.0003,0.9716848134994507,1.9951956272125244,9989.0,-5428.134244999999
26624,609,43,13,120,5.756216791272164,0.0012922286987304688,0.009269415,0.084375,0.2,-2.7705279015004636,-0.0010679886079742573,0.0003,0.961255669593811,2.6820662021636963,9989.0,-5428.134244999999
28672,606,47,14,130,5.312013786286116,-0.04367780685424805,0.009032637,0.064111328125,0.2,-2.758799811452627,-0.0036188686906825753,0.0003,0.9619467854499817,2.3688154220581055,9989.0,-5428.134244999999
30720,604,50,15,140,1.3225048389285803,-0.0020178556442260742,0.009536416,0.061572265625,0.2,-2.7565950825810432,-0.004602599040663335,0.0003,0.959942102432251,0.34951987862586975,9989.0,-5246.977892
32768,602,54,16,150,53.002892303466794,0.0006223320960998535,0.00781519,0.048095703125,0.2,-2.756312858313322,-0.0019165569072356447,0.0003,0.9594944715499878,34.61019515991211,9989.0,-5246.977892
34816,605,57,17,160,35.565114787220956,-0.00353240966796875,0.0075103915,0.03974609375,0.2,-2.7509979009628296,-0.003254115667368751,0.0003,0.9530861973762512,8.785419464111328,9989.0,-5246.977892
36864,608,60,18,170,14.068583559989928,0.008919358253479004,0.0064199883,0.05009765625,0.2,-2.749407274276018,-0.0042605913316947405,0.0003,0.961951732635498,5.114513874053955,9989.0,-5246.977892
38912,611,63,19,180,96.15703152418136,-0.005646228790283203,0.005700849,0.031298828125,0.2,-2.7628821708261966,-0.0005600466276519001,0.0003,0.9650375843048096,25.030229568481445,9989.0,-5246.977892
40960,613,66,20,190,37.277612388134,0.01760774850845337,0.006159861,0.034814453125,0.2,-2.7688675589859484,-0.003052002594631631,0.0003,0.9663794040679932,17.99679183959961,9989.0,-3715.9961144999997
43008,615,69,21,200,12.970944724977016,-0.12048327922821045,0.008898748,0.072802734375,0.2,-2.764493676275015,-0.0025229951934306882,0.0003,0.9605131149291992,4.729583740234375,9989.0,-3715.9961144999997
