time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/std,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
2,1,726,2048,,,,,,,,,,,,,
6,2,680,4096,50.913886612653734,24.284465789794922,-0.0029314756393432617,0.047265625,-2.828436717391014,0.0003,10,0.2,0.9917758703231812,-0.0050434582437446805,0.0062356973,,
9,3,668,6144,43.97089119553566,17.221729278564453,0.0006459355354309082,0.040869140625,-2.813194289803505,0.0003,20,0.2,0.9859136939048767,-0.005205263794778148,0.00455797,,
12,4,662,8192,44.807031428813936,20.6553897857666,-0.008501291275024414,0.0330078125,-2.815800542384386,0.0003,30,0.2,0.9922809600830078,-0.004152587342832703,0.00559145,,
15,5,659,10240,35.965163892507555,16.426687240600586,-0.007611632347106934,0.077392578125,-2.822887247800827,0.0003,40,0.2,0.9935644865036011,-0.006672964594326913,0.009729337,1171.657222,9989.0
18,6,658,12288,21.620333150029182,4.495711803436279,-0.012352466583251953,0.043359375,-2.8259061805903913,0.0003,50,0.2,0.9942453503608704,-0.005010635461076163,0.006653972,1171.657222,9989.0
21,7,656,14336,51.36419025659561,32.67764663696289,0.009736597537994385,0.04580078125,-2.8287131905555727,0.0003,60,0.2,0.9959515333175659,-0.005759676975139882,0.00598946,1171.657222,9989.0
24,8,655,16384,55.24227804541588,29.382030487060547,-0.007264614105224609,0.05546875,-2.834039419144392,0.0003,70,0.2,1.0004394054412842,-0.00399974519823445,0.006769286,1171.657222,9989.0
28,9,654,18432,51.23502255678177,26.341588973999023,-0.0055844783782958984,0.06904296875,-2.8344439543783664,0.0003,80,0.2,0.994369387626648,-0.006134458848100622,0.009399544,1171.657222,9989.0
31,10,654,20480,61.33231793642044,33.72443389892578,0.002207517623901367,0.072900390625,-2.8259953990578652,0.0003,90,0.2,0.993270993232727,-0.003451889715506695,0.008834627,393.3919445,9989.0
34,11,654,22528,54.30267506837845,26.011032104492188,0.009782910346984863,0.0658203125,-2.8106344513595105,0.0003,100,0.2,0.9790273308753967,-0.006697884519235231,0.007417701,393.3919445,9989.0
37,12,654,24576,49.71541557312012,21.800512313842773,-0.014860272407531738,0.083154296875,-2.789510033279657,0.0003,110,0.2,0.9718464016914368,-0.0046167467342456804,0.0078937225,393.3919445,9989.0
40,13,653,26624,58.49319978952408,29.73366928100586,-0.00406038761138916,0.0728515625,-2.781060640513897,0.0003,120,0.2,0.972528338432312,-0.0033592644991585984,0.008605532,393.3919445,9989.0
43,14,654,28672,50.7355638384819,23.09185218811035,-0.0009161233901977539,0.0681640625,-2.7780564397573473,0.0003,130,0.2,0.9672316908836365,-0.005374784117157106,0.0094022425,393.3919445,9989.0
46,15,653,30720,50.76878648996353,30.38175392150879,-0.003393888473510742,0.091162109375,-2.7625429689884187,0.0003,140,0.2,0.9570711255073547,-0.006019140490388963,0.009077037,330.66,9989.0
50,16,653,32768,50.66753710508347,20.141347885131836,-0.009123563766479492,0.077392578125,-2.74745874106884,0.0003,150,0.2,0.9557778835296631,-0.004201815005217213,0.008761094,330.66,9989.0
53,17,653,34816,58.427947151660916,29.151809692382812,-0.0025533437728881836,0.0974609375,-2.746929117292166,0.0003,160,0.2,0.9562666416168213,-0.0028120417446189094,0.010300857,330.66,9989.0
56,18,654,36864,49.085365653038025,25.534637451171875,9.40561294555664e-05,0.087939453125,-2.734775874018669,0.0003,170,0.2,0.9428863525390625,-0.005112654087133706,0.010931336,330.66,9989.0
