time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/entropy_loss,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
2048,2,1,735,,,,,,,,,,,,,
4096,6,2,679,-2.82891661003232,23.18888282775879,0.0003,50.20165717601776,0.003915542,0.031298828125,0.9911096692085266,0.2,-0.0049166283992235545,10,-0.006911635398864746,,
6144,9,3,670,-2.813108517229557,13.897185325622559,0.0003,39.04672248363495,0.0064747995,0.03740234375,0.9835492372512817,0.2,-0.004592694019083865,20,-0.0026150941848754883,,
8192,12,4,667,-2.810033328831196,27.746427536010742,0.0003,54.56317763328552,0.0037527706,0.035400390625,0.9872378706932068,0.2,-0.0041293209083960395,30,0.002925872802734375,,
10240,15,5,665,-2.8044463746249675,26.89505386352539,0.0003,56.23513569831848,0.004330503,0.04453125,0.9788327217102051,0.2,-0.006554294678062433,40,-0.006407260894775391,-708.756111,9989.0
12288,18,6,665,-2.7989249981939794,26.71076774597168,0.0003,56.471506726741794,0.0040495675,0.034326171875,0.983168363571167,0.2,-0.0019439423092990182,50,-0.0008713006973266602,-708.756111,9989.0
14336,21,7,666,-2.7948401160538197,21.2128849029541,0.0003,61.0737026810646,0.0068318816,0.0419921875,0.9716157913208008,0.2,-0.004583375243237242,60,-0.0022155046463012695,-708.756111,9989.0
16384,25,8,653,-2.773042891174555,20.587154388427734,0.0003,54.393162965774536,0.0055847177,0.068310546875,0.9656955599784851,0.2,-0.006389531337481458,70,-0.0067901611328125,-708.756111,9989.0
18432,28,9,654,-2.769933699816465,27.2894229888916,0.0003,54.98531925678253,0.005459762,0.05390625,0.9653812646865845,0.2,-0.0040093422590871345,80,0.0018216967582702637,-708.756111,9989.0
20480,31,10,655,-2.768060167878866,31.13671875,0.0003,50.226792180538176,0.005169331,0.040966796875,0.9651339054107666,0.2,-0.004635109264927451,90,-0.007459402084350586,-360.83000000000004,9989.0
22528,34,11,656,-2.7702286705374717,31.286346435546875,0.0003,50.89936416149139,0.0057535684,0.054736328125,0.9674292802810669,0.2,-0.005010184661659878,100,0.00023573637008666992,-360.83000000000004,9989.0
24576,37,12,656,-2.779013303667307,25.934566497802734,0.0003,41.88615990281105,0.007741967,0.05439453125,0.9729571342468262,0.2,-0.005539732624311,110,-0.0067522525787353516,-360.83000000000004,9989.0
26624,40,13,650,-2.776893312484026,25.678010940551758,0.0003,48.92305995225907,0.008582851,0.067724609375,0.9640628695487976,0.2,-0.0037195101293036716,120,0.0016850829124450684,-360.83000000000004,9989.0
28672,44,14,651,-2.772472520172596,15.111531257629395,0.0003,33.72241780757904,0.009367476,0.071630859375,0.9725422859191895,0.2,-0.0035104864378808997,130,-0.005308628082275391,-360.83000000000004,9989.0
30720,47,15,652,-2.7886606201529505,18.03143882751465,0.0003,40.93513221144676,0.0108078215,0.084814453125,0.9783351421356201,0.2,-0.0071256828145124015,140,0.0035141706466674805,-220.436111,9989.0
32768,50,16,653,-2.781499920040369,18.06112289428711,0.0003,38.15405294299126,0.008156904,0.063671875,0.9658293128013611,0.2,-0.006027879196335561,150,-0.007834315299987793,-220.436111,9989.0
34816,53,17,654,-2.7809499889612197,20.09074592590332,0.0003,48.05968551635742,0.006359188,0.060009765625,0.9793236255645752,0.2,-0.00502859842235921,160,-0.005603909492492676,-220.436111,9989.0
36864,56,18,654,-2.800129725784063,22.497020721435547,0.0003,48.8746732711792,0.0071585244,0.061474609375,0.9858834743499756,0.2,-0.0046286409808089955,170,-0.0002650022506713867,-220.436111,9989.0
38912,59,19,655,-2.814094525575638,34.07625198364258,0.0003,56.64580501317978,0.008692358,0.068701171875,0.9895241856575012,0.2,-0.005479958442447241,180,-0.0026892423629760742,-220.436111,9989.0
40960,62,20,655,-2.825251205265522,35.07537078857422,0.0003,56.702309858798984,0.010596523,0.0771484375,0.9971870183944702,0.2,-0.0020889873878331853,190,8.32676887512207e-05,-194.64236100000002,9989.0
43008,65,21,656,-2.820837378501892,23.84493637084961,0.0003,45.91192652583122,0.0089281835,0.091845703125,0.9833099842071533,0.2,-0.007354751457751263,200,0.0007311701774597168,-194.64236100000002,9989.0
45056,68,22,656,-2.798882604390383,21.78180694580078,0.0003,46.62379183173179,0.010480588,0.079833984375,0.9790267944335938,0.2,-0.005804244505998213,210,-0.00026357173919677734,-194.64236100000002,9989.0
47104,72,23,652,-2.78450988009572,21.722627639770508,0.0003,53.05727373361587,0.009262007,0.070263671875,0.9667972326278687,0.2,-0.00400197258713888,220,0.0016276836395263672,-194.64236100000002,9989.0
49152,75,24,652,-2.757474736869335,24.96047592163086,0.0003,50.4102022767067,0.01118111,0.0935546875,0.9567977786064148,0.2,-0.002109818221651949,230,-0.0003650188446044922,-194.64236100000002,9989.0
51200,78,25,653,-2.7485748790204525,19.948902130126953,0.0003,40.79065607786178,0.01024269,0.07978515625,0.9540297985076904,0.2,-0.0011547481044544838,240,-0.0018012523651123047,-167.42066660000003,9989.0
53248,81,26,653,-2.7455347813665867,22.945650100708008,0.0003,51.425622755289076,0.011490183,0.106982421875,0.9570327997207642,0.2,-0.0006013757796608843,250,-0.008405089378356934,-167.42066660000003,9989.0
55296,84,27,654,-2.7534478113055227,20.244304656982422,0.0003,51.36182799935341,0.009113556,0.1056640625,0.9623463749885559,0.2,-0.001076632809417788,260,-0.00655364990234375,-167.42066660000003,9989.0
57344,87,28,654,-2.748384066671133,26.049724578857422,0.0003,53.33988053798676,0.012250837,0.10732421875,0.9522742033004761,0.2,-0.004997877252753824,270,-0.0006576776504516602,-167.42066660000003,9989.0
59392,90,29,654,-2.7351806834340096,32.24372482299805,0.0003,56.1807245850563,0.010396095,0.11025390625,0.9473450183868408,0.2,-0.0037972770049236717,280,-0.000607609748840332,-167.42066660000003,9989.0
61440,93,30,654,-2.7313587233424186,27.19487762451172,0.0003,52.57776975631714,0.008140737,0.09140625,0.9488570690155029,0.2,-0.0009068501327419654,290,-0.005427002906799316,-203.18435183333335,9989.0
63488,96,31,655,-2.7291279420256616,24.324527740478516,0.0003,46.576916420459746,0.01069992,0.100390625,0.9445616602897644,0.2,-0.004069534031441435,300,-0.00015485286712646484,-203.18435183333335,9989.0
65536,99,32,655,-2.726430556178093,18.179195404052734,0.0003,45.01112494468689,0.013135813,0.114990234375,0.9475268125534058,0.2,-0.001752073325042147,310,-0.0004297494888305664,-203.18435183333335,9989.0
67584,103,33,655,-2.7245591036975383,22.728893280029297,0.0003,47.02898538708687,0.009204937,0.084228515625,0.9418419003486633,0.2,-0.002676150629122276,320,0.00421065092086792,-203.18435183333335,9989.0
69632,106,34,656,-2.7244734317064285,24.564496994018555,0.0003,48.59700148105621,0.009053274,0.0990234375,0.9472349882125854,0.2,-0.0034249452684889546,330,0.0009101629257202148,-203.18435183333335,9989.0
71680,109,35,656,-2.7124428287148477,25.165040969848633,0.0003,58.616384506225586,0.012989726,0.084228515625,0.9347960948944092,0.2,-0.0025509679020615295,340,-0.007697939872741699,-245.80555557142858,9989.0
73728,112,36,656,-2.690660897642374,30.839557647705078,0.0003,59.75206459760666,0.01056938,0.11884765625,0.923780620098114,0.2,-0.007367096003144979,350,-0.0013312101364135742,-245.80555557142858,9989.0
75776,115,37,656,-2.6847500652074814,30.759933471679688,0.0003,54.615715372562406,0.011676867,0.102783203125,0.9273242354393005,0.2,0.0005388068748288788,360,0.0011197924613952637,-245.80555557142858,9989.0
77824,118,38,657,-2.689902366697788,23.655956268310547,0.0003,51.14606189727783,0.008741159,0.125537109375,0.9307230710983276,0.2,-0.0028836470664828084,370,-0.007803201675415039,-245.80555557142858,9989.0
79872,121,39,657,-2.6899653114378452,23.984174728393555,0.0003,53.89178432226181,0.0099906055,0.09853515625,0.9275087118148804,0.2,-0.002977710850245785,380,-0.0038034915924072266,-245.80555557142858,9989.0
81920,124,40,657,-2.690314604341984,28.38374137878418,0.0003,59.63922550678253,0.00974985,0.089453125,0.9298311471939087,0.2,-0.004250393717666156,390,0.0007957816123962402,-272.06972225000004,9989.0
83968,127,41,657,-2.6766966871917246,25.0137996673584,0.0003,49.80052455663681,0.009896368,0.11376953125,0.9168082475662231,0.2,-0.007369598804507405,400,-0.001620650291442871,-272.06972225000004,9989.0
86016,130,42,657,-2.661534310877323,22.673002243041992,0.0003,47.549300980567935,0.011638469,0.085888671875,0.9166608452796936,0.2,-0.001534958630509209,410,0.004162847995758057,-272.06972225000004,9989.0
