Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
9999,9999,1991.6499999999949,0.1568142,2,0.0,-0.7294945843264224,True,792,1070,1862,"{'r': -0.729495, 'l': 9989, 't': 15.942766}",False
9999,19988,1036.269999999993,0.7896635,1,0.0,-1.33017523715967,True,796,1090,1886,"{'r': -1.330175, 'l': 9989, 't': 32.73005}",False
9999,29977,1590.9599999999948,0.63351154,1,0.0,-0.8731602283524107,True,821,1055,1876,"{'r': -0.87316, 'l': 9989, 't': 48.565419}",False
9999,39966,16917.430000000164,-1.0,2,0.0,1.447968603425392,True,811,1023,1834,"{'r': 1.447969, 'l': 9989, 't': 63.830395}",False
9999,49955,2314.979999999994,-0.5927555,2,0.0,-0.5201160150752867,True,782,1069,1851,"{'r': -0.520116, 'l': 9989, 't': 78.683761}",False
9999,59944,5534.10999999996,-1.0,0,0.017219227156677137,0.37661030591729727,True,791,1089,1880,"{'r': 0.37661, 'l': 9989, 't': 94.048766}",False
9999,69933,1565.5199999999988,-0.8383604,2,0.0,-1.0012747471273895,True,800,1102,1902,"{'r': -1.001275, 'l': 9989, 't': 109.435443}",False
9999,79922,74158.81999999996,-0.09908769,0,0.0,2.9377771737899487,True,866,1001,1867,"{'r': 2.937777, 'l': 9989, 't': 124.734027}",False
9999,89911,2299.799999999994,-0.45773456,1,0.0,-0.5977077184892087,True,757,1071,1828,"{'r': -0.597708, 'l': 9989, 't': 139.252499}",False
9999,99900,14484.370000000032,0.3329433,1,0.0,1.274868908114796,True,755,1067,1822,"{'r': 1.274869, 'l': 9989, 't': 154.041325}",False
9999,109889,10203.179999999998,-0.01984632,0,0.0,0.8857027698840351,True,770,1029,1799,"{'r': 0.885703, 'l': 9989, 't': 168.804864}",False
9999,119878,9696.630000000065,-1.0,2,0.0,0.8910249993186753,True,723,1051,1774,"{'r': 0.891025, 'l': 9989, 't': 183.544788}",False
9999,129867,23642.129999999957,0.051316552,1,0.0,1.7911871672662874,True,796,1065,1861,"{'r': 1.791187, 'l': 9989, 't': 198.379281}",False
9999,139856,567.6900000000745,1.0,1,0.0,-2.0025122232539134,True,797,1148,1945,"{'r': -2.002512, 'l': 9989, 't': 213.754644}",False
9999,149845,1566.610000000013,0.5897304,1,0.0,-0.99469434052243,True,848,1120,1968,"{'r': -0.994694, 'l': 9989, 't': 228.708844}",False
9999,159834,7060.480000000009,-0.6141824,1,0.0,0.5104479438670309,True,888,1148,2036,"{'r': 0.510448, 'l': 9989, 't': 244.656196}",False
9999,169823,16710.809999999936,0.4975112,2,0.0,1.4159700177521646,True,918,1172,2090,"{'r': 1.41597, 'l': 9989, 't': 261.356462}",False
9999,179812,6017.639999999979,-1.0,2,0.0,0.31113493277764076,True,907,1247,2154,"{'r': 0.311135, 'l': 9989, 't': 278.362165}",False
9999,189801,5513.069999999998,0.23814584,0,0.0,0.2559577541952205,True,935,1183,2118,"{'r': 0.255958, 'l': 9989, 't': 293.916328}",False
9999,199790,6188.440000000017,1.0,1,0.0,0.33673127093955196,True,887,1179,2066,"{'r': 0.336731, 'l': 9989, 't': 308.970389}",False
