time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/n_updates,train/std
1,1,2048,1346,1071.0,0.467093,,,,,,,,,,,
3,2,4096,1201,1071.0,0.24625966666666668,0.0044946326,0.0003,-2.82043786495924,-0.005347100607468747,-4.325935363769531,0.02066031540671247,0.040234375,-0.022792009636759758,0.2,10,0.9835464358329773
5,3,6144,1181,1071.0,0.10867959999999999,0.006271612,0.0003,-2.7981660962104797,-0.006665965422143927,-0.16725647449493408,0.014529271784704178,0.056396484375,0.0033696014434099197,0.2,20,0.9778637886047363
6,4,8192,1173,1071.0,0.21012499999999998,0.004680816,0.0003,-2.805382099747658,-0.004699326765694423,-0.08968877792358398,0.00985233807405166,0.0625,-0.00020546885207295418,0.2,30,0.9908509850502014
8,5,10240,1169,1071.0,0.18404822222222222,0.0054010996,0.0003,-2.844313344359398,-0.004367314359842567,-0.09231197834014893,0.007152972579206107,0.0322265625,-0.00930123683065176,0.2,40,1.0139124393463135
10,6,12288,1166,1071.0,0.07534463636363636,0.005471622,0.0003,-2.872880541533232,-0.003865085858706152,-0.06670606136322021,0.005223855479925987,0.04697265625,-0.0029857696499675512,0.2,50,1.0196611881256104
12,7,14336,1167,1071.0,0.06652438461538462,0.006610426,0.0003,-2.8760386489331724,-0.006774484054039931,-0.06000089645385742,0.004512500417695265,0.05380859375,-0.008974277414381504,0.2,60,1.0181556940078735
14,8,16384,1131,1071.0,0.12770233333333333,0.0072159753,0.0003,-2.8707170739769934,-0.005952628368686419,-0.14168834686279297,0.003344847012340324,0.05673828125,-0.00901365838944912,0.2,70,1.0141475200653076
16,9,18432,1133,1071.0,0.08218247058823529,0.0067658955,0.0003,-2.8522062718868257,-0.004737213642511051,-0.058561086654663086,0.0027025768478779353,0.0498046875,-0.002657567150890827,0.2,80,1.0035765171051025
18,10,20480,1135,1071.0,0.056999789473684205,0.0054815267,0.0003,-2.8416967794299124,-0.007095292913436424,-0.052434325218200684,0.0022976092805038206,0.053515625,-0.008809997700154781,0.2,90,1.0012074708938599
19,11,22528,1137,1071.0,0.0862092857142857,0.0038269777,0.0003,-2.844969743490219,-0.005909720389172435,-0.0939251184463501,0.0017768501391401514,0.04765625,-0.004166494123637676,0.2,100,1.0068320035934448
21,12,24576,1140,1071.0,0.12294445454545454,0.0044753104,0.0003,-2.8466749750077724,-0.006351791860652156,-0.09181547164916992,0.0016305824408846092,0.05009765625,-0.013122129254043102,0.2,110,1.0033974647521973
23,13,26624,1140,1071.0,0.12206374999999998,0.005254851,0.0003,-2.8443884901702403,-0.004620963904017117,-0.19986748695373535,0.0012734077328786953,0.040478515625,-0.02475772053003311,0.2,120,1.002150297164917
25,14,28672,1122,1071.0,0.11002330769230768,0.0055814562,0.0003,-2.8428029723465444,-0.004631455268099671,-0.1381748914718628,0.0012052726006004377,0.034130859375,0.02794407308101654,0.2,130,1.0013484954833984
27,15,30720,1104,1071.0,0.09896874999999998,0.0058676247,0.0003,-2.8257764279842377,-0.00551866910973331,-0.1906524896621704,0.0011630381048234994,0.05390625,-0.03409423306584358,0.2,140,0.9893245697021484
30,16,32768,1088,1071.0,0.09460636666666665,0.006582895,0.0003,-2.8248380601406096,-0.006702380687784171,-0.1022634506225586,0.0013438477102681646,0.05771484375,-0.006428638938814402,0.2,150,0.9959150552749634
32,17,34816,1078,1071.0,0.0840455625,0.00655042,0.0003,-2.829784892499447,-0.006520272669877159,-0.11262655258178711,0.001238260884565534,0.051318359375,-0.015543135814368725,0.2,160,0.9946873188018799
34,18,36864,1067,1071.0,0.09796317647058825,0.0042193327,0.0003,-2.82243622764945,-0.0049419877177570015,-0.0586698055267334,0.0013461899106914643,0.04267578125,-0.006345468107610941,0.2,170,0.99188232421875
36,19,38912,1057,1071.0,0.10677522222222223,0.005481752,0.0003,-2.818556498736143,-0.004653611101821298,-0.09944021701812744,0.0011557284200534924,0.04482421875,-0.008437050506472588,0.2,180,0.9912689924240112
39,20,40960,1048,1071.0,0.09682605263157895,0.0047179284,0.0003,-2.8297723278403284,-0.006356267581577413,-0.08791530132293701,0.0011872067065269221,0.047998046875,-0.019496425986289978,0.2,190,1.0023224353790283
41,21,43008,1043,1071.0,0.10442960000000001,0.0054271827,0.0003,-2.8350710690021517,-0.005872334048035555,-0.09321475028991699,0.0011435505624831422,0.043994140625,-0.02156463824212551,0.2,200,0.999093770980835
43,22,45056,1035,1071.0,0.10021578571428573,0.00730685,0.0003,-2.841042245179415,-0.0064728043507784605,-0.055458903312683105,0.0012288223346331507,0.063037109375,-0.016550347208976746,0.2,210,1.0098025798797607
