time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/loss,train/clip_range,train/explained_variance,train/std,train/policy_gradient_loss,train/approx_kl
1,-0.062747,9,12288,1247.5,1243,,,,,,,,,,,
2,0.05512450000000001,22,24576,1455.25,1114,-2.8296616060038406,10,0.03152669270833333,0.013334841054529534,0.0003,0.005347161553800106,0.2,-9.950994491577148,0.992264986038208,-0.0022258174610518227,0.0048735235
3,0.1967782857142857,34,36864,1544.2857142857142,1076,-2.8334794141352178,20,0.056722005208333336,0.003035134714324765,0.0003,0.02271420694887638,0.2,-0.15802514553070068,0.9992985725402832,-0.0020427594899956603,0.00579879
4,0.190795,46,49152,1570.6666666666667,1058,-2.8408108667780954,30,0.0611083984375,0.002213932188957794,0.0003,0.0163304153829813,0.2,-0.18739044666290283,1.000037670135498,-0.0010407029100557945,0.005599273
5,0.20334708333333337,58,61440,1593.75,1047,-2.8443264743934074,40,0.0676513671875,0.0012956113892717742,0.0003,-0.01550293993204832,0.2,-0.09996628761291504,1.0032610893249512,-0.0022675370116000217,0.006799529
6,0.1787322142857143,70,73728,1603.642857142857,1041,-2.845464314892888,50,0.06124674479166667,0.0012069437106826324,0.0003,0.001985144102945924,0.2,0.017048656940460205,1.0059751272201538,0.0009257359299226664,0.005544768
7,0.14167929411764707,82,86016,1614.1176470588234,1036,-2.8480999674648046,60,0.061669921875,0.0009297447621671987,0.0003,0.010675721801817417,0.2,0.013836979866027832,1.007378101348877,-0.001828553730835362,0.0068543707
8,0.11091842105263158,95,98304,1619.2631578947369,1033,-2.83771999143064,70,0.067236328125,0.0008953389660746325,0.0003,0.00952893029898405,0.2,0.04597681760787964,0.9971524477005005,-0.0017460843543328035,0.007369615
9,0.09402345454545456,107,110592,1625.2272727272727,1030,-2.8380515545606615,80,0.07709147135416666,0.0006658535458276067,0.0003,-0.027491390705108643,0.2,0.044401466846466064,1.0019340515136719,-0.0012757748462414989,0.007332997
10,0.08913900000000001,119,122880,1628.375,1027,-2.849708968400955,90,0.0761474609375,0.0007352234228468053,0.0003,0.006165436003357172,0.2,0.07677561044692993,1.0071016550064087,-0.001784034737405212,0.0069213905
11,0.05144474074074074,131,135168,1632.2222222222222,1026,-2.8554803345352413,100,0.07252604166666667,0.0006725477612386991,0.0003,0.01777452975511551,0.2,0.09466320276260376,1.0084623098373413,-0.001475443290595043,0.0072296765
12,0.04161689655172414,143,147456,1634.344827586207,1024,-2.841076540698608,110,0.06349283854166667,0.000673339829275695,0.0003,-0.015172526240348816,0.2,0.10214954614639282,0.9997022151947021,-0.0013141732806010017,0.0061148205
13,0.0497785,156,159744,1637.03125,1023,-2.8272903292129437,120,0.06226399739583333,0.0005763661905120899,0.0003,-0.017475944012403488,0.2,0.07354283332824707,0.9913387894630432,-0.00012325307907303795,0.005580072
14,0.045397617647058824,168,172032,1638.5588235294117,1022,-2.8162539556622503,130,0.07654622395833334,0.000651953326905641,0.0003,-0.0016654350329190493,0.2,0.049498021602630615,0.9867876768112183,-0.0012021103111086026,0.006956237
15,0.05294655555555556,180,184320,1639.9166666666667,1021,-2.8051655302445093,140,0.0796875,0.0006028552477497821,0.0003,-0.0019304531160742044,0.2,0.03317975997924805,0.981887936592102,0.0008110699988416551,0.007764697
16,0.059876435897435895,192,196608,1641.6923076923076,1020,-2.793008342136939,150,0.07618815104166667,0.000577748696029327,0.0003,-0.004984699189662933,0.2,0.038534581661224365,0.9770724773406982,0.0003854659094940871,0.007009108
17,0.07561843902439024,204,208896,1642.7317073170732,1019,-2.7775479033589363,160,0.0502197265625,0.0005930594033012918,0.0003,-0.006394385360181332,0.2,0.04393237829208374,0.9704611897468567,-0.0005120654013201904,0.0052892496
18,0.11025313636363636,217,221184,1644.1136363636363,1019,-2.767343962068359,170,0.0627685546875,0.0005806593689536992,0.0003,-0.014095902442932129,0.2,0.00847703218460083,0.9668453931808472,-0.0003702232776655971,0.006991051
19,0.10911521739130434,229,233472,1644.9347826086957,1018,-2.762624982620279,180,0.07108561197916667,0.000663550364576319,0.0003,0.009442834183573723,0.2,-0.0006185770034790039,0.9632384777069092,-0.0008655652990758729,0.006896153
20,0.09379267346938776,241,245760,1646.0408163265306,1017,-2.777646821613113,190,0.0587890625,0.0005600622767057454,0.0003,-0.022849371656775475,0.2,0.01783853769302368,0.9772062301635742,-0.0009441885992904039,0.0057377107
21,0.10270015686274511,253,258048,1646.7058823529412,1017,-2.7730237282812595,200,0.06871744791666666,0.0005488910134317848,0.0003,0.018491461873054504,0.2,0.026872694492340088,0.9712958335876465,-0.0018404279947086858,0.0069185873
22,0.09690753703703704,265,270336,1647.611111111111,1017,-2.77143479672571,210,0.05236002604166667,0.0005434900900506061,0.0003,0.010244090110063553,0.2,0.0005585551261901855,0.9669197797775269,-0.0007788525540187645,0.005213268
23,0.08907935714285713,277,282624,1648.1607142857142,1016,-2.7692670871814093,220,0.06739095052083334,0.0005048790351565912,0.0003,0.016408976167440414,0.2,-0.008495092391967773,0.967341423034668,-0.001408336731401505,0.0066946424
24,0.09302488135593219,290,294912,1648.915254237288,1016,-2.775160121296843,230,0.0526123046875,0.0005446975819495492,0.0003,-0.010096273384988308,0.2,-0.011261701583862305,0.9728456139564514,-0.0019674271978146864,0.0053532063
25,0.09097468852459015,302,307200,1649.377049180328,1015,-2.800547339146336,240,0.0616455078125,0.0005819844047133907,0.0003,0.001054928870871663,0.2,0.02398759126663208,0.9887381196022034,-0.0013943704242895668,0.006543171
26,0.09103251562499999,314,319488,1650.015625,1015,-2.7997161626815794,250,0.08033854166666667,0.0005722699564103095,0.0003,0.0035943607799708843,0.2,0.04807102680206299,0.9860530495643616,-0.000571288782521151,0.008806942
27,0.08439445454545454,326,331776,1650.409090909091,1015,-2.8037703276922303,260,0.06195475260416667,0.0005713026223171862,0.0003,0.00021797721274197102,0.2,-0.004088997840881348,0.9865279197692871,-0.0006355252820261134,0.0058901347
28,0.08723438235294118,339,344064,1650.7794117647059,1014,-2.8017561823129653,270,0.04820963541666667,0.0006074471767836561,0.0003,-0.0020139405969530344,0.2,0.0036815404891967773,0.9902182817459106,-0.000273059437070818,0.0053255423
29,0.08691363380281691,351,356352,1651.2957746478874,1014,-2.7929330493013063,280,0.0585205078125,0.0006582302513379546,0.0003,-0.009058890864253044,0.2,0.0039389729499816895,0.9807567596435547,-0.0017069744111116354,0.0061667296
30,0.07874979452054795,363,368640,1651.6164383561643,1014,-2.7853115161259967,290,0.07007649739583334,0.0005025653403511872,0.0003,0.024916961789131165,0.2,-0.011655092239379883,0.980034589767456,5.3393249496972805e-06,0.006573682
31,0.08083943421052632,375,380928,1652.0657894736842,1014,-2.774287725860874,300,0.069970703125,0.0005327964204449624,0.0003,0.003733200952410698,0.2,0.012404143810272217,0.9744011759757996,-0.00036390792884049005,0.0067700516
32,0.0801456153846154,387,393216,1652.3461538461538,1014,-2.769390719011426,310,0.060107421875,0.0004961501599230663,0.0003,0.0076474715024232864,0.2,-0.0024451017379760742,0.9758808612823486,-0.00020649509242502971,0.0069676456
33,0.07629462962962963,399,405504,1652.7407407407406,1014,-2.7735097993165256,320,0.06884765625,0.0005888991857318615,0.0003,-0.0011640758020803332,0.2,0.019514262676239014,0.9784231185913086,-0.00023602800526229356,0.006879711
34,0.07888402409638555,411,417792,1652.987951807229,1014,-2.7583776778231064,330,0.05614420572916667,0.0005367444191430574,0.0003,0.001729496754705906,0.2,0.033037781715393066,0.9700653553009033,-0.001241403257639225,0.0052976757
35,0.08040762790697674,423,430080,1653.3372093023256,1014,-2.744320986419916,340,0.07450358072916667,0.0004920195657102037,0.0003,0.015047674998641014,0.2,0.01931309700012207,0.9642401933670044,-0.001831399514048826,0.007145291
36,0.08716504545454544,436,442368,1653.5568181818182,1014,-2.7502593126147987,350,0.0610595703125,0.0005901389791536834,0.0003,-0.013893519528210163,0.2,0.020260334014892578,0.9682298898696899,-0.0006366279478243087,0.0051571084
37,0.09190220879120878,448,454656,1653.868131868132,1014,-2.746270839373271,360,0.050740559895833336,0.0005394576361519891,0.0003,0.018553398549556732,0.2,0.015056252479553223,0.9650352001190186,-0.00017441791812113175,0.006258221
38,0.09345265591397849,460,466944,1654.0645161290322,1014,-2.7329003881663083,370,0.054052734375,0.0005950681220989888,0.0003,-0.012798530049622059,0.2,0.006424009799957275,0.9596884250640869,-0.001169734767123979,0.005630806
39,0.09285704166666665,472,479232,1654.34375,1014,-2.733489437773824,380,0.0637451171875,0.000571425916117126,0.0003,-0.01374371349811554,0.2,0.032103776931762695,0.9624807238578796,-0.00018451985912785554,0.005557138
40,0.09504386734693876,484,491520,1654.5204081632653,1014,-2.722819398591916,390,0.0629150390625,0.0005593392171552599,0.0003,0.009496983140707016,0.2,-0.001581430435180664,0.9522128105163574,0.00096310612182909,0.0056932704
41,0.09379156999999999,496,503808,1654.69,1014,-2.707026332244277,400,0.07237955729166666,0.0005138628887910575,0.0003,0.013355686329305172,0.2,-0.0038698911666870117,0.9513717889785767,-0.0008631925715841741,0.006700939
42,0.09468555000000001,508,516096,1663.0,1014,-2.6952542377014956,410,0.05648600260416667,0.0006353946953519577,0.0003,0.025162501260638237,0.2,0.007366180419921875,0.9455390572547913,8.6462084921853e-05,0.0053593493
43,0.09840513999999999,521,528384,1663.0,1014,-2.693607713282108,420,0.10933430989583333,0.0005518711304830504,0.0003,0.003490091534331441,0.2,0.025331556797027588,0.9477223753929138,0.0026550899625969273,0.009598902
44,0.09158253999999999,533,540672,1663.0,1013,-2.7112936792274316,430,0.04931640625,0.0005548122558745187,0.0003,0.008905659429728985,0.2,0.04823726415634155,0.956465482711792,-0.0011758824800684427,0.0048727947
45,0.08449893000000001,545,552960,1663.0,1013,-2.705873282253742,440,0.07388509114583333,0.0005244264420601515,0.0003,0.004964635241776705,0.2,0.050941288471221924,0.9494824409484863,-0.0016255246865815329,0.00679592
46,0.08096215,557,565248,1663.0,1013,-2.69448971375823,450,0.06385091145833334,0.0005358587605314824,0.0003,-0.007841765880584717,0.2,0.01159590482711792,0.94715416431427,0.00010402864597078102,0.006021185
47,0.08484427999999998,569,577536,1663.0,1014,-2.6760432509084544,460,0.06063639322916667,0.0004922922365570533,0.0003,0.00601521460339427,0.2,0.008723914623260498,0.9371522665023804,0.0006657542534715806,0.0070108343
48,0.0887235,581,589824,1663.0,1014,-2.6580091788123053,470,0.056502278645833334,0.0005489753050900011,0.0003,-0.008901214227080345,0.2,0.00433725118637085,0.9272162914276123,-0.00013683710785699076,0.0052903392
49,0.09204214000000001,593,602112,1663.0,1014,-2.6512598750491936,480,0.05034993489583333,0.0005106327405883348,0.0003,0.0031938545871526003,0.2,0.018406450748443604,0.9299523830413818,0.0005982358687712501,0.005533077
50,0.10308492999999999,605,614400,1663.0,1013,-2.6373472407460214,490,0.057275390625,0.0005580698245770085,0.0003,0.007594642695039511,0.2,0.020278334617614746,0.9224535226821899,-0.0005470532048396611,0.0059977216
51,0.10106706999999998,618,626688,1663.0,1013,-2.635821720957756,500,0.057047526041666664,0.0005613970725638259,0.0003,-0.005593340378254652,0.2,0.027819573879241943,0.9291129112243652,-0.00014345543895615264,0.0046837074
52,0.10290853999999999,630,638976,1663.0,1013,-2.630786475663384,510,0.06200358072916667,0.0005714097882143202,0.0003,0.01575586199760437,0.2,0.03874993324279785,0.921639084815979,0.0010156692177891577,0.0072629065
53,0.11341461999999998,642,651264,1663.0,1014,-2.624738451341788,520,0.0586181640625,0.0005741480070810212,0.0003,0.007002097554504871,0.2,0.06313031911849976,0.9262349009513855,-0.00019817126303678378,0.0057081506
54,0.11659893,654,663552,1663.0,1014,-2.613328466316064,530,0.05773111979166667,0.0006020552592720681,0.0003,0.0030058622360229492,0.2,0.013139188289642334,0.9186403751373291,5.999252656086658e-05,0.0064797536
55,0.11572976000000003,666,675840,1663.0,1014,-2.5959663935005666,540,0.060408528645833334,0.0005432965657746536,0.0003,-0.01598425582051277,0.2,0.01751267910003662,0.9110336303710938,-0.0008205791113141458,0.006640704
56,0.11673707000000003,678,688128,1663.0,1014,-2.5981664242843787,550,0.056005859375,0.000537311555785891,0.0003,0.017733588814735413,0.2,0.03770279884338379,0.9130276441574097,-0.0001942047628593476,0.0054919445
57,0.12706263,690,700416,1663.0,1014,-2.574914395188292,560,0.058642578125,0.0005773657895057719,0.0003,-0.0039360132068395615,0.2,0.08250951766967773,0.9029643535614014,-0.00043656312530705087,0.0072567128
58,0.10797723000000004,702,712704,1663.0,1014,-2.5692900609225036,570,0.056966145833333336,0.000572382921480615,0.0003,-0.017176032066345215,0.2,0.004997670650482178,0.8998644948005676,0.0009889212623723628,0.005951643
59,0.08939279999999998,714,724992,1663.0,1013,-2.5415121604998907,580,0.060262044270833336,0.0005385443207690817,0.0003,-0.005972896236926317,0.2,0.023268282413482666,0.8877562284469604,-0.0007251500520699968,0.0057126507
60,0.08202493999999998,727,737280,1663.0,1014,-2.545242245743672,590,0.06615397135416666,0.0005872171301689377,0.0003,0.011425408534705639,0.2,0.034050047397613525,0.890194296836853,0.0003447273787363277,0.0057995245
61,0.08643181999999998,739,749568,1663.0,1014,-2.5515260064353544,600,0.054549153645833334,0.0005016589033478643,0.0003,0.008977171033620834,0.2,0.04713207483291626,0.895668625831604,0.00018324337191491698,0.0065552653
62,0.08188188,751,761856,1663.0,1014,-2.544250365222494,610,0.07296549479166667,0.0005699349583816608,0.0003,0.011042160913348198,0.2,0.05117243528366089,0.8919687271118164,-4.405970345639313e-05,0.0059946612
63,0.07781714,763,774144,1663.0,1014,-2.531642031421264,620,0.0528076171875,0.0005401879061992076,0.0003,-0.005530306603759527,0.2,0.04969191551208496,0.8846084475517273,-0.00042843949850066563,0.0052407454
64,0.07301221,775,786432,1663.0,1014,-2.5288139045238496,630,0.0552734375,0.0005675258448415359,0.0003,-0.0018202464561909437,0.2,0.03664451837539673,0.8855196237564087,-0.000332790623845843,0.0053717084
65,0.061603319999999996,787,798720,1663.0,1014,-2.530961096038421,640,0.06640625,0.0006106983869964704,0.0003,0.014581630937755108,0.2,0.03319251537322998,0.8869580626487732,-4.9020833588050056e-05,0.0071401484
66,0.05705152,799,811008,1663.0,1014,-2.5377830075720946,650,0.057755533854166666,0.0005727688566821599,0.0003,0.004993046633899212,0.2,0.03348207473754883,0.891477108001709,-0.00036912371336560076,0.0054836087
67,0.053208479999999996,811,823296,1663.0,1014,-2.5344249182691176,660,0.04825032552083333,0.0005114238228770773,0.0003,-0.006951057352125645,0.2,0.06419175863265991,0.8913674354553223,5.905318200044955e-05,0.0048628473
