time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_range
10,1247.5,12288,1207,1,0.298112,,,,,,,,,,,
22,1455.25,24576,1092,2,0.14253849999999998,0.013573097161133774,0.0003,-8.740372657775879,0.9972225427627563,10,0.026033528645833335,0.010871555656194687,0.003846369,-0.001285743964035646,-2.835251306494077,0.2
34,1544.2857142857142,36864,1057,3,-0.044504285714285725,0.0028225034614176065,0.0003,-0.6634656190872192,0.9922406077384949,20,0.04627278645833333,-0.0038870112039148808,0.0056115207,-0.002162947760371026,-2.828591567774614,0.2
47,1570.6666666666667,49152,1039,4,-0.063409,0.0013947008821863468,0.0003,-0.2530609369277954,0.9875757694244385,30,0.054296875,-0.01313359197229147,0.0059088063,-0.0018993946078505056,-2.814769333600998,0.2
59,1593.75,61440,1029,5,-0.00411141666666666,0.0010020470523159019,0.0003,-0.08558523654937744,0.9922763109207153,40,0.058089192708333334,0.00044833714491687715,0.006700833,-0.0011559250713617075,-2.820014363278945,0.2
72,1603.642857142857,73728,1021,6,-0.019674714285714278,0.0008502442681068108,0.0003,-0.024483084678649902,0.9838992953300476,50,0.057942708333333336,0.005668753758072853,0.0069766142,-0.0007113329593266826,-2.817368263254563,0.2
84,1614.1176470588234,86016,1017,7,0.026907176470588236,0.0006966225449104968,0.0003,-0.0237882137298584,0.9824823141098022,60,0.078466796875,0.011392327956855297,0.0073952745,-0.0008639349388734747,-2.8026320713261765,0.2
97,1619.2631578947369,98304,1012,8,0.05010752631578948,0.0006490653301852945,0.0003,-0.015010833740234375,0.9786367416381836,70,0.06803385416666667,-0.016438249498605728,0.0064610257,-0.0007035189114200572,-2.795359896744291,0.2
109,1625.2272727272727,110592,1009,9,0.03992604545454546,0.0006542369369071821,0.0003,-0.0055179595947265625,0.9683905243873596,80,0.059464518229166666,-0.007666052784770727,0.005705545,-0.002046925360627938,-2.7841834797213476,0.2
121,1628.375,122880,1007,10,0.041792583333333334,0.000593402182077322,0.0003,0.017513692378997803,0.9747828841209412,90,0.0727783203125,-0.004211383406072855,0.006839166,-0.0019481069612083957,-2.7843969125300645,0.2
134,1632.2222222222222,135168,1002,11,0.01886696296296297,0.0007049542040173643,0.0003,0.01559072732925415,0.975443959236145,100,0.06708170572916666,-0.005512195639312267,0.0062422235,-0.0008740445492245878,-2.785406592984994,0.2
147,1634.344827586207,147456,1000,12,0.016100379310344835,0.0006082331652881597,0.0003,0.01344609260559082,0.9749327898025513,110,0.06638997395833333,-0.009131011553108692,0.007093193,-0.001451712960988516,-2.7888513742635648,0.2
160,1637.03125,159744,997,13,-0.021036937500000005,0.000569709458742788,0.0003,0.016403377056121826,0.9619367122650146,120,0.0784912109375,-0.006620663218200207,0.008165137,-0.0002521131340472493,-2.7709089893847705,0.2
172,1638.5588235294117,172032,995,14,-0.05126141176470588,0.0006475074088257316,0.0003,0.015949249267578125,0.964753270149231,130,0.065478515625,0.007144420873373747,0.0066384804,-0.0019006608223814208,-2.765925600628058,0.2
185,1639.9166666666667,184320,994,15,-0.065137,0.0005063999660251284,0.0003,0.015163600444793701,0.966458797454834,140,0.08753255208333334,-0.031207982450723648,0.008198495,-0.0012968460561144943,-2.77307267660896,0.2
197,1641.6923076923076,196608,993,16,-0.0923001282051282,0.0005975472440847322,0.0003,-0.014075160026550293,0.9573889374732971,150,0.069287109375,-0.013697752729058266,0.0059866034,-0.0006449337619415018,-2.755674674610297,0.2
210,1642.7317073170732,208896,991,17,-0.10051753658536586,0.000543695555203764,0.0003,0.007049441337585449,0.9503597021102905,160,0.06466471354166667,-0.0030748399440199137,0.006735243,-0.0012129646444615598,-2.735362456118067,0.2
