time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/value_loss,train/n_updates
1,1336,-0.244451,1071.0,1,2048,,,,,,,,,,,
3,1212,-0.18903333333333336,1071.0,2,4096,0.0003,-18.91512107849121,0.9941221475601196,-2.833194260299206,-0.004179151671996806,0.004140232,0.2,0.04189453125,0.005501179955899715,0.014976992917218013,10
5,1179,-0.156315,1071.0,3,6144,0.0003,-1.7888622283935547,0.982299268245697,-2.8145020261406897,-0.005038953959592618,0.00436428,0.2,0.027392578125,-0.003025595098733902,0.0027190536577109013,20
7,1164,-0.15848185714285715,1071.0,4,8192,0.0003,-0.906484842300415,0.9867439270019531,-2.8077618524432184,-0.003812257714162115,0.0026002137,0.2,0.019677734375,-0.03410924971103668,0.002015305749955587,30
8,1155,-0.12439044444444446,1071.0,5,10240,0.0003,-0.5596954822540283,0.9910140037536621,-2.8182125471532347,-0.006140298239915865,0.004661641,0.2,0.03017578125,-0.011780871078372002,0.0018542134803283261,40
10,1150,-0.10147936363636365,1071.0,6,12288,0.0003,-0.49352991580963135,0.9825130701065063,-2.8103942073881627,-0.005150800752744544,0.005673661,0.2,0.04736328125,-0.002797373104840517,0.001463053208317433,50
12,1146,-0.11706776923076924,1071.0,7,14336,0.0003,-0.3864259719848633,0.9735073447227478,-2.7936640731990336,-0.004191912414535181,0.005340304,0.2,0.0330078125,-0.009714090265333652,0.0013194790777561138,60
14,1143,-0.14251686666666666,1071.0,8,16384,0.0003,-0.350116491317749,0.9701659679412842,-2.780302079766989,-0.006159804641356459,0.0046731886,0.2,0.0404296875,0.0028162337839603424,0.001006083152424253,70
16,1141,-0.1309808823529412,1071.0,9,18432,0.0003,-0.3434617519378662,0.9691401720046997,-2.7771477796137334,-0.005523292100406252,0.005460117,0.2,0.04609375,0.00475500151515007,0.0010723199862695764,80
18,1110,-0.11374147368421055,1071.0,10,20480,0.0003,-0.25351953506469727,0.9670702815055847,-2.7730406403541563,-0.005489451271569123,0.0057794284,0.2,0.056103515625,0.00681370310485363,0.0011006372329575242,90
20,1086,-0.05381914285714288,1071.0,11,22528,0.0003,-0.15167391300201416,0.9558981657028198,-2.756501315534115,-0.004672812393982895,0.0075487657,0.2,0.04970703125,-0.025860585272312164,0.0013053027283604023,100
22,1089,-0.04307577272727275,1071.0,12,24576,0.0003,-0.10931205749511719,0.9589411616325378,-2.7530280128121376,-0.003527284324809443,0.005521748,0.2,0.040576171875,0.004022326320409775,0.001209935385850258,110
24,1091,-0.006476166666666662,1071.0,13,26624,0.0003,-0.1278214454650879,0.9518314599990845,-2.743918363004923,-0.0042743874284496995,0.005343263,0.2,0.044384765625,-0.01990719698369503,0.0010130002299774787,120
26,1073,0.03871426923076923,1071.0,14,28672,0.0003,-0.11729907989501953,0.9433050155639648,-2.728209565579891,-0.0065293079940602185,0.005199708,0.2,0.05390625,-0.03362876921892166,0.0010003957806475228,130
29,1058,0.02299757142857143,1071.0,15,30720,0.0003,-0.14970612525939941,0.9362437725067139,-2.7115515202283857,-0.0071170145354699345,0.006916226,0.2,0.075341796875,-3.481644671410322e-05,0.0009916400889778743,140
31,1045,0.03482450000000001,1071.0,16,32768,0.0003,-0.05569136142730713,0.9234318137168884,-2.689577282965183,-0.005798728839727119,0.005387262,0.2,0.05283203125,-0.003146895207464695,0.0013864277083484922,150
33,1049,0.052898468750000004,1071.0,17,34816,0.0003,-0.11968505382537842,0.9254375696182251,-2.6808069311082363,-0.004367801112675806,0.0046088295,0.2,0.042529296875,-0.01850280538201332,0.0011607545722654323,160
