time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
721,1,2048,2,,,,,,,,,,,,,
679,2,4096,6,-67.15768432617188,0.0003,0.2,-2.843810372799635,-0.008847278016037307,0.05081628698389977,0.06826171875,1.0071730613708496,0.005606194492429495,10,0.006430839,,
636,3,6144,9,-7.981926918029785,0.0003,0.2,-2.8408176839351653,-0.006302353093633428,0.010911628445319366,0.053466796875,0.9963768124580383,-0.016843872144818306,20,0.0071127834,,
622,4,8192,13,-2.8834822177886963,0.0003,0.2,-2.8317557476460933,-0.00837334471725626,0.006163950968766585,0.062939453125,0.9968340396881104,-0.005503328982740641,30,0.007867861,,
613,5,10240,16,-1.5553953647613525,0.0003,0.2,-2.8363766193389894,-0.008295756554798573,0.00575440060638357,0.06513671875,1.0015500783920288,-0.030207166448235512,40,0.0061015086,0.577143,9989.0
606,6,12288,20,-2.467848300933838,0.0003,0.2,-2.837866246700287,-0.011171477258903906,0.0036638095349189824,0.099755859375,0.9999210834503174,0.013585899956524372,50,0.009493688,0.577143,9989.0
601,7,14336,23,-2.884603500366211,0.0003,0.2,-2.8329835943877697,-0.006681346583354753,0.002843709412991302,0.1271484375,0.9933371543884277,-0.011141972616314888,60,0.0135035645,0.577143,9989.0
608,8,16384,26,-0.8572825193405151,0.0003,0.2,-2.830514927208424,-0.003986427796189673,0.002924129223902128,0.091552734375,0.9987096786499023,-0.003478612285107374,70,0.008740077,0.577143,9989.0
612,9,18432,30,-0.8700405359268188,0.0003,0.2,-2.826355305314064,-0.006801675602036994,0.002082796484683058,0.100146484375,0.9905011653900146,-0.02338956482708454,80,0.008832573,0.577143,9989.0
616,10,20480,33,-0.43605315685272217,0.0003,0.2,-2.809319920092821,-0.004756181720586028,0.0034059896184771787,0.087744140625,0.982035219669342,-0.002284458139911294,90,0.008300645,0.785238,9989.0
620,11,22528,36,-1.196216344833374,0.0003,0.2,-2.7997676752507688,-0.004309368754184107,0.002121657629686524,0.08603515625,0.9794058203697205,-0.03292965143918991,100,0.009576652,0.785238,9989.0
623,12,24576,39,-0.5845201015472412,0.0003,0.2,-2.7885873414576055,-0.004738350359548349,0.002371414588924381,0.07783203125,0.9709213972091675,-0.020407401025295258,110,0.00814271,0.785238,9989.0
625,13,26624,42,-0.3291137218475342,0.0003,0.2,-2.7792358353734015,-0.002064768369018566,0.0022266790030698756,0.09130859375,0.9701433777809143,0.01608995907008648,120,0.008669553,0.785238,9989.0
627,14,28672,45,-0.36499929428100586,0.0003,0.2,-2.7691430777311323,-0.005363419372588396,0.0016382997266191524,0.0962890625,0.9596062302589417,-0.015143195167183876,130,0.009332608,0.785238,9989.0
623,15,30720,49,-0.18638694286346436,0.0003,0.2,-2.753038091957569,-0.009708953060908243,0.003580632949524443,0.104931640625,0.956122100353241,0.00633174367249012,140,0.010484275,0.6275253333333334,9989.0
625,16,32768,52,-0.5201505422592163,0.0003,0.2,-2.745878324657679,-0.0031109374889638276,0.001861026444385061,0.082470703125,0.9538763761520386,0.007140167988836765,150,0.008602604,0.6275253333333334,9989.0
627,17,34816,55,-0.38279640674591064,0.0003,0.2,-2.7435293681919575,-0.00755427352123661,0.001718248360157304,0.112841796875,0.9501830339431763,0.000844278372824192,160,0.011531529,0.6275253333333334,9989.0
628,18,36864,58,-0.22531545162200928,0.0003,0.2,-2.7422091856598856,-0.004304089185461634,0.0014405040086785449,0.100048828125,0.9554824829101562,-0.015413252636790276,170,0.010026337,0.6275253333333334,9989.0
629,19,38912,61,-0.28664541244506836,0.0003,0.2,-2.74954598993063,-0.004032863077009096,0.0013835466479577008,0.09453125,0.9561333656311035,0.0007467591785825789,180,0.010799741,0.6275253333333334,9989.0
631,20,40960,64,-0.11932408809661865,0.0003,0.2,-2.74974202811718,-0.0029070097691146655,0.0027904926475457613,0.08134765625,0.9577655792236328,-0.0004897199687547982,190,0.008451083,0.4098085,9989.0
632,21,43008,68,-0.28276240825653076,0.0003,0.2,-2.742783287167549,-0.0030364316509803755,0.001293525415167096,0.115478515625,0.9495973587036133,0.0035969261080026627,200,0.01424532,0.4098085,9989.0
633,22,45056,71,-0.21097254753112793,0.0003,0.2,-2.7408084899187086,-0.0040573330610641275,0.0012564511016535107,0.135107421875,0.9560612440109253,-0.03005537949502468,210,0.014933351,0.4098085,9989.0
634,23,47104,74,-0.12993991374969482,0.0003,0.2,-2.7437128722667694,-0.004940497242205311,0.001559777497277537,0.112060546875,0.950718879699707,0.00024065299658104777,220,0.0141570205,0.4098085,9989.0
635,24,49152,77,-0.04219508171081543,0.0003,0.2,-2.736150287091732,-0.006546245266508777,0.0019493218358547892,0.117529296875,0.9517951011657715,-0.030944030731916428,230,0.011193062,0.4098085,9989.0
632,25,51200,80,-0.09200024604797363,0.0003,0.2,-2.730290426313877,-0.0077055799185473004,0.002167260236819857,0.1005859375,0.9440351724624634,-0.02859269641339779,240,0.0093665235,0.6004020000000001,9989.0
633,26,53248,84,-0.1712496280670166,0.0003,0.2,-2.721171394735575,-0.00579053892288357,0.0014390294289114535,0.0857421875,0.9425363540649414,0.015860432758927345,250,0.009480127,0.6004020000000001,9989.0
634,27,55296,87,-0.08910572528839111,0.0003,0.2,-2.719871485978365,-0.00606166387005942,0.0018973433108840255,0.127978515625,0.9429756999015808,0.0041381134651601315,260,0.016002556,0.6004020000000001,9989.0
634,28,57344,90,-0.07010233402252197,0.0003,0.2,-2.7115749299526213,-0.005646403844002635,0.001182762215830735,0.11328125,0.935943067073822,-0.006969963200390339,270,0.012938845,0.6004020000000001,9989.0
635,29,59392,93,-0.03896641731262207,0.0003,0.2,-2.697351748496294,-0.003456764787551947,0.0026695117721828865,0.13720703125,0.9292780160903931,-0.029870813712477684,280,0.014060696,0.6004020000000001,9989.0
635,30,61440,96,-0.0713728666305542,0.0003,0.2,-2.6839877530932426,-0.006693371382425539,0.0019822180041956018,0.1244140625,0.9223393797874451,-0.005121992435306311,290,0.0132740745,0.23503850000000004,9989.0
633,31,63488,100,-0.1532001495361328,0.0003,0.2,-2.6561345010995865,-0.003511251071904553,0.001331174452934647,0.102978515625,0.9057033061981201,-0.028629470616579056,300,0.013322212,0.23503850000000004,9989.0
634,32,65536,103,-0.0490109920501709,0.0003,0.2,-2.6310280062258244,-0.00451086149259936,0.00185893238412973,0.111767578125,0.8968958854675293,-0.004020677413791418,310,0.011400636,0.23503850000000004,9989.0
634,33,67584,106,-0.02304983139038086,0.0003,0.2,-2.6103894241154193,-0.0008425567430094816,0.0014211384645022918,0.11826171875,0.8876415491104126,0.012031200341880322,320,0.013767697,0.23503850000000004,9989.0
635,34,69632,109,-0.026093482971191406,0.0003,0.2,-2.6019648887217044,-0.0073604169760074,0.002963572348744492,0.114111328125,0.8893861174583435,0.0051898532547056675,330,0.011705808,0.23503850000000004,9989.0
635,35,71680,112,-0.03414559364318848,0.0003,0.2,-2.6010511092841626,-0.005110345252614934,0.0016363882130463025,0.122509765625,0.8868852257728577,-0.02267232909798622,340,0.013045371,0.3951282857142857,9989.0
636,36,73728,115,-0.08979487419128418,0.0003,0.2,-2.597193053364754,-0.0029977452344610357,0.0012908456430523075,0.112939453125,0.8851798176765442,0.007044416386634111,350,0.011308821,0.3951282857142857,9989.0
637,37,75776,118,-0.04989659786224365,0.0003,0.2,-2.588949677348137,-0.0008482751625706441,0.001507855549607484,0.15341796875,0.8802802562713623,0.01355671789497137,360,0.013509957,0.3951282857142857,9989.0
635,38,77824,122,-0.03811514377593994,0.0003,0.2,-2.5733353182673455,-0.0065831730593345125,0.0015434438893862535,0.127978515625,0.8734394311904907,-0.0035244033206254244,370,0.013397109,0.3951282857142857,9989.0
