Step: 2048, Reward: [0.], Info: {'Step': 2058, 'Balance': 5872.219999999991, 'Action': 0.23850523, 'Position': 2, 'Reward': 0.0, 'TotalReward': -0.39270721753756, 'Done': False, 'Wins': 155, 'Losses': 221, 'TotalTrades': 376, 'TimeLimit.truncated': False}
Step: 4096, Reward: [0.], Info: {'Step': 4106, 'Balance': 2972.4899999999934, 'Action': 0.41123652, 'Position': 2, 'Reward': 0.0, 'TotalReward': -0.8602792071300281, 'Done': False, 'Wins': 307, 'Losses': 443, 'TotalTrades': 750, 'TimeLimit.truncated': False}
Step: 6144, Reward: [0.], Info: {'Step': 6154, 'Balance': 3729.2499999999927, 'Action': -0.12564945, 'Position': 2, 'Reward': 0.0, 'TotalReward': -0.5100848795255679, 'Done': False, 'Wins': 476, 'Losses': 658, 'TotalTrades': 1134, 'TimeLimit.truncated': False}
Step: 8192, Reward: [0.], Info: {'Step': 8202, 'Balance': 2638.549999999991, 'Action': -1.0, 'Position': 1, 'Reward': 0.0, 'TotalReward': -0.5351859364126907, 'Done': False, 'Wins': 629, 'Losses': 886, 'TotalTrades': 1515, 'TimeLimit.truncated': False}
Step: 10240, Reward: [-0.02406354], Info: {'Step': 261, 'Balance': 6824.059999999998, 'Action': 1.0, 'Position': 0, 'Reward': -0.024063544002562852, 'TotalReward': -0.364006361237561, 'Done': False, 'Wins': 15, 'Losses': 37, 'TotalTrades': 52, 'TimeLimit.truncated': False}
Step: 12288, Reward: [0.00827783], Info: {'Step': 2309, 'Balance': 3940.379999999992, 'Action': -1.0, 'Position': 0, 'Reward': 0.008277827959355475, 'TotalReward': -0.7520272749769765, 'Done': False, 'Wins': 171, 'Losses': 259, 'TotalTrades': 430, 'TimeLimit.truncated': False}
Step: 14336, Reward: [0.], Info: {'Step': 4357, 'Balance': 6893.779999999995, 'Action': -0.7212263, 'Position': 2, 'Reward': 0.0, 'TotalReward': 0.0023000998750032885, 'Done': False, 'Wins': 347, 'Losses': 464, 'TotalTrades': 811, 'TimeLimit.truncated': False}
Step: 16384, Reward: [0.], Info: {'Step': 6405, 'Balance': 6819.649999999987, 'Action': 1.0, 'Position': 1, 'Reward': 0.0, 'TotalReward': 0.12492610730253789, 'Done': False, 'Wins': 525, 'Losses': 660, 'TotalTrades': 1185, 'TimeLimit.truncated': False}
Step: 18432, Reward: [0.], Info: {'Step': 8453, 'Balance': 2277.6199999999876, 'Action': 0.28100488, 'Position': 2, 'Reward': 0.0, 'TotalReward': -0.6608092690639368, 'Done': False, 'Wins': 687, 'Losses': 896, 'TotalTrades': 1583, 'TimeLimit.truncated': False}
Step: 20480, Reward: [0.], Info: {'Step': 512, 'Balance': 9053.730000000007, 'Action': -1.0, 'Position': 2, 'Reward': 0.0, 'TotalReward': -0.06915639640750697, 'Done': False, 'Wins': 33, 'Losses': 53, 'TotalTrades': 86, 'TimeLimit.truncated': False}
Step: 22528, Reward: [0.], Info: {'Step': 2560, 'Balance': 8724.249999999985, 'Action': -0.8930892, 'Position': 2, 'Reward': 0.0, 'TotalReward': 0.08054262739147482, 'Done': False, 'Wins': 192, 'Losses': 269, 'TotalTrades': 461, 'TimeLimit.truncated': False}
Step: 24576, Reward: [0.], Info: {'Step': 4608, 'Balance': 8592.869999999986, 'Action': 0.5308553, 'Position': 1, 'Reward': 0.0, 'TotalReward': 0.21733527111947953, 'Done': False, 'Wins': 369, 'Losses': 459, 'TotalTrades': 828, 'TimeLimit.truncated': False}
Step: 26624, Reward: [0.], Info: {'Step': 6656, 'Balance': 5350.499999999979, 'Action': 0.32142746, 'Position': 0, 'Reward': 0.0, 'TotalReward': -0.10915573506411085, 'Done': False, 'Wins': 529, 'Losses': 670, 'TotalTrades': 1199, 'TimeLimit.truncated': False}
Step: 28672, Reward: [0.00961483], Info: {'Step': 8704, 'Balance': 8433.029999999973, 'Action': -1.0, 'Position': 0, 'Reward': 0.009614832054707896, 'TotalReward': 0.6843132596007253, 'Done': False, 'Wins': 697, 'Losses': 892, 'TotalTrades': 1589, 'TimeLimit.truncated': False}
Step: 30720, Reward: [0.], Info: {'Step': 763, 'Balance': 12278.989999999998, 'Action': 1.0, 'Position': 1, 'Reward': 0.0, 'TotalReward': 0.26048841423289143, 'Done': False, 'Wins': 61, 'Losses': 72, 'TotalTrades': 133, 'TimeLimit.truncated': False}
Step: 32768, Reward: [0.], Info: {'Step': 2811, 'Balance': 14506.130000000012, 'Action': 0.9205492, 'Position': 1, 'Reward': 0.0, 'TotalReward': 0.5805487105574564, 'Done': False, 'Wins': 205, 'Losses': 281, 'TotalTrades': 486, 'TimeLimit.truncated': False}
Step: 34816, Reward: [0.], Info: {'Step': 4859, 'Balance': 14617.62, 'Action': 0.018301554, 'Position': 0, 'Reward': 0.0, 'TotalReward': 0.7515223676027557, 'Done': False, 'Wins': 370, 'Losses': 484, 'TotalTrades': 854, 'TimeLimit.truncated': False}
