Step: 2048, Info: {'Step': 2058, 'Balance': 4327.360000000004, 'Action': -1.0, 'Position': 2, 'Reward': 0.0, 'TotalReward': -0.706604759592142, 'Done': False, 'Wins': 146, 'Losses': 230, 'TotalTrades': 376, 'TimeLimit.truncated': False}
Step: 4096, Info: {'Step': 4106, 'Balance': 3446.4299999999967, 'Action': 1.0, 'Position': 1, 'Reward': 0.0, 'TotalReward': -0.7584543881133274, 'Done': False, 'Wins': 314, 'Losses': 447, 'TotalTrades': 761, 'TimeLimit.truncated': False}
Step: 6144, Info: {'Step': 6154, 'Balance': 1409.4899999999923, 'Action': -1.0, 'Position': 2, 'Reward': 0.0, 'TotalReward': -1.5171568965691546, 'Done': False, 'Wins': 467, 'Losses': 673, 'TotalTrades': 1140, 'TimeLimit.truncated': False}
Step: 8192, Info: {'Step': 8202, 'Balance': 798.5799999999932, 'Action': 0.9649583, 'Position': 0, 'Reward': 0.03853306456856786, 'TotalReward': -1.7889035291297393, 'Done': False, 'Wins': 631, 'Losses': 922, 'TotalTrades': 1553, 'TimeLimit.truncated': False}
Step: 10240, Info: {'Step': 261, 'Balance': 9872.94, 'Action': -0.035664603, 'Position': 1, 'Reward': 0.0, 'TotalReward': 0.009010427043740048, 'Done': False, 'Wins': 20, 'Losses': 26, 'TotalTrades': 46, 'TimeLimit.truncated': False}
Step: 12288, Info: {'Step': 2309, 'Balance': 6150.990000000001, 'Action': 0.31447423, 'Position': 2, 'Reward': 0.0, 'TotalReward': -0.32991169843793394, 'Done': False, 'Wins': 176, 'Losses': 240, 'TotalTrades': 416, 'TimeLimit.truncated': False}
Step: 14336, Info: {'Step': 4357, 'Balance': 4001.4299999999957, 'Action': 1.0, 'Position': 1, 'Reward': 0.0, 'TotalReward': -0.5570858551024258, 'Done': False, 'Wins': 338, 'Losses': 456, 'TotalTrades': 794, 'TimeLimit.truncated': False}
Step: 16384, Info: {'Step': 6405, 'Balance': 1921.1399999999935, 'Action': -0.08464143, 'Position': 1, 'Reward': 0.0, 'TotalReward': -1.177595495390384, 'Done': False, 'Wins': 502, 'Losses': 667, 'TotalTrades': 1169, 'TimeLimit.truncated': False}
Step: 18432, Info: {'Step': 8453, 'Balance': 501.1599999999944, 'Action': 0.73878044, 'Position': 1, 'Reward': 0.0, 'TotalReward': -2.2381105989041647, 'Done': False, 'Wins': 677, 'Losses': 896, 'TotalTrades': 1573, 'TimeLimit.truncated': False}
Step: 20480, Info: {'Step': 512, 'Balance': 8990.239999999996, 'Action': -1.0, 'Position': 0, 'Reward': 0.015332351532783436, 'TotalReward': -0.07727788649274069, 'Done': False, 'Wins': 41, 'Losses': 50, 'TotalTrades': 91, 'TimeLimit.truncated': False}
Step: 22528, Info: {'Step': 2560, 'Balance': 18775.359999999993, 'Action': 1.0, 'Position': 2, 'Reward': 0.0, 'TotalReward': 0.8133639382446848, 'Done': False, 'Wins': 208, 'Losses': 246, 'TotalTrades': 454, 'TimeLimit.truncated': False}
Step: 24576, Info: {'Step': 4608, 'Balance': 39918.66000000008, 'Action': -0.7625127, 'Position': 2, 'Reward': 0.0, 'TotalReward': 1.756078809349007, 'Done': False, 'Wins': 383, 'Losses': 463, 'TotalTrades': 846, 'TimeLimit.truncated': False}
Step: 26624, Info: {'Step': 6656, 'Balance': 32654.61000000008, 'Action': 0.5216317, 'Position': 1, 'Reward': 0.0, 'TotalReward': 1.7202458102971248, 'Done': False, 'Wins': 551, 'Losses': 679, 'TotalTrades': 1230, 'TimeLimit.truncated': False}
Step: 28672, Info: {'Step': 8704, 'Balance': 5340.780000000088, 'Action': -0.112319306, 'Position': 1, 'Reward': 0.0, 'TotalReward': 0.26689385276517896, 'Done': False, 'Wins': 705, 'Losses': 925, 'TotalTrades': 1630, 'TimeLimit.truncated': False}
