id,timeOpen,timeClose,positionType,tradeResult,priceOpen,priceClose,positionSL,positionTP,profit,symbol,comment
2226,2020-01-27,2020-02-07,BUY,LOSS,1.10195,1.09809,1.0966,0.0,-115.08,asdf,(LONG) Position closed by execution
2227,2020-02-10,2020-02-14,SELL,WIN,1.09106,1.08392,1.0947,0.0,207.67,asdf,(SHORT) Position closed by execution
2228,2020-02-18,2020-02-25,BUY,WIN,1.07909,1.08534,1.068,0.0,185.85,asdf,(LONG) Position closed by execution
2229,2020-02-27,2020-03-04,BUY,WIN,1.09999,1.117,1.0963,0.0,530.16,asdf,(LONG) Position closed by execution
2230,2020-03-06,2020-03-10,SELL,LOSS,1.12895,1.14353,1.1342,0.0,-489.23,asdf,(SHORT) Stop loss hit - failed trade
2231,2020-03-11,2020-03-16,BUY,LOSS,1.12704,1.11002,1.1172,0.0,-529.28,asdf,(LONG) Stop loss hit - failed trade
2232,2020-03-17,2020-03-24,SELL,WIN,1.09987,1.07241,1.1036,0.0,782.66,asdf,(SHORT) Position closed by execution
2233,2020-03-25,2020-04-02,BUY,WIN,1.08809,1.09625,1.0844,0.0,256.74,asdf,(LONG) Position closed by execution
2234,2020-04-06,2020-04-15,BUY,WIN,1.07937,1.09818,1.0683,0.0,607.29,asdf,(LONG) Position closed by execution
2235,2020-04-16,2020-04-24,BUY,LOSS,1.0839,1.07758,1.0779,0.0,-211.46,asdf,(LONG) Stop loss hit - failed trade
2236,2020-04-27,2020-04-29,SELL,WIN,1.08294,1.08197,1.0866,0.0,31.97,asdf,(SHORT) Position closed by execution
2237,2020-04-30,2020-05-06,BUY,LOSS,1.09516,1.08375,1.0842,0.0,-377.91,asdf,(LONG) Stop loss hit - failed trade
2238,2020-05-07,2020-05-14,BUY,LOSS,1.08318,1.0819,1.0746,0.0,-40.91,asdf,(LONG) Position closed by execution
2239,2020-05-15,2020-05-19,SELL,LOSS,1.0819,1.09142,1.0914,0.0,-305.73,asdf,(SHORT) Stop loss hit - failed trade
2240,2020-05-20,2020-05-28,SELL,LOSS,1.09781,1.10093,1.1019,0.0,-98.23,asdf,(SHORT) Position closed by execution
2241,2020-05-29,2020-06-10,BUY,WIN,1.11007,1.13383,1.1011,0.0,763.12,asdf,(LONG) Position closed by execution
2242,2020-06-15,2020-06-19,SELL,WIN,1.13227,1.12046,1.1404,0.0,402.25,asdf,(SHORT) Position closed by execution
2243,2020-06-22,2020-06-26,BUY,LOSS,1.12615,1.12182,1.1225,0.0,-152.98,asdf,(LONG) Stop loss hit - failed trade
2244,2020-06-29,2020-07-01,SELL,WIN,1.12426,1.12336,1.1279,0.0,31.41,asdf,(SHORT) Position closed by execution
2245,2020-07-02,2020-07-07,BUY,WIN,1.12394,1.13089,1.1203,0.0,244.9,asdf,(LONG) Position closed by execution
2246,2020-07-08,2020-07-10,BUY,LOSS,1.13298,1.12848,1.1293,0.0,-161.63,asdf,(LONG) Stop loss hit - failed trade
2247,2020-07-13,2020-07-21,SELL,LOSS,1.13428,1.14478,1.1429,0.0,-377.29,asdf,(SHORT) Stop loss hit - failed trade
2248,2020-07-22,2020-07-24,SELL,LOSS,1.15703,1.15971,1.1614,0.0,-94.38,asdf,(SHORT) Position closed by execution
2249,2020-07-27,2020-07-30,BUY,WIN,1.17513,1.17903,1.1714,0.0,138.43,asdf,(LONG) Position closed by execution
2250,2020-08-04,2020-08-07,BUY,WIN,1.18027,1.18768,1.1765,0.0,268.26,asdf,(LONG) Position closed by execution
2251,2020-08-11,2020-08-21,BUY,WIN,1.17395,1.18612,1.1629,0.0,450.52,asdf,(LONG) Position closed by execution
2252,2020-08-26,2020-09-01,BUY,WIN,1.18303,1.19363,1.1793,0.0,410.35,asdf,(LONG) Position closed by execution
2253,2020-09-02,2020-09-04,BUY,LOSS,1.18542,1.18515,1.1817,0.0,-10.74,asdf,(LONG) Position closed by execution
2254,2020-09-09,2020-09-11,SELL,LOSS,1.1803,1.18147,1.1873,0.0,-46.34,asdf,(SHORT) Position closed by execution
2255,2020-09-14,2020-09-16,BUY,LOSS,1.18638,1.18466,1.1756,0.0,-68.05,asdf,(LONG) Position closed by execution
2256,2020-09-17,2020-09-28,SELL,WIN,1.18477,1.16307,1.1885,0.0,838.11,asdf,(SHORT) Position closed by execution
2257,2020-09-30,2020-10-05,BUY,LOSS,1.17208,1.17162,1.1684,0.0,-19.13,asdf,(LONG) Position closed by execution
2258,2020-10-06,2020-10-09,BUY,WIN,1.17335,1.17601,1.1697,0.0,110.83,asdf,(LONG) Position closed by execution
2259,2020-10-12,2020-10-20,SELL,WIN,1.18119,1.17709,1.1849,0.0,172.44,asdf,(SHORT) Position closed by execution
2260,2020-10-21,2020-10-28,SELL,WIN,1.18611,1.17954,1.1898,0.0,280.53,asdf,(SHORT) Position closed by execution
2261,2020-10-29,2020-11-04,BUY,WIN,1.16731,1.17202,1.1636,0.0,204.03,asdf,(LONG) Position closed by execution
2262,2020-11-05,2020-11-12,BUY,LOSS,1.18269,1.17788,1.1782,0.0,-212.56,asdf,(LONG) Stop loss hit - failed trade
2263,2020-11-13,2020-11-17,BUY,WIN,1.18325,1.18539,1.1753,0.0,93.69,asdf,(LONG) Position closed by execution
2264,2020-11-20,2020-11-25,SELL,LOSS,1.1858,1.18927,1.1903,0.0,-153.5,asdf,(SHORT) Position closed by execution
2265,2020-11-26,2020-12-01,BUY,WIN,1.1913,1.19257,1.1876,0.0,55.69,asdf,(LONG) Position closed by execution
2266,2020-12-02,2020-12-18,BUY,WIN,1.21156,1.22669,1.2074,0.0,685.36,asdf,(LONG) Position closed by execution
2267,2020-12-21,2020-12-24,BUY,LOSS,1.22431,1.21861,1.2133,0.0,-269.43,asdf,(LONG) Position closed by execution
2268,2020-12-28,2021-01-12,BUY,LOSS,1.22148,1.21502,1.2133,0.0,-298.72,asdf,(LONG) Position closed by execution
2269,2021-01-13,2021-01-18,BUY,LOSS,1.21578,1.20757,1.2121,0.0,-369.27,asdf,(LONG) Stop loss hit - failed trade
2270,2021-01-19,2021-01-27,SELL,LOSS,1.21286,1.21598,1.2205,0.0,-137.51,asdf,(SHORT) Position closed by execution
2271,2021-02-02,2021-02-05,BUY,LOSS,1.20431,1.19611,1.1989,0.0,-351.82,asdf,(LONG) Stop loss hit - failed trade
2272,2021-02-08,2021-02-17,BUY,WIN,1.20499,1.21034,1.2013,0.0,226.07,asdf,(LONG) Position closed by execution
2273,2021-02-18,2021-02-22,BUY,WIN,1.20933,1.21172,1.1992,0.0,102.88,asdf,(LONG) Position closed by execution
2274,2021-02-24,2021-03-08,SELL,WIN,1.21684,1.19102,1.2205,0.0,1101.15,asdf,(SHORT) Position closed by execution
2275,2021-03-11,2021-03-16,SELL,WIN,1.19852,1.19298,1.2037,0.0,256.4,asdf,(SHORT) Position closed by execution
2276,2021-03-19,2021-03-24,BUY,LOSS,1.19061,1.18503,1.1865,0.0,-261.16,asdf,(LONG) Stop loss hit - failed trade
2277,2021-03-25,2021-03-29,BUY,WIN,1.17641,1.17929,1.1727,0.0,131.71,asdf,(LONG) Position closed by execution
2278,2021-03-30,2021-04-01,SELL,LOSS,1.17158,1.173,1.1801,0.0,-65.21,asdf,(SHORT) Position closed by execution
2279,2021-04-02,2021-04-06,SELL,LOSS,1.17623,1.18124,1.1799,0.0,-230.6,asdf,(SHORT) Stop loss hit - failed trade
2280,2021-04-07,2021-04-13,BUY,WIN,1.18717,1.19115,1.1835,0.0,181.75,asdf,(LONG) Position closed by execution
2281,2021-04-14,2021-04-19,BUY,WIN,1.19792,1.19822,1.1911,0.0,13.95,asdf,(LONG) Position closed by execution
2282,2021-04-20,2021-04-26,SELL,LOSS,1.20366,1.20975,1.2073,0.0,-286.38,asdf,(SHORT) Stop loss hit - failed trade
2283,2021-04-27,2021-05-05,BUY,LOSS,1.20916,1.20137,1.1981,0.0,-356.51,asdf,(LONG) Position closed by execution
2284,2021-05-07,2021-05-13,BUY,LOSS,1.21635,1.20705,1.2127,0.0,-416.76,asdf,(LONG) Stop loss hit - failed trade
2285,2021-05-17,2021-05-31,BUY,WIN,1.21518,1.2193,1.2115,0.0,180.8,asdf,(LONG) Position closed by execution
2286,2021-06-01,2021-06-04,SELL,WIN,1.2214,1.21271,1.2256,0.0,384.48,asdf,(SHORT) Position closed by execution
2287,2021-06-07,2021-06-10,SELL,WIN,1.21895,1.21792,1.2226,0.0,47.07,asdf,(SHORT) Position closed by execution
2288,2021-06-11,2021-06-22,SELL,WIN,1.21079,1.1918,1.2145,0.0,852.22,asdf,(SHORT) Position closed by execution
2289,2021-06-28,2021-07-01,SELL,WIN,1.19242,1.18577,1.1961,0.0,315.16,asdf,(SHORT) Position closed by execution
2290,2021-07-05,2021-07-07,BUY,LOSS,1.1863,1.18234,1.1826,0.0,-191.15,asdf,(LONG) Stop loss hit - failed trade
2291,2021-07-09,2021-07-14,BUY,LOSS,1.18773,1.17767,1.1823,0.0,-477.53,asdf,(LONG) Stop loss hit - failed trade
2292,2021-07-15,2021-07-19,BUY,LOSS,1.18111,1.18053,1.1774,0.0,-26.72,asdf,(LONG) Position closed by execution
2293,2021-07-20,2021-07-23,BUY,LOSS,1.17805,1.1771,1.1685,0.0,-43.55,asdf,(LONG) Position closed by execution
2294,2021-07-29,2021-08-05,BUY,LOSS,1.18869,1.18371,1.1776,0.0,-228.84,asdf,(LONG) Position closed by execution
2295,2021-08-06,2021-08-16,BUY,WIN,1.17604,1.17952,1.1705,0.0,156.78,asdf,(LONG) Position closed by execution
2296,2021-08-17,2021-08-19,SELL,LOSS,1.17083,1.17091,1.1745,0.0,-3.63,asdf,(SHORT) Position closed by execution
2297,2021-08-23,2021-08-25,BUY,WIN,1.17459,1.17576,1.1709,0.0,53.11,asdf,(LONG) Position closed by execution
2298,2021-08-26,2021-09-01,SELL,LOSS,1.17519,1.18086,1.1805,0.0,-259.51,asdf,(SHORT) Stop loss hit - failed trade
2299,2021-09-02,2021-09-09,BUY,LOSS,1.18753,1.18157,1.1838,0.0,-267.98,asdf,(LONG) Stop loss hit - failed trade
2300,2021-09-10,2021-09-14,BUY,WIN,1.18104,1.18108,1.1774,0.0,1.75,asdf,(LONG) Position closed by execution
2301,2021-09-15,2021-09-17,BUY,LOSS,1.18157,1.17686,1.1779,0.0,-206.93,asdf,(LONG) Stop loss hit - failed trade
2302,2021-09-21,2021-09-23,BUY,LOSS,1.17256,1.16886,1.1689,0.0,-159.03,asdf,(LONG) Stop loss hit - failed trade
2303,2021-09-24,2021-09-30,BUY,LOSS,1.17206,1.15973,1.161,0.0,-519.61,asdf,(LONG) Stop loss hit - failed trade
