id,timeOpen,timeClose,positionType,tradeResult,priceOpen,priceClose,positionSL,positionTP,profit,symbol,comment
4245,2021-02-11,2021-02-18,BUY,LOSS,1.21317,1.20417,1.1988,0.0,-192.42,EURUSD,(LONG) Position closed by execution
4246,2021-02-22,2021-03-09,SELL,WIN,1.21581,1.18465,1.2237,0.0,642.75,EURUSD,(SHORT) Position closed by execution
4247,2021-03-10,2021-03-12,SELL,LOSS,1.19291,1.19852,1.1985,0.0,-124.76,EURUSD,(SHORT) Stop loss hit - failed trade
4248,2021-03-18,2021-03-24,BUY,LOSS,1.19158,1.18503,1.1859,0.0,-142.3,EURUSD,(LONG) Stop loss hit - failed trade
4249,2021-03-25,2021-04-02,SELL,LOSS,1.17641,1.17776,1.1862,0.0,-28.76,EURUSD,(SHORT) Position closed by execution
4250,2021-04-05,2021-04-09,SELL,LOSS,1.18124,1.19162,1.196,0.0,-223.0,EURUSD,(SHORT) Position closed by execution
4251,2021-04-12,2021-04-16,BUY,WIN,1.19115,1.19663,1.1855,0.0,115.62,EURUSD,(LONG) Position closed by execution
4252,2021-04-19,2021-04-23,SELL,WIN,1.20368,1.2016,1.2093,0.0,44.57,EURUSD,(SHORT) Position closed by execution
4253,2021-04-26,2021-05-07,BUY,LOSS,1.2086,1.2064,1.1945,0.0,-47.56,EURUSD,(LONG) Position closed by execution
4254,2021-05-10,2021-05-13,BUY,LOSS,1.21284,1.20705,1.2072,0.0,-124.64,EURUSD,(LONG) Stop loss hit - failed trade
4255,2021-05-14,2021-05-18,SELL,LOSS,1.21458,1.21518,1.2202,0.0,-12.85,EURUSD,(SHORT) Position closed by execution
4256,2021-05-19,2021-05-24,BUY,WIN,1.2176,1.21803,1.2048,0.0,9.2,EURUSD,(LONG) Position closed by execution
4257,2021-05-26,2021-06-04,SELL,WIN,1.21925,1.21271,1.2249,0.0,139.62,EURUSD,(SHORT) Position closed by execution
4258,2021-06-09,2021-06-14,SELL,WIN,1.21792,1.21079,1.2348,0.0,154.11,EURUSD,(SHORT) Position closed by execution
4259,2021-06-15,2021-06-22,SELL,WIN,1.21255,1.1918,1.2294,0.0,448.25,EURUSD,(SHORT) Position closed by execution
4260,2021-06-24,2021-07-01,BUY,LOSS,1.19315,1.18577,1.1875,0.0,-165.6,EURUSD,(LONG) Stop loss hit - failed trade
4261,2021-07-02,2021-07-07,SELL,WIN,1.18664,1.18234,1.1923,0.0,94.7,EURUSD,(SHORT) Position closed by execution
4262,2021-07-08,2021-07-28,SELL,WIN,1.18463,1.18163,1.1903,0.0,66.62,EURUSD,(SHORT) Position closed by execution
4263,2021-08-03,2021-08-09,BUY,LOSS,1.18651,1.17604,1.1696,0.0,-232.91,EURUSD,(LONG) Position closed by execution
4264,2021-08-10,2021-08-13,SELL,LOSS,1.17202,1.17302,1.18,0.0,-21.71,EURUSD,(SHORT) Position closed by execution
4265,2021-08-16,2021-08-18,BUY,LOSS,1.17758,1.17083,1.1607,0.0,-145.92,EURUSD,(LONG) Position closed by execution
4266,2021-08-19,2021-08-24,SELL,LOSS,1.16768,1.17459,1.1733,0.0,-147.76,EURUSD,(SHORT) Stop loss hit - failed trade
4267,2021-08-25,2021-09-03,BUY,WIN,1.17727,1.18753,1.1609,0.0,218.58,EURUSD,(LONG) Position closed by execution
4268,2021-09-07,2021-09-09,SELL,WIN,1.18423,1.18157,1.2011,0.0,57.6,EURUSD,(SHORT) Position closed by execution
4269,2021-09-13,2021-09-16,SELL,LOSS,1.18108,1.18157,1.1867,0.0,-10.68,EURUSD,(SHORT) Position closed by execution
4270,2021-09-17,2021-09-22,SELL,WIN,1.1726,1.17256,1.1814,0.0,0.85,EURUSD,(SHORT) Position closed by execution
4271,2021-09-23,2021-09-27,SELL,WIN,1.1739,1.17206,1.1908,0.0,39.7,EURUSD,(SHORT) Position closed by execution
4272,2021-09-30,2021-10-07,BUY,LOSS,1.15769,1.15565,1.1521,0.0,-43.59,EURUSD,(LONG) Position closed by execution
4273,2021-10-08,2021-10-12,BUY,LOSS,1.15746,1.15535,1.1406,0.0,-44.88,EURUSD,(LONG) Position closed by execution
4274,2021-10-13,2021-10-18,BUY,WIN,1.1596,1.15992,1.154,0.0,6.79,EURUSD,(LONG) Position closed by execution
4275,2021-10-19,2021-10-28,SELL,WIN,1.16326,1.16028,1.1689,0.0,63.4,EURUSD,(SHORT) Position closed by execution
4276,2021-10-29,2021-11-04,BUY,WIN,1.15637,1.16127,1.1456,0.0,104.99,EURUSD,(LONG) Position closed by execution
4277,2021-11-05,2021-11-19,SELL,WIN,1.15675,1.13729,1.1708,0.0,412.49,EURUSD,(SHORT) Position closed by execution
4278,2021-11-23,2021-11-26,BUY,LOSS,1.1249,1.12087,1.1186,0.0,-87.51,EURUSD,(LONG) Position closed by execution
4279,2021-11-29,2021-12-02,SELL,LOSS,1.12918,1.13191,1.1348,0.0,-59.39,EURUSD,(SHORT) Position closed by execution
4280,2021-12-03,2021-12-08,BUY,LOSS,1.131,1.12684,1.1141,0.0,-89.59,EURUSD,(LONG) Position closed by execution
4281,2021-12-09,2021-12-15,SELL,WIN,1.12928,1.12581,1.1349,0.0,74.02,EURUSD,(SHORT) Position closed by execution
4282,2021-12-16,2021-12-28,SELL,WIN,1.13306,1.13269,1.15,0.0,7.99,EURUSD,(SHORT) Position closed by execution
4283,2021-12-29,2022-01-13,SELL,LOSS,1.13473,1.14414,1.1419,0.0,-205.61,EURUSD,(SHORT) Stop loss hit - failed trade
4284,2022-01-19,2022-01-24,BUY,WIN,1.13422,1.13427,1.1173,0.0,1.05,EURUSD,(LONG) Position closed by execution
4285,2022-01-26,2022-01-28,BUY,LOSS,1.12416,1.11446,1.1185,0.0,-202.52,EURUSD,(LONG) Stop loss hit - failed trade
4286,2022-01-31,2022-02-03,SELL,LOSS,1.1233,1.13045,1.1289,0.0,-148.52,EURUSD,(SHORT) Stop loss hit - failed trade
