Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
216,216,12446.050000000001,-0.4182722,2,0.0,0.23010076541462154,True,20,17,37,"{'r': 0.230101, 'l': 206, 't': 0.203796}",False
216,422,12610.429999999998,-1.0,2,0.0,0.2463574256496575,True,18,14,32,"{'r': 0.246357, 'l': 206, 't': 0.380426}",False
216,628,10334.849999999995,-0.0012157583,0,0.0,0.04219608146677374,True,21,20,41,"{'r': 0.042196, 'l': 206, 't': 0.560413}",False
216,834,10965.939999999999,0.51352894,1,0.0,0.1065569239605876,True,22,16,38,"{'r': 0.106557, 'l': 206, 't': 0.744459}",False
216,1040,9119.180000000002,-0.9404579,2,0.0,-0.07450906259865764,True,14,24,38,"{'r': -0.074509, 'l': 206, 't': 0.924309}",False
216,1246,10806.859999999995,1.0,1,0.0,0.09023283250163659,True,19,17,36,"{'r': 0.090233, 'l': 206, 't': 1.102586}",False
216,1452,10513.250000000004,-0.8692834,2,0.0,0.06550876084636165,True,20,22,42,"{'r': 0.065509, 'l': 206, 't': 1.283489}",False
216,1658,15998.78,-0.32318836,1,0.0,0.4879218585520407,True,22,13,35,"{'r': 0.487922, 'l': 206, 't': 1.461211}",False
216,1864,8526.429999999998,-0.8880156,2,0.0,-0.15222201299425647,True,14,22,36,"{'r': -0.152222, 'l': 206, 't': 1.639233}",False
216,2070,9122.869999999999,0.7078346,1,0.0,-0.07906284950879783,True,15,23,38,"{'r': -0.079063, 'l': 206, 't': 2.197933}",False
216,2276,11849.429999999998,1.0,1,0.0,0.18453515672085918,True,17,17,34,"{'r': 0.184535, 'l': 206, 't': 2.376767}",False
216,2482,12091.98999999999,0.4414055,2,0.0,0.20186192689986893,True,16,19,35,"{'r': 0.201862, 'l': 206, 't': 2.555165}",False
216,2688,11180.710000000001,0.21872118,1,0.0,0.12380658798438345,True,18,13,31,"{'r': 0.123807, 'l': 206, 't': 2.73299}",False
216,2894,12445.239999999998,-1.0,2,0.0,0.23142130126808286,True,20,14,34,"{'r': 0.231421, 'l': 206, 't': 2.917305}",False
216,3100,8779.070000000003,-0.5677809,2,0.0,-0.11778452903780995,True,15,22,37,"{'r': -0.117785, 'l': 206, 't': 3.096808}",False
216,3306,9716.759999999995,0.0150915235,0,0.0,-0.017107309317746962,True,17,20,37,"{'r': -0.017107, 'l': 206, 't': 3.277371}",False
216,3512,8402.57,1.0,1,0.0,-0.16521797765620583,True,15,21,36,"{'r': -0.165218, 'l': 206, 't': 3.45908}",False
216,3718,7322.569999999995,0.15083769,0,0.0,-0.3016256951321552,True,12,22,34,"{'r': -0.301626, 'l': 206, 't': 3.645008}",False
216,3924,8833.29,-1.0,2,0.0,-0.1147212823270581,True,19,18,37,"{'r': -0.114721, 'l': 206, 't': 3.833013}",False
216,4130,8503.969999999998,-0.93976873,0,0.005432713566532208,-0.15076911911211663,True,17,18,35,"{'r': -0.150769, 'l': 206, 't': 4.391164}",False
216,4336,10283.050000000003,0.8460068,1,0.0,0.0456049754254992,True,16,23,39,"{'r': 0.045605, 'l': 206, 't': 4.574373}",False
216,4542,12088.109999999999,1.0,1,0.0,0.20588840123292415,True,19,16,35,"{'r': 0.205888, 'l': 206, 't': 4.754857}",False
216,4748,8571.41,0.31969365,0,0.0,-0.13774339981658618,True,14,25,39,"{'r': -0.137743, 'l': 206, 't': 4.942923}",False
216,4954,7644.959999999998,-0.33018246,2,0.0,-0.25447440362726814,True,15,25,40,"{'r': -0.254474, 'l': 206, 't': 5.128227}",False
216,5160,9423.340000000004,1.0,0,0.0066122305970021285,-0.04521561109707731,True,22,18,40,"{'r': -0.045216, 'l': 206, 't': 5.322402}",False
216,5366,12201.060000000003,-0.23062934,1,0.0,0.21435440530588165,True,19,16,35,"{'r': 0.214354, 'l': 206, 't': 5.517313}",False
216,5572,9956.419999999998,-0.35539705,0,0.0,0.005941696660214081,True,18,17,35,"{'r': 0.005942, 'l': 206, 't': 5.705042}",False
216,5778,7882.449999999998,0.7135659,1,0.0,-0.22534106490287387,True,11,29,40,"{'r': -0.225341, 'l': 206, 't': 5.913613}",False
216,5984,9861.690000000004,-1.0,0,-0.006614051081104205,-0.0015851600000508217,True,19,20,39,"{'r': -0.001585, 'l': 206, 't': 6.114766}",False
216,6190,11567.910000000009,1.0,1,0.0,0.15852927668395467,True,17,16,33,"{'r': 0.158529, 'l': 206, 't': 6.698811}",False
216,6396,11421.869999999995,-0.7305665,1,0.0,0.14853423400191829,True,23,17,40,"{'r': 0.148534, 'l': 206, 't': 6.885924}",False
216,6602,9176.73,-0.56370115,1,0.0,-0.07415127336724611,True,18,21,39,"{'r': -0.074151, 'l': 206, 't': 7.073894}",False
216,6808,11360.100000000004,0.4818892,0,0.0,0.14169431433642157,True,20,20,40,"{'r': 0.141694, 'l': 206, 't': 7.262611}",False
216,7014,10316.05,-0.013457507,2,0.0,0.039574547746622765,True,19,18,37,"{'r': 0.039575, 'l': 206, 't': 7.443426}",False
216,7220,9824.879999999997,0.24476364,0,0.0,-0.004580718774937157,True,17,23,40,"{'r': -0.004581, 'l': 206, 't': 7.626544}",False
216,7426,11934.989999999998,-0.43194565,0,0.0,0.19157385996793364,True,20,17,37,"{'r': 0.191574, 'l': 206, 't': 7.807254}",False
216,7632,9402.920000000006,-0.5988406,1,0.0,-0.049718109141645164,True,21,19,40,"{'r': -0.049718, 'l': 206, 't': 7.995804}",False
216,7838,13733.789999999999,-0.29817554,1,0.0,0.33069697293150896,True,21,12,33,"{'r': 0.330697, 'l': 206, 't': 8.180446}",False
216,8044,10916.909999999996,1.0,1,0.0,0.10419693975113067,True,13,23,36,"{'r': 0.104197, 'l': 206, 't': 8.367465}",False
216,8250,8462.82,1.0,1,0.0,-0.15464192067245983,True,13,22,35,"{'r': -0.154642, 'l': 206, 't': 8.949549}",False
216,8456,11496.610000000004,-0.6927044,2,0.0,0.14941202581995539,True,19,20,39,"{'r': 0.149412, 'l': 206, 't': 9.133497}",False
216,8662,7827.270000000001,0.3723908,2,0.0,-0.23432634992700158,True,17,22,39,"{'r': -0.234326, 'l': 206, 't': 9.324346}",False
216,8868,9664.720000000005,-0.5782316,1,0.0,-0.018840612154996654,True,16,20,36,"{'r': -0.018841, 'l': 206, 't': 9.513924}",False
216,9074,10323.760000000004,-0.35102373,1,0.0,0.04368325617468648,True,17,22,39,"{'r': 0.043683, 'l': 206, 't': 9.700955}",False
216,9280,9950.269999999993,-0.0149217695,0,0.0,0.006425255569391688,True,17,19,36,"{'r': 0.006425, 'l': 206, 't': 9.889126}",False
216,9486,9454.230000000001,-0.053543136,1,0.0,-0.045463423136710715,True,17,17,34,"{'r': -0.045463, 'l': 206, 't': 10.083117}",False
216,9692,10179.049999999997,1.0,0,0.0184091125106928,0.03052487592526653,True,13,24,37,"{'r': 0.030525, 'l': 206, 't': 10.271954}",False
