time,open,high,low,close,tick_volume,actDir,actRisk,eReward,eAccBalance,eWins,eLosses,pType,pOpenPrice,pSLPrice,pTPPrice,pProfit
2021-09-13,1.18154,1.18171,1.17702,1.18108,39896,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-14,1.18111,1.18458,1.18001,1.1804,44973,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-15,1.1803,1.18319,1.17971,1.18157,43526,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-16,1.18177,1.18206,1.17505,1.17686,44489,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-17,1.17649,1.1789,1.17246,1.1726,41945,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-20,1.17306,1.17365,1.17002,1.17269,43872,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-21,1.1725,1.17488,1.1715,1.17256,43768,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-22,1.17252,1.17556,1.16848,1.16886,52624,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-23,1.16872,1.175,1.16836,1.1739,48609,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-24,1.17384,1.17477,1.17007,1.17206,38917,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-27,1.17258,1.17258,1.16847,1.1695,44874,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2021-09-28,1.16959,1.17034,1.16683,1.16838,56416,0.55568135,0.55568135,0.0,10000.0,0,0,1,1.16838,1.1451,0.0,0.0
2021-09-29,1.16832,1.16901,1.15895,1.15973,54581,-0.12713985,-0.12713985,0.0,10000.0,0,0,1,1.16838,1.1451,0.0,0.0
2021-09-30,1.15982,1.16098,1.15627,1.15769,55968,0.08814368,0.08814368,0.0,10000.0,0,0,1,1.16838,1.1451,0.0,0.0
2021-10-01,1.15822,1.16073,1.1563,1.15932,52826,-1.0,-1.0,0.0,9840.44,0,1,0,0.0,0.0,0.0,-159.56
2021-10-04,1.15996,1.16401,1.15877,1.16196,43929,0.5210402,0.5210402,0.0,9840.44,0,1,1,1.16196,1.154,0.0,0.0
2021-10-05,1.16204,1.16221,1.15806,1.15971,41718,0.34901118,0.34901118,0.0,9840.44,0,1,1,1.16196,1.154,0.0,0.0
2021-10-06,1.15988,1.16032,1.15292,1.15565,52230,0.640992,0.640992,0.0,9840.44,0,1,1,1.16196,1.154,0.0,0.0
2021-10-07,1.15563,1.15722,1.15477,1.15533,41219,-0.6333611,-0.6333611,0.0,9747.92,0,2,0,0.0,0.0,0.0,-92.52
2021-10-08,1.15524,1.15859,1.15415,1.15746,44133,-0.443156,-0.443156,0.0,9747.92,0,2,0,1.15932,1.1516,0.0,0.0
2021-10-11,1.15713,1.15868,1.15492,1.15535,35099,-0.20093463,-0.20093463,0.0,9747.92,0,2,0,0.0,0.0,0.0,0.0
2021-10-12,1.15544,1.15703,1.15245,1.15301,43185,-0.018849462,-0.018849462,0.0,9747.92,0,2,0,1.15301,1.1763,0.0,0.0
2021-10-13,1.153,1.15973,1.15286,1.1596,46481,1.0,1.0,0.0,9747.92,0,2,1,1.1596,1.1477,0.0,0.0
2021-10-14,1.15932,1.16244,1.15841,1.15973,38162,0.106190234,0.106190234,0.0,9747.92,0,2,1,1.1596,1.1477,0.0,0.0
2021-10-15,1.15959,1.16188,1.15882,1.15992,41453,0.116815254,0.116815254,0.0,9747.92,0,2,1,1.1596,1.1477,0.0,0.0
