Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1081,1081,6912.3300000000045,1.0,2,0.0,-0.3438304427073199,True,81,111,192,"{'r': -0.34383, 'l': 1071, 't': 1.456765}",False
1081,2152,12918.340000000004,0.4157754,0,0.0,0.29031090881431976,True,96,82,178,"{'r': 0.290311, 'l': 1071, 't': 3.064588}",False
1081,3223,9223.290000000003,0.23203728,0,0.0,-0.05306219879036914,True,85,110,195,"{'r': -0.053062, 'l': 1071, 't': 4.137605}",False
1081,4294,13423.280000000002,1.0,1,0.0,0.3274437677191748,True,90,91,181,"{'r': 0.327444, 'l': 1071, 't': 5.608884}",False
1081,5365,11630.099999999995,-0.054541603,2,0.0,0.184958511109954,True,86,101,187,"{'r': 0.184959, 'l': 1071, 't': 6.722448}",False
1081,6436,7846.890000000007,1.0,1,0.0,-0.20904897591056099,True,90,104,194,"{'r': -0.209049, 'l': 1071, 't': 8.206624}",False
1081,7507,9525.489999999983,1.0,1,0.0,-0.01718678046730722,True,93,101,194,"{'r': -0.017187, 'l': 1071, 't': 9.246187}",False
1081,8578,9315.500000000005,1.0,1,0.0,-0.04015532257885458,True,82,100,182,"{'r': -0.040155, 'l': 1071, 't': 10.670478}",False
1081,9649,8772.900000000003,-1.0,2,0.0,-0.10097261253167654,True,89,109,198,"{'r': -0.100973, 'l': 1071, 't': 11.706841}",False
1081,10720,9510.37,0.17975761,1,0.0,-0.02614479842353734,True,81,104,185,"{'r': -0.026145, 'l': 1071, 't': 13.127858}",False
1081,11791,12387.600000000002,1.0,0,0.00476850563841935,0.25197061747645233,True,97,94,191,"{'r': 0.251971, 'l': 1071, 't': 14.162324}",False
1081,12862,7695.309999999988,1.0,1,0.0,-0.22708088695681122,True,79,109,188,"{'r': -0.227081, 'l': 1071, 't': 15.616116}",False
1081,13933,11044.700000000003,1.0,0,0.003445149262545455,0.12765111438918894,True,93,94,187,"{'r': 0.127651, 'l': 1071, 't': 16.649335}",False
1081,15004,9862.809999999998,1.0,1,0.0,0.022443375736244796,True,91,103,194,"{'r': 0.022443, 'l': 1071, 't': 18.071747}",False
1081,16075,7696.07,-0.7684632,2,0.0,-0.23146159094226687,True,87,105,192,"{'r': -0.231462, 'l': 1071, 't': 19.110126}",False
1081,17146,9278.740000000007,-0.18203846,1,0.0,-0.044606531585731204,True,85,96,181,"{'r': -0.044607, 'l': 1071, 't': 20.522154}",False
1081,18217,8400.299999999997,1.0,0,0.0034450382609485268,-0.14769390142252328,True,94,95,189,"{'r': -0.147694, 'l': 1071, 't': 21.552949}",False
