id,timeOpen,timeClose,positionType,tradeResult,priceOpen,priceClose,positionSL,positionTP,profit,symbol,comment
1632141,2020-01-27,2020-02-03,BUY,WIN,1.06835,1.06884,1.059,0.0,16.78,EURCHF,(LONG) Position closed by execution
1632142,2020-02-04,2020-02-07,SELL,WIN,1.07054,1.07029,1.0777,0.0,8.58,EURCHF,(SHORT) Position closed by execution
1632143,2020-02-10,2020-02-12,BUY,LOSS,1.06648,1.06519,1.0605,0.0,-44.18,EURCHF,(LONG) Position closed by execution
1632144,2020-02-13,2020-02-19,SELL,WIN,1.0617,1.06091,1.0711,0.0,26.81,EURCHF,(SHORT) Position closed by execution
1632145,2020-02-21,2020-02-25,SELL,LOSS,1.06123,1.06248,1.0706,0.0,-42.63,EURCHF,(SHORT) Position closed by execution
1632146,2020-02-26,2020-03-03,BUY,WIN,1.06288,1.06794,1.0584,0.0,172.65,EURCHF,(LONG) Position closed by execution
1632147,2020-03-04,2020-03-12,SELL,WIN,1.06573,1.05723,1.0688,0.0,292.09,EURCHF,(SHORT) Position closed by execution
1632148,2020-03-13,2020-03-19,BUY,WIN,1.05585,1.05656,1.0527,0.0,25.08,EURCHF,(LONG) Position closed by execution
1632149,2020-03-23,2020-03-25,BUY,WIN,1.05634,1.05872,1.0473,0.0,84.46,EURCHF,(LONG) Position closed by execution
1632150,2020-03-26,2020-03-30,SELL,WIN,1.06294,1.05874,1.0723,0.0,150.26,EURCHF,(SHORT) Position closed by execution
1632151,2020-03-31,2020-04-02,SELL,WIN,1.06066,1.05854,1.0696,0.0,76.91,EURCHF,(SHORT) Position closed by execution
1632152,2020-04-03,2020-04-20,BUY,LOSS,1.05471,1.05152,1.0485,0.0,-115.81,EURCHF,(LONG) Position closed by execution
1632153,2020-04-23,2020-04-29,BUY,WIN,1.05181,1.05481,1.0484,0.0,108.05,EURCHF,(LONG) Position closed by execution
1632154,2020-05-01,2020-05-07,BUY,LOSS,1.05543,1.05246,1.0499,0.0,-107.84,EURCHF,(LONG) Position closed by execution
1632155,2020-05-08,2020-05-13,SELL,WIN,1.05235,1.0517,1.0616,0.0,23.34,EURCHF,(SHORT) Position closed by execution
1632156,2020-05-14,2020-05-22,BUY,WIN,1.05133,1.06258,1.0466,0.0,409.12,EURCHF,(LONG) Position closed by execution
1632157,2020-05-25,2020-05-27,SELL,LOSS,1.05851,1.06035,1.0679,0.0,-69.34,EURCHF,(SHORT) Position closed by execution
1632158,2020-05-28,2020-06-04,BUY,WIN,1.06796,1.07971,1.063,0.0,448.01,EURCHF,(LONG) Position closed by execution
1632159,2020-06-05,2020-06-15,SELL,WIN,1.0864,1.07203,1.0895,0.0,566.14,EURCHF,(SHORT) Position closed by execution
1632160,2020-06-16,2020-06-19,SELL,WIN,1.07135,1.06605,1.0769,0.0,217.89,EURCHF,(SHORT) Position closed by execution
1632161,2020-06-23,2020-06-26,SELL,WIN,1.06848,1.06393,1.0778,0.0,190.07,EURCHF,(SHORT) Position closed by execution
1632162,2020-06-29,2020-07-01,SELL,WIN,1.06938,1.06428,1.0787,0.0,216.42,EURCHF,(SHORT) Position closed by execution
1632163,2020-07-02,2020-07-06,BUY,LOSS,1.06243,1.06212,1.0572,0.0,-13.37,EURCHF,(LONG) Position closed by execution
1632164,2020-07-07,2020-07-09,SELL,LOSS,1.06255,1.0632,1.0719,0.0,-28.02,EURCHF,(SHORT) Position closed by execution
1632165,2020-07-13,2020-07-16,SELL,LOSS,1.06812,1.07773,1.0775,0.0,-418.8,EURCHF,(SHORT) Stop loss hit - failed trade
1632166,2020-07-20,2020-07-29,SELL,LOSS,1.07476,1.07545,1.0841,0.0,-29.02,EURCHF,(SHORT) Position closed by execution
1632167,2020-08-03,2020-08-10,SELL,WIN,1.07958,1.07552,1.0889,0.0,170.29,EURCHF,(SHORT) Position closed by execution
1632168,2020-08-11,2020-08-17,SELL,LOSS,1.07632,1.07642,1.0857,0.0,-4.27,EURCHF,(SHORT) Position closed by execution
1632169,2020-08-18,2020-08-20,BUY,WIN,1.07825,1.08324,1.0725,0.0,213.67,EURCHF,(LONG) Position closed by execution
1632170,2020-08-21,2020-08-28,BUY,LOSS,1.07538,1.07464,1.0706,0.0,-31.99,EURCHF,(LONG) Position closed by execution
1632171,2020-08-31,2020-09-03,SELL,LOSS,1.07876,1.0796,1.0864,0.0,-36.39,EURCHF,(SHORT) Position closed by execution
1632172,2020-09-04,2020-09-08,BUY,WIN,1.08131,1.08219,1.0745,0.0,38.08,EURCHF,(LONG) Position closed by execution
1632173,2020-09-09,2020-09-16,SELL,WIN,1.07684,1.07575,1.0862,0.0,47.03,EURCHF,(SHORT) Position closed by execution
1632174,2020-09-17,2020-09-24,BUY,WIN,1.07627,1.07717,1.0685,0.0,39.03,EURCHF,(LONG) Position closed by execution
1632175,2020-09-25,2020-09-30,BUY,LOSS,1.08021,1.07933,1.0771,0.0,-38.38,EURCHF,(LONG) Position closed by execution
1632176,2020-10-01,2020-10-05,BUY,LOSS,1.07888,1.07834,1.074,0.0,-23.46,EURCHF,(LONG) Position closed by execution
1632177,2020-10-06,2020-10-08,SELL,LOSS,1.07673,1.07896,1.0861,0.0,-96.73,EURCHF,(SHORT) Position closed by execution
1632178,2020-10-12,2020-10-14,SELL,LOSS,1.07401,1.07453,1.0834,0.0,-22.3,EURCHF,(SHORT) Position closed by execution
1632179,2020-10-15,2020-10-23,BUY,WIN,1.07043,1.07215,1.0653,0.0,73.41,EURCHF,(LONG) Position closed by execution
1632180,2020-10-26,2020-10-30,SELL,WIN,1.07212,1.069,1.0815,0.0,133.57,EURCHF,(SHORT) Position closed by execution
1632181,2020-11-02,2020-11-05,SELL,WIN,1.06996,1.06931,1.0793,0.0,28.13,EURCHF,(SHORT) Position closed by execution
1632182,2020-11-06,2020-11-10,BUY,WIN,1.06902,1.07941,1.0629,0.0,454.98,EURCHF,(LONG) Position closed by execution
1632183,2020-11-13,2020-11-19,SELL,LOSS,1.07989,1.07995,1.0892,0.0,-2.73,EURCHF,(SHORT) Position closed by execution
1632184,2020-11-23,2020-11-26,BUY,WIN,1.08042,1.0822,1.0715,0.0,80.93,EURCHF,(LONG) Position closed by execution
1632185,2020-11-27,2020-12-01,BUY,WIN,1.08203,1.08384,1.0728,0.0,82.93,EURCHF,(LONG) Position closed by execution
