time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/loss,train/std,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
1135,8192,1,7,,,,,,,,,,,,,
1033,16384,2,15,-0.0023189532788819634,0.2,0.0043578446,-2.8380395686253905,-0.009406639263033867,0.9993884563446045,10,0.028369140625,-38.517967224121094,0.0089108624907567,0.0003,,
1003,24576,3,24,-0.003308522417501081,0.2,0.006104057,-2.824245315603912,-0.015940681099891663,0.9872387051582336,20,0.04449462890625,-2.7210700511932373,0.002253343891925397,0.0003,-0.17687775,4989.0
990,32768,4,33,-0.003141587201753282,0.2,0.0064503844,-2.7942382525652647,-0.027826067060232162,0.9743319749832153,30,0.07735595703125,-0.5992263555526733,0.0020210034404954057,0.0003,-0.17687775,4989.0
984,40960,5,41,-0.0023174769681645556,0.2,0.007050178,-2.773539709299803,-0.021173208951950073,0.9672646522521973,40,0.06807861328125,-0.5607764720916748,0.0008868198177424347,0.0003,0.013944999999999999,4989.0
980,49152,6,50,-0.00105550335283624,0.2,0.0060473625,-2.7565961660817266,-0.020113380625844002,0.9573049545288086,50,0.06650390625,-0.2710449695587158,0.001229873462125397,0.0003,0.013944999999999999,4989.0
978,57344,7,58,-0.0020019666480948217,0.2,0.006748738,-2.732011058740318,-0.014322925359010696,0.9462429285049438,60,0.0642822265625,-0.07612752914428711,0.0014491113942085576,0.0003,0.013944999999999999,4989.0
976,65536,8,67,-0.0028168603454105322,0.2,0.008000674,-2.707891485095024,0.005822202656418085,0.9325699806213379,70,0.0798828125,-0.10641813278198242,0.00118986887760002,0.0003,0.14347758333333333,4989.0
975,73728,9,75,-0.0006735738443239825,0.2,0.008537787,-2.6866595819592476,0.01681470312178135,0.9225180149078369,80,0.090625,-0.010821223258972168,0.0012656811742090212,0.0003,0.14347758333333333,4989.0
974,81920,10,84,0.001034665494807996,0.2,0.007793916,-2.6608158627524974,-0.009401246905326843,0.9128639101982117,90,0.087744140625,-0.02934730052947998,0.0010997263221497633,0.0003,0.1743864375,4989.0
974,90112,11,92,-0.0013507945404853672,0.2,0.00733306,-2.6521217744797467,-0.002531329169869423,0.9116739630699158,100,0.07755126953125,-0.13796508312225342,0.0009360407252870573,0.0003,0.1743864375,4989.0
973,98304,12,100,-0.0013923444133979502,0.2,0.006961667,-2.6414937449619176,0.01170106790959835,0.9032303094863892,110,0.0784912109375,-0.036969661712646484,0.0008688263542126151,0.0003,0.1743864375,4989.0
972,106496,13,109,0.000250711716216756,0.2,0.008476041,-2.6360438764095306,0.010963484644889832,0.9033336639404297,120,0.07877197265625,-0.010790228843688965,0.0010422482419471634,0.0003,0.14384349999999996,4989.0
972,114688,14,117,-0.0016395902712247334,0.2,0.008409216,-2.634371660836041,-0.013382339850068092,0.9072089195251465,130,0.09317626953125,-0.026779651641845703,0.0011078338280412936,0.0003,0.14384349999999996,4989.0
971,122880,15,126,-0.002318370252396562,0.2,0.008733537,-2.656728940270841,-0.02717265859246254,0.9135409593582153,140,0.09693603515625,-0.04661381244659424,0.0008467116961583087,0.0003,0.07854620833333333,4989.0
971,131072,16,134,-0.0006827315974078374,0.2,0.007895242,-2.6513411214575173,0.009214580990374088,0.9097024202346802,150,0.086669921875,-0.03475654125213623,0.000745734886459104,0.0003,0.07854620833333333,4989.0
971,139264,17,143,-0.002273351431358606,0.2,0.0076104733,-2.6340595319867135,-0.01104214508086443,0.9033257365226746,160,0.07943115234375,-0.012391090393066406,0.0008932203360700441,0.0003,0.07854620833333333,4989.0
970,147456,18,151,-0.003159710135514615,0.2,0.008170295,-2.628459815122187,0.0039058274123817682,0.8998093605041504,170,0.08212890625,-0.017351746559143066,0.0008927484070909486,0.0003,-0.015381857142857152,4989.0
970,155648,19,160,0.0007351676300459076,0.2,0.0070510963,-2.625679041817784,0.018647460266947746,0.8987146615982056,180,0.07872314453125,-0.0031467676162719727,0.0012133452040870908,0.0003,-0.015381857142857152,4989.0
970,163840,20,168,-0.0005171074033569311,0.2,0.007605348,-2.621731648594141,0.00655073719099164,0.9011818170547485,190,0.08209228515625,-0.0053522586822509766,0.0010412742915605123,0.0003,0.031987499999999995,4989.0
970,172032,21,177,-0.00027649547191685995,0.2,0.0067584654,-2.6187678599730133,0.007973676547408104,0.8943401575088501,200,0.08331298828125,-0.030890941619873047,0.0015042857847674894,0.0003,0.031987499999999995,4989.0
969,180224,22,185,-0.0004042344120534835,0.2,0.006440833,-2.6049199983477593,-0.0009255694458261132,0.8891597986221313,210,0.05604248046875,-0.01604461669921875,0.0005513675915153726,0.0003,0.05713708333333334,4989.0
969,188416,23,194,0.000300529752712464,0.2,0.0066299583,-2.5983524709939956,-0.012337921187281609,0.8877023458480835,220,0.07974853515625,-0.012909293174743652,0.0010704317845465993,0.0003,0.05713708333333334,4989.0
