time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/std,train/value_loss,train/approx_kl
1,-0.013197312500000015,8,989.0,1861,16384,,,,,,,,,,,
2,-0.027451,20,989.0,1595,32768,-27.46115493774414,0.0003,-2.8331913014873864,0.0016232274938374758,10,-0.0007993846382305491,0.2,0.0226318359375,0.9975073933601379,0.007757940654255435,0.0034795855
3,-0.018975958333333334,32,989.0,1526,49152,-0.42018699645996094,0.0003,-2.84140407377854,-0.015111321583390236,20,-0.002494960009971692,0.2,0.042388916015625,1.0034325122833252,0.0016937265489332276,0.00491755
4,-0.007299046875000001,44,989.0,1483,65536,0.02712458372116089,0.0003,-2.8411706848070026,0.0023630617652088404,30,-0.0007681375040192506,0.2,0.049267578125,1.002833604812622,0.001234398279063953,0.0058715725
5,-0.018538475,55,989.0,1467,81920,0.05623292922973633,0.0003,-2.8520389702171087,-0.008371267467737198,40,-0.002225874644136638,0.2,0.05048828125,1.0081735849380493,0.0010419139916848508,0.0056617847
6,-0.00871497916666667,67,989.0,1451,98304,0.007557690143585205,0.0003,-2.8640810248441992,-0.007190495729446411,50,-0.0011848144384202896,0.2,0.063421630859375,1.0142279863357544,0.0008148109523403946,0.0060171215
7,0.000624899999999996,79,989.0,1436,114688,0.021539807319641113,0.0003,-2.866231041587889,0.023744694888591766,60,-0.0010574036650723428,0.2,0.070892333984375,1.0149688720703125,0.0006569973629325432,0.006864777
8,0.017994609999999998,91,989.0,1429,131072,0.01973247528076172,0.0003,-2.853475642204285,0.013721611350774765,70,-0.0009403386597114149,0.2,0.060858154296875,1.0084365606307983,0.0006209384597127609,0.008066284
9,0.028947940000000005,103,989.0,1421,147456,0.00825357437133789,0.0003,-2.846323497593403,0.003194378223270178,80,-0.0005574153800807835,0.2,0.060711669921875,1.0027927160263062,0.0005480073355613513,0.0064226473
10,0.0484113,115,989.0,1417,163840,0.0014601349830627441,0.0003,-2.825366062764078,-0.0039026280865073204,90,-0.0018198453553850413,0.2,0.0716796875,0.9921950101852417,0.0005431040489611405,0.0062616603
11,0.07205489,127,989.0,1418,180224,-0.009469866752624512,0.0003,-2.7984713178128002,0.007265487220138311,100,-0.0014374583919561702,0.2,0.0578369140625,0.9796567559242249,0.0004939849377763039,0.0057537667
12,0.10073998999999999,138,989.0,1418,196608,0.017568647861480713,0.0003,-2.7943231384269893,0.01417012419551611,110,-0.0009773947547728312,0.2,0.040966796875,0.9791070818901062,0.0005128287065474524,0.004391957
13,0.10965121,150,989.0,1419,212992,-0.0048018693923950195,0.0003,-2.782623292133212,-0.015623016282916069,120,-0.001998200717935106,0.2,0.05068359375,0.971572756767273,0.0005337382136417545,0.00510992
14,0.13974684999999998,161,989.0,1419,229376,0.006635606288909912,0.0003,-2.790974839683622,0.0037699497770518064,130,0.003123975471680751,0.2,0.105609130859375,0.9782859086990356,0.0005323723342485209,0.010915121
15,0.18470496999999997,173,989.0,1419,245760,0.007825016975402832,0.0003,-2.7630794255062936,0.007759470026940107,140,-0.00038021066302462714,0.2,0.088360595703125,0.9599387645721436,0.0005160857605915226,0.00943066
16,0.20027030999999998,184,989.0,1420,262144,0.011970281600952148,0.0003,-2.755252456571907,0.014491352252662182,150,0.0017709448917230474,0.2,0.0986083984375,0.9605581760406494,0.0004884164138161395,0.010082877
17,0.22903437999999998,196,989.0,1420,278528,0.02115476131439209,0.0003,-2.742996997758746,0.003907975275069475,160,-0.0003152697443510988,0.2,0.070208740234375,0.9513745903968811,0.0004667769987349857,0.007298287
18,0.24448042999999997,207,989.0,1420,294912,0.02185535430908203,0.0003,-2.731812839396298,0.0054246364161372185,170,-0.001669028123251337,0.2,0.05888671875,0.9470906853675842,0.0004901521587044044,0.006130302
19,0.27306488999999995,219,989.0,1421,311296,0.010606944561004639,0.0003,-2.7235238197259606,-0.002539941342547536,180,0.0006124360006651841,0.2,0.103338623046875,0.9436142444610596,0.00045923818247501914,0.008802858
20,0.27526832999999995,230,989.0,1421,327680,0.03154277801513672,0.0003,-2.6917407025583087,-0.008733072318136692,190,-0.0005813477766423603,0.2,0.084521484375,0.9253280162811279,0.0004953186305613144,0.0086731315
