Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1081,1081,9343.23,-1.0,0,-0.003088929149888364,0.0026227456236051342,True,93,112,205,"{'r': 0.002623, 'l': 1071, 't': 1.534643}",False
1081,2152,9811.66,0.07760339,1,0.0,0.038672396991885044,True,91,99,190,"{'r': 0.038672, 'l': 1071, 't': 3.071719}",False
1081,3223,5800.81,0.89960027,1,0.0,-0.49099816728227375,True,81,123,204,"{'r': -0.490998, 'l': 1071, 't': 4.115322}",False
1081,4294,3937.7399999999984,0.19966945,0,0.0,-0.8702660427420046,True,85,123,208,"{'r': -0.870266, 'l': 1071, 't': 5.54799}",False
1081,5365,10232.599999999993,1.0,1,0.0,0.093693456066403,True,92,107,199,"{'r': 0.093693, 'l': 1071, 't': 6.588012}",False
1081,6436,9763.910000000009,1.0,1,0.0,0.06291089521060322,True,84,114,198,"{'r': 0.062911, 'l': 1071, 't': 8.029944}",False
1081,7507,15951.060000000005,0.34882215,1,0.0,0.5350012152959972,True,92,92,184,"{'r': 0.535001, 'l': 1071, 't': 9.065006}",False
1081,8578,8819.359999999991,0.75774324,1,0.0,-0.04877684906991488,True,84,112,196,"{'r': -0.048777, 'l': 1071, 't': 10.490028}",False
1081,9649,9528.759999999993,-0.24740353,1,0.0,0.00870772033285291,True,89,103,192,"{'r': 0.008708, 'l': 1071, 't': 11.528267}",False
1081,10720,9641.849999999988,1.0,2,0.0,0.019987909831074437,True,94,107,201,"{'r': 0.019988, 'l': 1071, 't': 12.94422}",False
1081,11791,9726.16999999999,0.436674,2,0.0,0.04013164553850058,True,90,100,190,"{'r': 0.040132, 'l': 1071, 't': 13.976548}",False
1081,12862,8700.699999999993,0.12095156,1,0.0,-0.08112855334290722,True,83,114,197,"{'r': -0.081129, 'l': 1071, 't': 15.408042}",False
1081,13933,21369.529999999995,-0.6148785,2,0.0,0.8455824127038023,True,96,90,186,"{'r': 0.845582, 'l': 1071, 't': 16.440005}",False
1081,15004,12135.959999999997,-0.51822203,2,0.0,0.2416851199755532,True,93,91,184,"{'r': 0.241685, 'l': 1071, 't': 17.907677}",False
1081,16075,12866.739999999996,1.0,1,0.0,0.31652020058565966,True,94,103,197,"{'r': 0.31652, 'l': 1071, 't': 18.971465}",False
1081,17146,17713.290000000005,1.0,1,0.0,0.6450637248336734,True,96,103,199,"{'r': 0.645064, 'l': 1071, 't': 20.420547}",False
1081,18217,13154.570000000014,-1.0,2,0.0,0.34530110539606956,True,98,107,205,"{'r': 0.345301, 'l': 1071, 't': 21.47663}",False
1081,19288,22703.28000000002,-1.0,2,0.0,0.9032834771374544,True,100,90,190,"{'r': 0.903283, 'l': 1071, 't': 22.924899}",False
1081,20359,9849.969999999996,-0.5110742,1,0.0,0.055919549289792994,True,91,118,209,"{'r': 0.05592, 'l': 1071, 't': 23.972896}",False
