time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/std,train/loss
2048,969,1,1071.0,0.002623,2,,,,,,,,,,,
4096,891,2,1071.0,-0.14990099999999998,4,0.0040021623,0.0003,0.03388671875,-0.0032968227285891773,10,-17.322961807250977,-2.838793038576841,0.2,0.00859670957979688,1.0034055709838867,0.01742384396493435
6144,879,3,1071.0,-0.24525519999999998,6,0.004621826,0.0003,0.044287109375,-0.005859174375655129,20,-1.1562316417694092,-2.8429094314575196,0.2,0.0018387641610388527,1.0023269653320312,0.0011932956986129284
8192,874,4,1071.0,-0.08976628571428572,9,0.0039779837,0.0003,0.034814453125,-0.004119057793286629,30,-0.39138495922088623,-2.84202978014946,0.2,0.001973353807989042,1.0011926889419556,0.003839581273496151
10240,873,5,1071.0,-0.07427033333333333,11,0.004343391,0.0003,0.04375,-0.007858839278924279,40,-0.33581626415252686,-2.8311007231473924,0.2,0.0015370251527201616,0.991986870765686,0.00832582451403141
12288,872,6,1071.0,-0.055301181818181805,14,0.007000696,0.0003,0.058935546875,-0.007294673527940177,50,-0.30168402194976807,-2.821684769541025,0.2,0.001206579844983935,0.9916571378707886,0.0007348716026172042
14336,871,7,1071.0,0.012010769230769235,16,0.0056019137,0.0003,0.059814453125,-0.006997066756593995,60,-0.17089223861694336,-2.8196474157273768,0.2,0.0011928878844628342,0.9902054071426392,-0.006624375469982624
16384,866,8,1071.0,0.047623000000000006,18,0.005383507,0.0003,0.03671875,-0.0066688060236629095,70,-0.09221982955932617,-2.8328854270279407,0.2,0.0012844377579313004,1.0012545585632324,-0.016774803400039673
18432,864,9,1071.0,0.1002770588235294,21,0.004799692,0.0003,0.035791015625,-0.004654211908928119,80,-0.026707887649536133,-2.8452951118350027,0.2,0.0011966286334427422,1.003835916519165,0.005829381290823221
20480,863,10,1071.0,0.14020594736842104,23,0.0050826366,0.0003,0.051318359375,-0.00704570764064556,90,-0.1415189504623413,-2.857327699661255,0.2,0.0013118252170897903,1.0146722793579102,-0.011747232638299465
