Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1081,1081,5301.990000000006,-0.54270285,1,0.0,-0.5698582777958964,True,81,123,204,"{'r': -0.569858, 'l': 1071, 't': 1.516846}",False
1081,2152,5540.859999999996,-0.038079996,0,0.0,-0.5187863457093602,True,84,117,201,"{'r': -0.518786, 'l': 1071, 't': 3.036713}",False
1081,3223,8189.319999999999,-0.20420247,2,0.0,-0.13215840800452183,True,84,106,190,"{'r': -0.132158, 'l': 1071, 't': 4.071291}",False
1081,4294,11508.619999999995,0.53226435,1,0.0,0.2102887578961491,True,92,104,196,"{'r': 0.210289, 'l': 1071, 't': 5.486757}",False
1081,5365,7255.020000000006,0.6143785,1,0.0,-0.25352301643237657,True,75,107,182,"{'r': -0.253523, 'l': 1071, 't': 6.514786}",False
1081,6436,8828.289999999997,-0.07920853,1,0.0,-0.061150480656248556,True,89,104,193,"{'r': -0.06115, 'l': 1071, 't': 7.92771}",False
1081,7507,10174.539999999994,0.18532707,1,0.0,0.0817748490918865,True,94,99,193,"{'r': 0.081775, 'l': 1071, 't': 8.962211}",False
1081,8578,15660.990000000002,-0.1110767,2,0.0,0.5195380073104763,True,97,96,193,"{'r': 0.519538, 'l': 1071, 't': 10.382719}",False
1081,9649,5771.049999999998,0.5546176,2,0.0,-0.4927279593470207,True,90,107,197,"{'r': -0.492728, 'l': 1071, 't': 11.417462}",False
1081,10720,8138.329999999997,-0.35170132,0,0.0,-0.14186574833811383,True,96,105,201,"{'r': -0.141866, 'l': 1071, 't': 12.827417}",False
1081,11791,10425.390000000007,0.21504942,1,0.0,0.11026712378923474,True,86,111,197,"{'r': 0.110267, 'l': 1071, 't': 13.890644}",False
