id,timeOpen,timeClose,positionType,tradeResult,priceOpen,priceClose,positionSL,positionTP,profit,symbol,comment
2240,2020-01-27,2020-01-29,SELL,LOSS,1.10195,1.10216,1.1064,0.0,-6.29,eurusd,(SHORT) Position closed by execution
2241,2020-01-31,2020-02-05,SELL,WIN,1.10946,1.10445,1.1131,0.0,150.11,eurusd,(SHORT) Position closed by execution
2242,2020-02-10,2020-02-17,SELL,WIN,1.09106,1.08302,1.0983,0.0,239.78,eurusd,(SHORT) Position closed by execution
2243,2020-02-18,2020-02-21,SELL,WIN,1.07909,1.07832,1.0828,0.0,23.4,eurusd,(SHORT) Position closed by execution
2244,2020-02-25,2020-02-28,BUY,WIN,1.0881,1.09999,1.077,0.0,369.5,eurusd,(LONG) Position closed by execution
2245,2020-03-03,2020-03-10,BUY,WIN,1.117,1.14353,1.1059,0.0,887.54,eurusd,(LONG) Position closed by execution
2246,2020-03-11,2020-03-13,BUY,LOSS,1.12704,1.11852,1.1234,0.0,-301.77,eurusd,(LONG) Stop loss hit - failed trade
2247,2020-03-16,2020-03-24,SELL,WIN,1.11814,1.07241,1.1218,0.0,1512.71,eurusd,(SHORT) Position closed by execution
2248,2020-03-25,2020-03-27,BUY,WIN,1.08809,1.10331,1.08,0.0,586.92,eurusd,(LONG) Position closed by execution
2249,2020-03-30,2020-04-03,BUY,LOSS,1.10446,1.08569,1.0934,0.0,-744.75,eurusd,(LONG) Stop loss hit - failed trade
2250,2020-04-06,2020-04-09,BUY,WIN,1.07937,1.08547,1.0743,0.0,228.59,eurusd,(LONG) Position closed by execution
2251,2020-04-10,2020-04-16,BUY,LOSS,1.09306,1.09112,1.0894,0.0,-74.4,eurusd,(LONG) Position closed by execution
2252,2020-04-17,2020-04-22,BUY,LOSS,1.08712,1.0857,1.0768,0.0,-53.88,eurusd,(LONG) Position closed by execution
2253,2020-04-23,2020-04-28,BUY,WIN,1.07758,1.08294,1.0692,0.0,201.97,eurusd,(LONG) Position closed by execution
2254,2020-05-01,2020-05-05,BUY,LOSS,1.09806,1.09038,1.0944,0.0,-295.99,eurusd,(LONG) Stop loss hit - failed trade
2255,2020-05-06,2020-05-11,SELL,LOSS,1.07959,1.08384,1.0858,0.0,-159.12,eurusd,(SHORT) Position closed by execution
2256,2020-05-12,2020-05-21,SELL,LOSS,1.08485,1.09781,1.0955,0.0,-485.3,eurusd,(SHORT) Stop loss hit - failed trade
2257,2020-05-22,2020-05-27,SELL,LOSS,1.09032,1.09825,1.1002,0.0,-285.6,eurusd,(SHORT) Position closed by execution
2258,2020-05-28,2020-06-03,BUY,WIN,1.10773,1.1169,1.0972,0.0,327.9,eurusd,(LONG) Position closed by execution
2259,2020-06-04,2020-06-11,SELL,LOSS,1.13355,1.13757,1.1372,0.0,-150.49,eurusd,(SHORT) Stop loss hit - failed trade
2260,2020-06-18,2020-06-24,BUY,WIN,1.12046,1.13087,1.1094,0.0,382.57,eurusd,(LONG) Position closed by execution
2261,2020-06-25,2020-07-01,SELL,LOSS,1.12182,1.12336,1.1255,0.0,-58.03,eurusd,(SHORT) Position closed by execution
2262,2020-07-02,2020-07-10,BUY,WIN,1.12394,1.12848,1.1203,0.0,171.0,eurusd,(LONG) Position closed by execution
2263,2020-07-15,2020-07-27,BUY,WIN,1.14115,1.16556,1.1375,0.0,962.87,eurusd,(LONG) Position closed by execution
2264,2020-07-30,2020-08-07,SELL,LOSS,1.18468,1.18768,1.1884,0.0,-129.91,eurusd,(SHORT) Position closed by execution
2265,2020-08-10,2020-08-13,BUY,WIN,1.17366,1.17854,1.17,0.0,207.64,eurusd,(LONG) Position closed by execution
2266,2020-08-14,2020-08-28,BUY,LOSS,1.18404,1.18217,1.1786,0.0,-81.07,eurusd,(LONG) Position closed by execution
2267,2020-08-31,2020-09-03,BUY,LOSS,1.19363,1.18542,1.1888,0.0,-354.73,eurusd,(LONG) Stop loss hit - failed trade
2268,2020-09-04,2020-09-10,SELL,WIN,1.18379,1.1803,1.1875,0.0,146.16,eurusd,(SHORT) Position closed by execution
2269,2020-09-14,2020-09-21,BUY,LOSS,1.18638,1.18426,1.1785,0.0,-90.1,eurusd,(LONG) Position closed by execution
2270,2020-09-22,2020-09-24,SELL,WIN,1.17048,1.16603,1.1742,0.0,184.91,eurusd,(SHORT) Position closed by execution
2271,2020-09-25,2020-09-30,SELL,LOSS,1.16307,1.17433,1.1734,0.0,-477.88,eurusd,(SHORT) Stop loss hit - failed trade
2272,2020-10-07,2020-10-09,BUY,LOSS,1.17629,1.17601,1.1652,0.0,-11.48,eurusd,(LONG) Position closed by execution
2273,2020-10-12,2020-10-16,SELL,WIN,1.18119,1.17074,1.1916,0.0,425.87,eurusd,(SHORT) Position closed by execution
2274,2020-10-21,2020-10-29,BUY,LOSS,1.18611,1.17462,1.1785,0.0,-485.43,eurusd,(LONG) Stop loss hit - failed trade
2275,2020-10-30,2020-11-04,SELL,LOSS,1.16454,1.17202,1.1702,0.0,-303.77,eurusd,(SHORT) Stop loss hit - failed trade
2276,2020-11-11,2020-11-13,SELL,LOSS,1.17788,1.18056,1.1822,0.0,-107.03,eurusd,(SHORT) Position closed by execution
2277,2020-11-17,2020-11-26,SELL,LOSS,1.18611,1.19139,1.1898,0.0,-210.96,eurusd,(SHORT) Stop loss hit - failed trade
2278,2020-11-27,2020-12-02,BUY,WIN,1.19609,1.2072,1.1867,0.0,442.06,eurusd,(LONG) Position closed by execution
2279,2020-12-03,2020-12-16,SELL,LOSS,1.21479,1.21528,1.2185,0.0,-20.35,eurusd,(SHORT) Position closed by execution
2280,2020-12-21,2020-12-24,SELL,WIN,1.22431,1.21861,1.228,0.0,236.89,eurusd,(SHORT) Position closed by execution
2281,2020-12-28,2021-01-07,SELL,LOSS,1.22148,1.23263,1.2325,0.0,-477.59,eurusd,(SHORT) Stop loss hit - failed trade
2282,2021-01-08,2021-01-12,BUY,LOSS,1.22193,1.21502,1.2182,0.0,-280.87,eurusd,(LONG) Stop loss hit - failed trade
2283,2021-01-13,2021-01-21,SELL,WIN,1.21578,1.21057,1.2268,0.0,206.17,eurusd,(SHORT) Position closed by execution
2284,2021-01-22,2021-01-28,BUY,LOSS,1.21713,1.21121,1.2126,0.0,-238.42,eurusd,(LONG) Stop loss hit - failed trade
2285,2021-01-29,2021-02-03,SELL,WIN,1.21367,1.20431,1.2194,0.0,367.5,eurusd,(SHORT) Position closed by execution
2286,2021-02-04,2021-02-08,SELL,LOSS,1.19611,1.20489,1.1998,0.0,-355.46,eurusd,(SHORT) Stop loss hit - failed trade
2287,2021-02-09,2021-02-16,BUY,WIN,1.21197,1.21271,1.2036,0.0,29.28,eurusd,(LONG) Position closed by execution
2288,2021-02-18,2021-02-23,BUY,WIN,1.20933,1.21581,1.2056,0.0,257.73,eurusd,(LONG) Position closed by execution
2289,2021-02-24,2021-03-01,BUY,LOSS,1.21684,1.20736,1.2132,0.0,-382.46,eurusd,(LONG) Stop loss hit - failed trade
2290,2021-03-02,2021-03-05,SELL,WIN,1.20905,1.19721,1.2145,0.0,458.92,eurusd,(SHORT) Position closed by execution
2291,2021-03-11,2021-03-15,SELL,WIN,1.19852,1.19518,1.2096,0.0,134.21,eurusd,(SHORT) Position closed by execution
2292,2021-03-16,2021-03-26,BUY,LOSS,1.19024,1.17641,1.1792,0.0,-552.96,eurusd,(LONG) Stop loss hit - failed trade
2293,2021-03-30,2021-04-02,SELL,LOSS,1.17158,1.17776,1.1772,0.0,-236.45,eurusd,(SHORT) Stop loss hit - failed trade
2294,2021-04-07,2021-04-09,BUY,WIN,1.18717,1.19162,1.1793,0.0,168.85,eurusd,(LONG) Position closed by execution
2295,2021-04-13,2021-04-29,BUY,WIN,1.19489,1.21257,1.1912,0.0,692.48,eurusd,(LONG) Position closed by execution
2296,2021-04-30,2021-05-10,BUY,WIN,1.20215,1.21635,1.1911,0.0,590.38,eurusd,(LONG) Position closed by execution
2297,2021-05-11,2021-05-18,BUY,WIN,1.21482,1.21518,1.2038,0.0,15.64,eurusd,(LONG) Position closed by execution
2298,2021-05-21,2021-05-26,SELL,LOSS,1.21803,1.2252,1.2217,0.0,-314.74,eurusd,(SHORT) Stop loss hit - failed trade
2299,2021-05-27,2021-06-04,BUY,LOSS,1.21945,1.21271,1.2155,0.0,-285.86,eurusd,(LONG) Stop loss hit - failed trade
2300,2021-06-07,2021-06-10,BUY,LOSS,1.21895,1.21792,1.2153,0.0,-42.91,eurusd,(LONG) Position closed by execution
2301,2021-06-11,2021-06-17,BUY,LOSS,1.21079,1.19957,1.2071,0.0,-458.69,eurusd,(LONG) Stop loss hit - failed trade
2302,2021-06-18,2021-06-23,SELL,LOSS,1.18616,1.19412,1.1938,0.0,-312.11,eurusd,(SHORT) Stop loss hit - failed trade
2303,2021-06-24,2021-06-28,BUY,WIN,1.19315,1.19362,1.1895,0.0,17.93,eurusd,(LONG) Position closed by execution
2304,2021-06-30,2021-07-05,BUY,WIN,1.18577,1.18664,1.1778,0.0,33.06,eurusd,(LONG) Position closed by execution
2305,2021-07-06,2021-07-08,SELL,WIN,1.18234,1.17907,1.1913,0.0,123.85,eurusd,(SHORT) Position closed by execution
2306,2021-07-09,2021-07-16,SELL,WIN,1.18773,1.18111,1.193,0.0,253.81,eurusd,(SHORT) Position closed by execution
2307,2021-07-21,2021-07-27,BUY,WIN,1.17943,1.18023,1.1698,0.0,31.29,eurusd,(LONG) Position closed by execution
2308,2021-07-28,2021-08-02,BUY,WIN,1.18427,1.18696,1.1806,0.0,106.11,eurusd,(LONG) Position closed by execution
2309,2021-08-03,2021-08-05,BUY,LOSS,1.18651,1.18371,1.1828,0.0,-111.12,eurusd,(LONG) Position closed by execution
2310,2021-08-06,2021-08-11,BUY,LOSS,1.17604,1.17202,1.1724,0.0,-156.54,eurusd,(LONG) Stop loss hit - failed trade
2311,2021-08-12,2021-08-18,BUY,LOSS,1.17302,1.17083,1.162,0.0,-84.11,eurusd,(LONG) Position closed by execution
2312,2021-08-19,2021-08-24,SELL,LOSS,1.16768,1.17459,1.1714,0.0,-264.35,eurusd,(SHORT) Stop loss hit - failed trade
2313,2021-08-25,2021-08-30,BUY,WIN,1.17727,1.17965,1.1662,0.0,89.41,eurusd,(LONG) Position closed by execution
2314,2021-08-31,2021-09-21,BUY,LOSS,1.18086,1.17269,1.1698,0.0,-307.5,eurusd,(LONG) Position closed by execution
2315,2021-09-23,2021-09-28,BUY,LOSS,1.1739,1.1695,1.1702,0.0,-160.86,eurusd,(LONG) Stop loss hit - failed trade
2316,2021-09-29,2021-10-04,BUY,LOSS,1.15973,1.15932,1.1487,0.0,-14.66,eurusd,(LONG) Position closed by execution
2317,2021-10-11,2021-10-13,SELL,WIN,1.15535,1.15301,1.159,0.0,83.04,eurusd,(SHORT) Position closed by execution
2318,2021-10-15,2021-10-20,SELL,LOSS,1.15992,1.16326,1.171,0.0,-120.49,eurusd,(SHORT) Position closed by execution
2319,2021-10-22,2021-10-26,BUY,LOSS,1.16441,1.16104,1.1534,0.0,-120.06,eurusd,(LONG) Position closed by execution
2320,2021-10-27,2021-11-02,BUY,WIN,1.16028,1.16066,1.1533,0.0,13.38,eurusd,(LONG) Position closed by execution
2321,2021-11-03,2021-11-05,BUY,LOSS,1.16127,1.15545,1.1527,0.0,-204.38,eurusd,(LONG) Position closed by execution
2322,2021-11-08,2021-11-16,SELL,WIN,1.15873,1.1367,1.1642,0.0,747.14,eurusd,(SHORT) Position closed by execution
2323,2021-11-17,2021-11-22,SELL,WIN,1.13189,1.1282,1.1414,0.0,132.65,eurusd,(SHORT) Position closed by execution
2324,2021-11-23,2021-11-26,SELL,WIN,1.1249,1.12087,1.1286,0.0,145.55,eurusd,(SHORT) Position closed by execution
2325,2021-12-01,2021-12-03,SELL,WIN,1.13191,1.13016,1.1356,0.0,64.51,eurusd,(SHORT) Position closed by execution
2326,2021-12-06,2021-12-14,BUY,WIN,1.12852,1.12859,1.1247,0.0,2.58,eurusd,(LONG) Position closed by execution
2327,2021-12-15,2021-12-20,SELL,WIN,1.12942,1.12353,1.1331,0.0,217.06,eurusd,(SHORT) Position closed by execution
2328,2021-12-21,2021-12-23,SELL,LOSS,1.12857,1.13272,1.1391,0.0,-156.98,eurusd,(SHORT) Position closed by execution
2329,2021-12-27,2021-12-29,BUY,LOSS,1.13269,1.13085,1.1224,0.0,-68.6,eurusd,(LONG) Position closed by execution
2330,2021-12-30,2022-01-04,BUY,LOSS,1.13257,1.12979,1.1282,0.0,-102.96,eurusd,(LONG) Position closed by execution
2331,2022-01-05,2022-01-07,BUY,LOSS,1.13127,1.12984,1.1202,0.0,-52.52,eurusd,(LONG) Position closed by execution
2332,2022-01-10,2022-01-13,BUY,WIN,1.13283,1.14414,1.1279,0.0,418.7,eurusd,(LONG) Position closed by execution
2333,2022-01-17,2022-01-19,BUY,LOSS,1.14062,1.13278,1.1369,0.0,-297.47,eurusd,(LONG) Stop loss hit - failed trade
2334,2022-01-20,2022-01-28,SELL,WIN,1.13106,1.11446,1.1399,0.0,604.68,eurusd,(SHORT) Position closed by execution
2335,2022-02-02,2022-02-09,BUY,WIN,1.13045,1.1417,1.1204,0.0,440.9,eurusd,(LONG) Position closed by execution
2336,2022-02-10,2022-02-16,SELL,WIN,1.1428,1.13578,1.1465,0.0,283.23,eurusd,(SHORT) Position closed by execution
2337,2022-02-25,2022-03-01,BUY,LOSS,1.12718,1.12191,1.1235,0.0,-214.59,eurusd,(LONG) Stop loss hit - failed trade
2338,2022-03-02,2022-03-16,SELL,WIN,1.11197,1.09542,1.1157,0.0,647.4,eurusd,(SHORT) Position closed by execution
2339,2022-03-17,2022-03-21,SELL,WIN,1.10911,1.10507,1.12,0.0,167.27,eurusd,(SHORT) Position closed by execution
2340,2022-03-22,2022-03-24,BUY,LOSS,1.10245,1.10057,1.0937,0.0,-78.47,eurusd,(LONG) Position closed by execution
2341,2022-03-25,2022-04-05,BUY,LOSS,1.09834,1.09722,1.0947,0.0,-46.35,eurusd,(LONG) Position closed by execution
2342,2022-04-07,2022-04-13,SELL,WIN,1.08801,1.0826,1.0991,0.0,220.11,eurusd,(SHORT) Position closed by execution
2343,2022-04-14,2022-04-18,SELL,WIN,1.08293,1.0809,1.0866,0.0,83.77,eurusd,(SHORT) Position closed by execution
2344,2022-04-19,2022-04-21,SELL,LOSS,1.0789,1.08543,1.0869,0.0,-272.25,eurusd,(SHORT) Position closed by execution
2345,2022-04-26,2022-04-29,SELL,WIN,1.06373,1.04983,1.0674,0.0,549.69,eurusd,(SHORT) Position closed by execution
2346,2022-05-02,2022-05-05,SELL,LOSS,1.05074,1.06193,1.0547,0.0,-465.37,eurusd,(SHORT) Stop loss hit - failed trade
2347,2022-05-06,2022-05-11,SELL,WIN,1.05446,1.05299,1.0591,0.0,58.65,eurusd,(SHORT) Position closed by execution
2348,2022-05-12,2022-05-18,SELL,LOSS,1.03795,1.05505,1.0437,0.0,-686.62,eurusd,(SHORT) Stop loss hit - failed trade
2349,2022-05-19,2022-05-31,BUY,WIN,1.05834,1.07798,1.0473,0.0,766.27,eurusd,(LONG) Position closed by execution
2350,2022-06-07,2022-06-09,SELL,LOSS,1.07049,1.07163,1.0742,0.0,-46.77,eurusd,(SHORT) Position closed by execution
2351,2022-06-10,2022-06-21,SELL,WIN,1.0519,1.05109,1.0556,0.0,32.47,eurusd,(SHORT) Position closed by execution
2352,2022-06-22,2022-06-24,BUY,LOSS,1.05688,1.05211,1.0532,0.0,-191.9,eurusd,(LONG) Stop loss hit - failed trade
2353,2022-06-28,2022-07-11,SELL,WIN,1.05207,1.01854,1.0558,0.0,1287.99,eurusd,(SHORT) Position closed by execution
2354,2022-07-12,2022-07-15,SELL,WIN,1.0036,1.00208,1.0107,0.0,62.76,eurusd,(SHORT) Position closed by execution
2355,2022-07-18,2022-07-27,SELL,WIN,1.01439,1.01177,1.0254,0.0,109.68,eurusd,(SHORT) Position closed by execution
2356,2022-07-28,2022-08-12,BUY,WIN,1.01967,1.03197,1.016,0.0,529.03,eurusd,(LONG) Position closed by execution
2357,2022-08-15,2022-08-18,BUY,WIN,1.01592,1.01774,1.0122,0.0,79.85,eurusd,(LONG) Position closed by execution
2358,2022-08-19,2022-08-23,BUY,LOSS,1.00411,0.99422,1.0004,0.0,-426.09,eurusd,(LONG) Stop loss hit - failed trade
2359,2022-08-25,2022-08-30,SELL,LOSS,0.99742,0.99977,1.0085,0.0,-99.1,eurusd,(SHORT) Position closed by execution
2360,2022-08-31,2022-09-02,SELL,WIN,1.00524,0.9945,1.0089,0.0,447.59,eurusd,(SHORT) Position closed by execution
2361,2022-09-09,2022-09-13,SELL,LOSS,1.00406,1.01218,1.0151,0.0,-354.42,eurusd,(SHORT) Position closed by execution
2362,2022-09-14,2022-09-21,BUY,LOSS,0.99795,0.99697,0.9916,0.0,-41.2,eurusd,(LONG) Position closed by execution
2363,2022-09-22,2022-09-29,SELL,WIN,0.98341,0.97365,0.9945,0.0,399.56,eurusd,(SHORT) Position closed by execution
2364,2022-09-30,2022-10-05,SELL,LOSS,0.9801,0.99862,0.9853,0.0,-797.71,eurusd,(SHORT) Stop loss hit - failed trade
2365,2022-10-10,2022-10-26,BUY,WIN,0.97032,0.99678,0.9643,0.0,1080.47,eurusd,(LONG) Position closed by execution
2366,2022-10-27,2022-11-02,SELL,WIN,0.99649,0.98739,1.0075,0.0,394.44,eurusd,(SHORT) Position closed by execution
2367,2022-11-07,2022-11-09,SELL,LOSS,1.0021,1.00728,1.0058,0.0,-234.65,eurusd,(SHORT) Stop loss hit - failed trade
2368,2022-11-10,2022-11-16,BUY,WIN,1.0208,1.03467,1.0171,0.0,636.21,eurusd,(LONG) Position closed by execution
2369,2022-11-17,2022-11-21,BUY,LOSS,1.03648,1.03225,1.0328,0.0,-201.13,eurusd,(LONG) Stop loss hit - failed trade
2370,2022-11-22,2022-11-24,SELL,LOSS,1.03024,1.03945,1.0339,0.0,-435.73,eurusd,(SHORT) Stop loss hit - failed trade
2371,2022-11-28,2022-12-01,SELL,LOSS,1.034,1.04084,1.0377,0.0,-315.62,eurusd,(SHORT) Stop loss hit - failed trade
2372,2022-12-02,2022-12-06,BUY,LOSS,1.05405,1.04932,1.0445,0.0,-215.79,eurusd,(LONG) Position closed by execution
2373,2022-12-08,2022-12-13,BUY,LOSS,1.0555,1.05383,1.0517,0.0,-75.49,eurusd,(LONG) Position closed by execution
2374,2022-12-19,2022-12-30,BUY,WIN,1.06073,1.06621,1.057,0.0,249.39,eurusd,(LONG) Position closed by execution
2375,2023-01-02,2023-01-04,BUY,LOSS,1.066,1.05488,1.0586,0.0,-508.65,eurusd,(LONG) Stop loss hit - failed trade
2376,2023-01-10,2023-01-13,SELL,LOSS,1.07343,1.08511,1.0771,0.0,-532.07,eurusd,(SHORT) Stop loss hit - failed trade
2377,2023-01-16,2023-01-19,SELL,WIN,1.08223,1.07944,1.0933,0.0,122.07,eurusd,(SHORT) Position closed by execution
2378,2023-01-20,2023-01-25,SELL,LOSS,1.08562,1.08882,1.0946,0.0,-142.4,eurusd,(SHORT) Position closed by execution
2379,2023-01-26,2023-01-31,SELL,WIN,1.08912,1.08519,1.0937,0.0,172.63,eurusd,(SHORT) Position closed by execution
2380,2023-02-02,2023-02-06,BUY,LOSS,1.09108,1.0794,1.0833,0.0,-516.27,eurusd,(LONG) Stop loss hit - failed trade
2381,2023-02-07,2023-02-15,SELL,LOSS,1.07278,1.07359,1.0765,0.0,-34.4,eurusd,(SHORT) Position closed by execution
2382,2023-02-16,2023-02-23,SELL,WIN,1.06728,1.06049,1.0756,0.0,284.09,eurusd,(SHORT) Position closed by execution
2383,2023-02-27,2023-03-03,SELL,WIN,1.06088,1.05971,1.0696,0.0,49.86,eurusd,(SHORT) Position closed by execution
2384,2023-03-06,2023-03-08,BUY,LOSS,1.06828,1.05493,1.0611,0.0,-568.42,eurusd,(LONG) Stop loss hit - failed trade
2385,2023-03-09,2023-03-13,SELL,LOSS,1.05823,1.06395,1.0619,0.0,-236.25,eurusd,(SHORT) Stop loss hit - failed trade
2386,2023-03-14,2023-03-16,BUY,LOSS,1.07332,1.05758,1.0651,0.0,-635.5,eurusd,(LONG) Stop loss hit - failed trade
2387,2023-03-17,2023-03-24,BUY,WIN,1.06647,1.08327,1.0554,0.0,663.36,eurusd,(LONG) Position closed by execution
2388,2023-03-27,2023-03-31,SELL,LOSS,1.07987,1.09056,1.0856,0.0,-445.95,eurusd,(SHORT) Stop loss hit - failed trade
2389,2023-04-03,2023-04-07,BUY,WIN,1.09027,1.09205,1.0866,0.0,71.99,eurusd,(LONG) Position closed by execution
2390,2023-04-12,2023-04-14,SELL,LOSS,1.09915,1.1047,1.1028,0.0,-228.31,eurusd,(SHORT) Stop loss hit - failed trade
2391,2023-04-19,2023-04-25,SELL,LOSS,1.0956,1.10463,1.0993,0.0,-365.26,eurusd,(SHORT) Stop loss hit - failed trade
2392,2023-04-26,2023-05-02,BUY,LOSS,1.1039,1.09764,1.1002,0.0,-244.8,eurusd,(LONG) Stop loss hit - failed trade
2393,2023-05-03,2023-05-05,SELL,WIN,1.10623,1.10122,1.1119,0.0,192.87,eurusd,(SHORT) Position closed by execution
2394,2023-05-08,2023-05-15,SELL,WIN,1.10039,1.08496,1.1041,0.0,594.03,eurusd,(SHORT) Position closed by execution
2395,2023-05-16,2023-05-30,SELL,WIN,1.08627,1.0709,1.0907,0.0,610.6,eurusd,(SHORT) Position closed by execution
2396,2023-05-31,2023-06-02,SELL,LOSS,1.06883,1.07624,1.0725,0.0,-309.08,eurusd,(SHORT) Stop loss hit - failed trade
2397,2023-06-05,2023-06-26,BUY,WIN,1.07122,1.08954,1.0648,0.0,756.8,eurusd,(LONG) Position closed by execution
2398,2023-06-28,2023-07-03,SELL,WIN,1.0913,1.09098,1.1024,0.0,13.94,eurusd,(SHORT) Position closed by execution
2399,2023-07-05,2023-07-11,BUY,WIN,1.0854,1.10011,1.0817,0.0,647.42,eurusd,(LONG) Position closed by execution
2400,2023-07-13,2023-07-21,BUY,LOSS,1.12263,1.11296,1.1181,0.0,-449.5,eurusd,(LONG) Stop loss hit - failed trade
2401,2023-07-24,2023-07-27,SELL,LOSS,1.10648,1.10858,1.1102,0.0,-94.4,eurusd,(SHORT) Position closed by execution
2402,2023-07-28,2023-08-03,BUY,LOSS,1.10161,1.09384,1.0961,0.0,-342.43,eurusd,(LONG) Stop loss hit - failed trade
2403,2023-08-08,2023-08-11,BUY,WIN,1.09564,1.09808,1.092,0.0,105.45,eurusd,(LONG) Position closed by execution
2404,2023-08-14,2023-08-21,BUY,LOSS,1.09066,1.08688,1.087,0.0,-162.89,eurusd,(LONG) Stop loss hit - failed trade
