Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
999,999,10077.12000000001,0.95501107,1,0.0,0.04009195049770568,True,85,85,170,"{'r': 0.040092, 'l': 989, 't': 5.735651}",False
999,1988,9333.520000000008,0.42089748,2,0.0,-0.04589463218292715,True,80,84,164,"{'r': -0.045895, 'l': 989, 't': 10.928155}",False
999,2977,8147.339999999992,-1.0,1,0.0,-0.17898201355310933,True,71,82,153,"{'r': -0.178982, 'l': 989, 't': 19.992193}",False
999,3966,9278.819999999989,1.0,1,0.0,-0.04572619758091181,True,87,90,177,"{'r': -0.045726, 'l': 989, 't': 25.199175}",False
999,4955,11775.20000000001,1.0,1,0.0,0.19277350200431345,True,83,77,160,"{'r': 0.192774, 'l': 989, 't': 34.127209}",False
999,5944,8787.610000000004,-1.0,2,0.0,-0.0992749781491766,True,77,81,158,"{'r': -0.099275, 'l': 989, 't': 39.301834}",False
999,6933,12175.189999999999,1.0,0,-0.050273485765635326,0.22692314192948476,True,78,80,158,"{'r': 0.226923, 'l': 989, 't': 48.175263}",False
999,7922,13705.780000000004,-1.0,2,0.0,0.33910885682878533,True,89,80,169,"{'r': 0.339109, 'l': 989, 't': 53.367738}",False
999,8911,7747.079999999998,-0.8877868,2,0.0,-0.22968855154914541,True,85,85,170,"{'r': -0.229689, 'l': 989, 't': 62.356427}",False
999,9900,10781.18,0.3811573,2,0.0,0.10700233266937545,True,82,94,176,"{'r': 0.107002, 'l': 989, 't': 67.635183}",False
999,10889,11141.480000000005,-0.29976177,0,0.0,0.13742038050555466,True,76,83,159,"{'r': 0.13742, 'l': 989, 't': 76.672465}",False
999,11878,10471.43999999999,0.10507744,1,0.0,0.07429477793317527,True,87,79,166,"{'r': 0.074295, 'l': 989, 't': 81.827848}",False
999,12867,11028.950000000004,1.0,1,0.0,0.12892806757914235,True,83,78,161,"{'r': 0.128928, 'l': 989, 't': 90.789608}",False
999,13856,12104.780000000008,0.51143956,1,0.0,0.2154712668575588,True,83,79,162,"{'r': 0.215471, 'l': 989, 't': 96.060304}",False
999,14845,9411.540000000006,1.0,0,-0.009069583308765863,-0.026432769294103497,True,85,75,160,"{'r': -0.026433, 'l': 989, 't': 104.937037}",False
999,15834,11533.539999999999,-1.0,0,0.05027191234696958,0.1740344202738912,True,75,81,156,"{'r': 0.174034, 'l': 989, 't': 110.021551}",False
999,16823,9513.829999999998,0.49767256,0,0.0,-0.024099843696727394,True,66,83,149,"{'r': -0.0241, 'l': 989, 't': 118.952383}",False
999,17812,14548.96000000001,0.64710367,1,0.0,0.4048338455817639,True,85,70,155,"{'r': 0.404834, 'l': 989, 't': 124.037517}",False
999,18801,12894.360000000008,0.6521764,1,0.0,0.28279346024449753,True,89,71,160,"{'r': 0.282793, 'l': 989, 't': 132.925147}",False
999,19790,13246.839999999995,0.28449804,0,0.0,0.31076053299967143,True,77,73,150,"{'r': 0.310761, 'l': 989, 't': 138.095812}",False
999,20779,11796.570000000002,-0.39437723,1,0.0,0.19164130856940173,True,87,71,158,"{'r': 0.191641, 'l': 989, 't': 147.023468}",False
999,21768,15407.500000000004,0.1938591,1,0.0,0.46496131068744007,True,77,68,145,"{'r': 0.464961, 'l': 989, 't': 152.167821}",False
999,22757,12685.27,0.43840846,2,0.0,0.2614138872447674,True,89,74,163,"{'r': 0.261414, 'l': 989, 't': 161.150583}",False
999,23746,10712.460000000006,-0.29445553,2,0.0,0.09789777587571799,True,79,80,159,"{'r': 0.097898, 'l': 989, 't': 166.341051}",False
999,24735,9405.820000000005,-1.0,1,0.0,-0.03626840031621988,True,84,80,164,"{'r': -0.036268, 'l': 989, 't': 175.257668}",False
999,25724,11014.639999999996,-0.13959971,1,0.0,0.12896440878290366,True,67,85,152,"{'r': 0.128964, 'l': 989, 't': 180.382754}",False
999,26713,9040.540000000008,-0.7983682,2,0.0,-0.07249543510009761,True,82,85,167,"{'r': -0.072495, 'l': 989, 't': 189.215263}",False
999,27702,12839.689999999997,-0.8449919,0,0.00906768225546212,0.2787032870378493,True,82,77,159,"{'r': 0.278703, 'l': 989, 't': 194.342883}",False
999,28691,11260.349999999999,0.44558853,1,0.0,0.14202483169225727,True,90,72,162,"{'r': 0.142025, 'l': 989, 't': 203.252958}",False
999,29680,10398.01,0.21744952,1,0.0,0.06962589464334697,True,81,76,157,"{'r': 0.069626, 'l': 989, 't': 208.378954}",False
999,30669,14465.550000000003,0.47407758,0,0.0,0.39447084727384013,True,85,73,158,"{'r': 0.394471, 'l': 989, 't': 213.484567}",False
999,31658,16760.680000000004,-0.5384102,2,0.0,0.5415611202912815,True,89,71,160,"{'r': 0.541561, 'l': 989, 't': 222.487335}",False
999,32647,13499.080000000004,-0.43429455,1,0.0,0.33510865495365033,True,72,77,149,"{'r': 0.335109, 'l': 989, 't': 227.651446}",False
999,33636,13503.950000000003,-0.061439916,0,0.0,0.3316090301961827,True,76,75,151,"{'r': 0.331609, 'l': 989, 't': 236.61153}",False
999,34625,22279.019999999997,-0.5348157,2,0.0,0.8316944889263187,True,92,58,150,"{'r': 0.831694, 'l': 989, 't': 241.689465}",False
999,35614,15944.950000000008,0.63130784,0,-0.011681962039046851,0.4950932262008269,True,90,67,157,"{'r': 0.495093, 'l': 989, 't': 250.704828}",False
999,36603,14026.790000000008,1.0,0,-0.011681456084799294,0.36678657122087216,True,82,76,158,"{'r': 0.366787, 'l': 989, 't': 255.806211}",False
999,37592,18699.349999999995,1.0,0,-0.011681589736352962,0.6563938211984974,True,85,67,152,"{'r': 0.656394, 'l': 989, 't': 264.579991}",False
999,38581,13705.06000000001,0.114176124,0,0.0,0.34508077236318063,True,81,69,150,"{'r': 0.345081, 'l': 989, 't': 269.672993}",False
999,39570,15286.83999999999,-0.6091808,2,0.0,0.4507548793205228,True,99,60,159,"{'r': 0.450755, 'l': 989, 't': 278.745136}",False
999,40559,19160.89,0.04068786,2,0.0,0.6855622166921199,True,95,63,158,"{'r': 0.685562, 'l': 989, 't': 283.888902}",False
999,41548,9911.509999999993,-0.019238427,1,0.0,0.024670121169854033,True,75,71,146,"{'r': 0.02467, 'l': 989, 't': 292.952005}",False
999,42537,13240.049999999994,-1.0,2,0.0,0.3139677178130478,True,73,79,152,"{'r': 0.313968, 'l': 989, 't': 298.059708}",False
999,43526,21993.249999999993,-0.0671155,2,0.0,0.8212414049495294,True,88,67,155,"{'r': 0.821241, 'l': 989, 't': 307.035134}",False
999,44515,12243.12999999999,0.67025864,2,0.0,0.22692933489893852,True,78,68,146,"{'r': 0.226929, 'l': 989, 't': 312.317628}",False
999,45504,18560.269999999997,0.5060898,1,0.0,0.6517296808732234,True,90,64,154,"{'r': 0.65173, 'l': 989, 't': 321.51161}",False
999,46493,12677.599999999999,-1.0,2,0.0,0.2720199276350506,True,78,72,150,"{'r': 0.27202, 'l': 989, 't': 326.625773}",False
999,47482,15249.230000000007,0.6493434,2,0.0,0.4562646433395659,True,85,71,156,"{'r': 0.456265, 'l': 989, 't': 335.863132}",False
999,48471,19644.4,-0.47311476,2,0.0,0.7014105068551773,True,84,59,143,"{'r': 0.701411, 'l': 989, 't': 341.13042}",False
999,49460,11889.239999999998,-1.0,2,0.0,0.20069254585361548,True,77,81,158,"{'r': 0.200693, 'l': 989, 't': 350.246974}",False
999,50449,14375.17,-1.0,2,0.0,0.3920498200677889,True,83,67,150,"{'r': 0.39205, 'l': 989, 't': 355.50186}",False
999,51438,11818.289999999999,-0.6375127,2,0.0,0.19380592308535133,True,78,69,147,"{'r': 0.193806, 'l': 989, 't': 364.507154}",False
999,52427,15854.370000000008,-0.16576831,1,0.0,0.48773224620352457,True,89,66,155,"{'r': 0.487732, 'l': 989, 't': 369.748798}",False
999,53416,21353.400000000005,-0.8404206,2,0.0,0.7861738743001485,True,84,52,136,"{'r': 0.786174, 'l': 989, 't': 378.830756}",False
999,54405,15115.570000000007,-0.8603445,0,0.011680571311922546,0.4429142288759194,True,82,64,146,"{'r': 0.442914, 'l': 989, 't': 384.024458}",False
999,55394,10133.98,-0.40837193,0,-0.033713307683872755,0.04376781768811156,True,69,68,137,"{'r': 0.043768, 'l': 989, 't': 392.897753}",False
999,56383,14145.070000000007,-1.0,2,0.0,0.3797582671962475,True,81,61,142,"{'r': 0.379758, 'l': 989, 't': 398.1172}",False
999,57372,16919.900000000012,0.21628737,1,0.0,0.5545218078456451,True,80,60,140,"{'r': 0.554522, 'l': 989, 't': 407.309709}",False
999,58361,20133.300000000007,-1.0,0,0.011680405610815651,0.7302179567592936,True,72,61,133,"{'r': 0.730218, 'l': 989, 't': 412.547897}",False
999,59350,14440.40000000001,0.18223947,2,0.0,0.39897282807833523,True,71,71,142,"{'r': 0.398973, 'l': 989, 't': 417.77476}",False
999,60339,18358.770000000015,-1.0,2,0.0,0.6366249239353837,True,66,59,125,"{'r': 0.636625, 'l': 989, 't': 426.962052}",False
999,61328,14594.970000000007,-1.0,2,0.0,0.4049432091252443,True,73,60,133,"{'r': 0.404943, 'l': 989, 't': 432.178695}",False
999,62317,18969.199999999993,-0.34112734,2,0.0,0.67639659045806,True,80,59,139,"{'r': 0.676397, 'l': 989, 't': 441.348884}",False
999,63306,20839.81000000001,0.2890841,1,0.0,0.7663322497892142,True,71,53,124,"{'r': 0.766332, 'l': 989, 't': 446.434486}",False
999,64295,17590.33,-0.36638662,1,0.0,0.5930844593898617,True,90,58,148,"{'r': 0.593084, 'l': 989, 't': 455.491928}",False
