rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/std,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate
989.0,10,20480,1954,1,-0.032244499999999995,,,,,,,,,,,
989.0,24,40960,1647,2,-0.035551675000000005,0.0037175491,0.012220387780762393,0.9987136125564575,-15.011306762695312,10,-0.001501782682025805,-0.012234389781951904,0.2,-2.8371282052993774,0.029716796875,0.0003
989.0,39,61440,1564,3,0.03269046666666667,0.005155387,0.005116495528272935,0.9930427074432373,-0.0829463005065918,20,-0.0017822859436273574,-0.009536229074001312,0.2,-2.828525037840009,0.04748046875,0.0003
989.0,53,81920,1530,4,0.0591441,0.00487059,0.003908642604073975,0.992666482925415,0.10351121425628662,30,-0.0019012542393465992,0.0034801752772182226,0.2,-2.8239481573551894,0.0502685546875,0.0003
989.0,68,102400,1503,5,0.07669417,0.0067325337,0.003190901495581784,0.9862561225891113,0.15333819389343262,40,-0.0012963596593181137,0.0012602496426552534,0.2,-2.807933483272791,0.0655712890625,0.0003
989.0,82,122880,1492,6,0.15311334,0.007511468,0.002836100152308063,0.9899040460586548,0.11968791484832764,50,0.0001878488542570267,0.0236823707818985,0.2,-2.816441728696227,0.0778564453125,0.0003
989.0,96,143360,1481,7,0.25146524,0.006626883,0.0025574893179509672,0.9758356809616089,0.11322581768035889,60,-0.00182804443022178,-0.0001340191811323166,0.2,-2.796822629272938,0.0687744140625,0.0003
989.0,111,163840,1475,8,0.26282007999999996,0.0062530236,0.002341950244444888,0.9716793298721313,0.07485389709472656,70,-0.0021000114758498965,-0.0020474146585911512,0.2,-2.782579001188278,0.066943359375,0.0003
989.0,125,184320,1471,9,0.30590035,0.008518055,0.0021088463831802073,0.9657633304595947,0.06586509943008423,80,6.249117403058336e-05,-0.012548386119306087,0.2,-2.7649586033821105,0.0907373046875,0.0003
989.0,139,204800,1468,10,0.36222329999999997,0.009103441,0.0021264751362650713,0.9632453918457031,0.058794498443603516,90,-0.0014473826318135252,-0.01201784610748291,0.2,-2.762639244571328,0.0827783203125,0.0003
989.0,153,225280,1463,11,0.36183411,0.010761233,0.002122200258036173,0.9545279741287231,0.06652408838272095,100,0.001337021372237359,-0.0023925811983644962,0.2,-2.7473284646868708,0.1047216796875,0.0003
989.0,168,245760,1460,12,0.3633764800000001,0.0067969398,0.0018653909843305881,0.9489408731460571,0.05100739002227783,110,-0.001736301742348587,0.008369602262973785,0.2,-2.734208577796817,0.075654296875,0.0003
989.0,182,266240,1459,13,0.41252945999999996,0.010607579,0.0018588022771291435,0.9440608024597168,0.06620818376541138,120,-0.00021125553379533813,0.012134437449276447,0.2,-2.731550104022026,0.0918798828125,0.0003
989.0,196,286720,1456,14,0.42889247999999996,0.006533563,0.001871821874374291,0.9456733465194702,0.04524916410446167,130,-0.001424403973214794,-0.02699297107756138,0.2,-2.7244307543337345,0.071328125,0.0003
989.0,211,307200,1453,15,0.53972182,0.006748925,0.0019529071877514071,0.9311286211013794,0.044789791107177734,140,-0.001770828032749705,0.0009691590676084161,0.2,-2.704641049578786,0.072392578125,0.0003
989.0,225,327680,1453,16,0.6441611399999999,0.0062103607,0.0018206322957121301,0.9283733367919922,0.07343363761901855,150,-0.0012971718903281727,-0.002225237200036645,0.2,-2.687135280445218,0.0703662109375,0.0003
989.0,239,348160,1452,17,0.7061983699999997,0.00919687,0.0019452389773687174,0.9237069487571716,0.05934286117553711,160,-0.0007214680564356968,-0.0027569395024329424,0.2,-2.680524340048432,0.089833984375,0.0003
989.0,254,368640,1449,18,0.8179263400000001,0.010098104,0.0017528428295372578,0.9162715077400208,0.06298482418060303,170,-8.491600994602776e-05,0.015264737419784069,0.2,-2.6617703092098237,0.09556640625,0.0003
989.0,268,389120,1447,19,0.93267354,0.007831825,0.0019574715918497534,0.9054017663002014,0.08733928203582764,180,-0.0008020260931516532,0.012596159242093563,0.2,-2.644547596797347,0.071396484375,0.0003
989.0,282,409600,1447,20,0.9371069899999999,0.006130118,0.001864765447753598,0.8983292579650879,0.07607758045196533,190,-0.002089064644242171,-0.008524532429873943,0.2,-2.629920659661293,0.0760546875,0.0003
989.0,297,430080,1447,21,0.9834938699999999,0.010132467,0.0019235462768483558,0.8862777352333069,0.10719871520996094,200,0.0012260982143925503,-0.010620619170367718,0.2,-2.5963109365105628,0.10029296875,0.0003
989.0,311,450560,1447,22,1.02347967,0.007437974,0.0018978658210107825,0.8719252347946167,0.09934520721435547,210,-0.0009489792247040896,0.011021335609257221,0.2,-2.5660179218649866,0.0775927734375,0.0003
989.0,325,471040,1448,23,1.09125091,0.0081353495,0.0019093277500724071,0.8698062300682068,0.10766184329986572,220,0.00016930798017710913,-0.011783899739384651,0.2,-2.5561856982856987,0.081943359375,0.0003
989.0,339,491520,1447,24,1.1096011,0.00913945,0.001913270247168839,0.8679410219192505,0.11884576082229614,230,-0.0017122016579378396,-0.026649752631783485,0.2,-2.553381058052182,0.0886279296875,0.0003
989.0,353,512000,1447,25,1.1752110999999998,0.008749205,0.0018680995099202846,0.8614637851715088,0.13395440578460693,240,-0.0017641060129972175,-0.005336865782737732,0.2,-2.5394784338772296,0.090322265625,0.0003
989.0,368,532480,1446,26,1.24903351,0.008316046,0.0019936363667511616,0.8495069742202759,0.13594597578048706,250,-0.002283864641940454,-0.007009363733232021,0.2,-2.513526626601815,0.079599609375,0.0003
989.0,381,552960,1447,27,1.31868074,0.0073732054,0.00199039542590981,0.8462233543395996,0.1574227213859558,260,-0.0017536116126575507,0.01184187363833189,0.2,-2.501987321227789,0.0831005859375,0.0003
989.0,396,573440,1447,28,1.3716045000000003,0.008987852,0.0019730892012739787,0.8284593820571899,0.15388351678848267,270,-0.0007092197601741646,-0.007061420939862728,0.2,-2.4674833326041696,0.101875,0.0003
989.0,410,593920,1446,29,1.4727070399999997,0.009592601,0.0020200200454564767,0.8274049758911133,0.18235450983047485,280,-0.0007224724411207717,0.020763585343956947,0.2,-2.457703559473157,0.0867236328125,0.0003
989.0,424,614400,1446,30,1.5285038899999999,0.009879043,0.0019528674843240878,0.8209998607635498,0.22320717573165894,290,-0.001536258936248487,-0.0022761612199246883,0.2,-2.441334917917848,0.1021826171875,0.0003
989.0,438,634880,1446,31,1.5828470299999995,0.007092035,0.0020743353385478257,0.8138281106948853,0.20352768898010254,300,-0.0018247424725268502,-0.0025867156218737364,0.2,-2.427879631817341,0.0846728515625,0.0003
989.0,453,655360,1446,32,1.6265083100000002,0.01031526,0.0021588649621844523,0.8050532341003418,0.24580508470535278,310,-0.0010070623422507197,-0.025253305211663246,0.2,-2.4061677069962024,0.0971533203125,0.0003
989.0,466,675840,1447,33,1.6753691800000001,0.008692336,0.0020773170619577284,0.8107855319976807,0.2472677230834961,320,-0.0017823662540467921,0.005795212462544441,0.2,-2.4084973227977753,0.0934912109375,0.0003
989.0,481,696320,1447,34,1.7731880800000004,0.015425225,0.0022888010934002524,0.8071977496147156,0.2494823932647705,330,0.0012495632709760684,0.008649459108710289,0.2,-2.408329777419567,0.102685546875,0.0003
989.0,495,716800,1447,35,1.83962661,0.021227289,0.0020931913528693257,0.805450439453125,0.2219220995903015,340,1.1678129667416214e-05,0.01057535968720913,0.2,-2.4050032825767995,0.0925634765625,0.0003
989.0,509,737280,1447,36,1.90269306,0.010290539,0.002065286523757095,0.8039172291755676,0.25845080614089966,350,-0.001537739442428574,-0.03585226088762283,0.2,-2.398590060174465,0.1131689453125,0.0003
989.0,523,757760,1447,37,1.96283367,0.011399963,0.002283931782912987,0.8006168603897095,0.27731841802597046,360,0.002641770771006122,-0.028977621346712112,0.2,-2.392692636400461,0.1419873046875,0.0003
989.0,537,778240,1447,38,2.0197260199999993,0.030361896,0.0022228801152232337,0.7982615828514099,0.27740907669067383,370,0.004330583439586917,-0.003435846185311675,0.2,-2.382094717696309,0.1243310546875,0.0003
989.0,551,798720,1448,39,2.0242604799999997,0.008612284,0.002232368627919641,0.7942004203796387,0.2721918225288391,380,-0.002215272141766036,-0.022216560319066048,0.2,-2.3761498292535546,0.0930908203125,0.0003
989.0,565,819200,1448,40,2.0846118799999998,0.007554844,0.0022623865073910566,0.7863940000534058,0.28261667490005493,390,-0.0005030751450976822,-0.004231419879943132,0.2,-2.359527754113078,0.091943359375,0.0003
989.0,579,839680,1449,41,2.15371179,0.008726961,0.002256110823363997,0.7737082839012146,0.29130101203918457,400,-0.0012921545674907974,-0.006296873092651367,0.2,-2.3291822040081023,0.0920263671875,0.0003
989.0,593,860160,1448,42,2.18557491,0.0073628398,0.0022318486952099194,0.7768352031707764,0.29858314990997314,410,-0.0005604038630553986,-0.005193856079131365,0.2,-2.3262393637746572,0.0905126953125,0.0003
989.0,607,880640,1448,43,2.22951277,0.008148802,0.002415775695080811,0.7690631151199341,0.2965938448905945,420,0.0003111932997126132,0.009498164057731628,0.2,-2.3150199656933546,0.100625,0.0003
989.0,622,901120,1447,44,2.3001047,0.009746229,0.0022744877480363355,0.7580136060714722,0.3356950283050537,430,-0.000770127275318373,-0.011008993722498417,0.2,-2.283195898160338,0.0986572265625,0.0003
989.0,636,921600,1447,45,2.3223486600000003,0.009448564,0.002211917566310149,0.7513935565948486,0.3157770037651062,440,-0.0007517052818730008,-0.010946345515549183,0.2,-2.2609554747492075,0.0960546875,0.0003
989.0,651,942080,1446,46,2.3798709799999997,0.007758093,0.002098500494066684,0.7494031190872192,0.33013856410980225,450,-0.0006637750536901876,0.009346090257167816,0.2,-2.2541877353191375,0.0961279296875,0.0003
989.0,665,962560,1445,47,2.42618188,0.010064185,0.0022734685115210597,0.7480887174606323,0.3352201581001282,460,-0.001425373809179291,-0.0038020904175937176,0.2,-2.246799229681492,0.107236328125,0.0003
989.0,680,983040,1445,48,2.48296253,0.010589014,0.0023005150421886358,0.7469333410263062,0.3033537268638611,470,-0.0005408981585060247,0.005436122417449951,0.2,-2.2447764710336924,0.100673828125,0.0003
989.0,694,1003520,1444,49,2.48464227,0.01172003,0.002349311573088926,0.7416210770606995,0.329603910446167,480,0.001414693945844192,0.05360778421163559,0.2,-2.2363511769473554,0.1213037109375,0.0003
989.0,708,1024000,1444,50,2.55257446,0.0091086,0.0024763091780914694,0.7338757514953613,0.3501209616661072,490,-0.000972189002786763,0.00011397595517337322,0.2,-2.2105956760793926,0.1025439453125,0.0003
989.0,723,1044480,1443,51,2.5819277499999997,0.009578219,0.0024795382639058515,0.7267096042633057,0.3756270408630371,500,-0.0012183139634726102,-0.006329445168375969,0.2,-2.1900855857133865,0.111875,0.0003
989.0,737,1064960,1444,52,2.65119333,0.009808875,0.002242602513433667,0.7238520383834839,0.38967573642730713,510,0.00011187090844032355,0.013724993914365768,0.2,-2.181949639394879,0.1033203125,0.0003
989.0,751,1085440,1444,53,2.72452833,0.0087198615,0.0024574407467116543,0.7180793285369873,0.39713746309280396,520,-0.0009167549265839625,0.018373236060142517,0.2,-2.1657411455363036,0.1072607421875,0.0003
989.0,766,1105920,1443,54,2.81940276,0.010330989,0.002450631234987668,0.7093639373779297,0.3626890778541565,530,7.533985190093518e-05,-0.0034785172902047634,0.2,-2.141276709660888,0.10837890625,0.0003
989.0,780,1126400,1443,55,2.86868048,0.009861697,0.0023810927323575015,0.711042046546936,0.3890184164047241,540,-4.822891060030088e-06,0.018396353349089622,0.2,-2.1439994218200447,0.1082373046875,0.0003
989.0,794,1146880,1443,56,2.8874059400000003,0.010714613,0.002414844865397754,0.7022140026092529,0.3818854093551636,550,0.0005191835176083259,0.00551969138905406,0.2,-2.1221479305624964,0.117265625,0.0003
989.0,808,1167360,1444,57,2.9329289099999993,0.009502326,0.0024903925187754793,0.6959211826324463,0.4058188199996948,560,0.0006324382235470693,-0.0006648791022598743,0.2,-2.102647723555565,0.1134326171875,0.0003
989.0,822,1187840,1443,58,2.9337388700000004,0.009659952,0.0026620883994110047,0.6903873085975647,0.3961446285247803,570,0.00023664654945605436,-0.013217931613326073,0.2,-2.0854672357439994,0.1068701171875,0.0003
989.0,836,1208320,1444,59,2.93049911,0.00903034,0.0024253392492573768,0.6838341951370239,0.3972659707069397,580,-0.00045185203984146935,-0.016267741098999977,0.2,-2.065458930358291,0.112841796875,0.0003
989.0,851,1228800,1443,60,2.9440937099999998,0.009710914,0.002528386972280714,0.6791683435440063,0.409115731716156,590,-0.00026129609395866284,-0.007289625704288483,0.2,-2.0541086864471434,0.11416015625,0.0003
989.0,865,1249280,1443,61,2.97220423,0.010097881,0.002619267426307488,0.6742928624153137,0.3911518454551697,600,-0.0004521517078683246,0.022754468023777008,0.2,-2.0341614934802057,0.1144287109375,0.0003
989.0,879,1269760,1443,62,3.0426161300000003,0.011637365,0.0025375903356689377,0.6660237908363342,0.42467278242111206,610,-6.600682470889296e-05,-0.006315791048109531,0.2,-2.015107081234455,0.118779296875,0.0003
989.0,894,1290240,1443,63,3.1305862699999993,0.011703688,0.0025379352324307546,0.6584408283233643,0.41312462091445923,620,-5.539603291254025e-05,-0.005448715295642614,0.2,-1.9925486505404115,0.118203125,0.0003
989.0,908,1310720,1442,64,3.1765559500000005,0.014882681,0.0026296793214351053,0.651517927646637,0.3970317840576172,630,0.0016077127223252318,0.01762090064585209,0.2,-1.966858019195497,0.13375,0.0003
989.0,922,1331200,1443,65,3.21657598,0.014589934,0.0027693006736808456,0.6497231721878052,0.4033520221710205,640,0.0008189115590357687,0.03204621002078056,0.2,-1.9591645900905132,0.1209814453125,0.0003
989.0,936,1351680,1443,66,3.20797741,0.010938328,0.002727721362898592,0.6476959586143494,0.39022403955459595,650,0.0008647093655599747,0.0305899940431118,0.2,-1.9554185904189945,0.1210107421875,0.0003
989.0,950,1372160,1443,67,3.202581239999999,0.0144963935,0.0028006198941329784,0.6393874883651733,0.38374292850494385,660,8.680826300405897e-05,-0.03389471024274826,0.2,-1.9327088300138713,0.142548828125,0.0003
989.0,964,1392640,1443,68,3.1806781500000003,0.009866187,0.0029243550542742015,0.6325912475585938,0.33474862575531006,670,0.0010673052800120786,-0.01299068983644247,0.2,-1.9098742550238967,0.1144384765625,0.0003
989.0,978,1413120,1443,69,3.1880575199999996,0.01220158,0.0028039609161714905,0.6275890469551086,0.33783090114593506,680,0.0006808781941072084,-0.003601596225053072,0.2,-1.887725199945271,0.1220849609375,0.0003
989.0,992,1433600,1443,70,3.206810380000001,0.010959792,0.0026016393878853707,0.6198938488960266,0.3580455183982849,690,0.0010296596173429862,0.0043592872098088264,0.2,-1.8711254286020995,0.123505859375,0.0003
989.0,1007,1454080,1443,71,3.2942563599999994,0.011284802,0.0027154900337336583,0.6181191802024841,0.3690868616104126,700,0.00170170721001341,-0.005468690302222967,0.2,-1.856866778768599,0.1239111328125,0.0003
989.0,1021,1474560,1443,72,3.3329393999999994,0.010369393,0.0029594657151392314,0.6157506108283997,0.3955041170120239,710,0.0006723963149124757,-0.018144240602850914,0.2,-1.8501422360539437,0.12513671875,0.0003
989.0,1035,1495040,1443,73,3.40427073,0.010527815,0.002742887320382579,0.6161572337150574,0.368253231048584,720,0.00032314149211742915,0.010884944349527359,0.2,-1.8493262738361955,0.1210498046875,0.0003
989.0,1050,1515520,1443,74,3.4296783000000004,0.009249827,0.002782923141840001,0.617121696472168,0.40273118019104004,730,0.0011277067719493061,-0.02139303646981716,0.2,-1.8544117303565144,0.121767578125,0.0003
989.0,1064,1536000,1442,75,3.4451248299999997,0.012068885,0.0027576870373195563,0.6148083806037903,0.40554696321487427,740,0.0009425407291564625,-0.004704080522060394,0.2,-1.837308051660657,0.1259130859375,0.0003
989.0,1078,1556480,1442,76,3.474208369999999,0.012169903,0.0027897942833806154,0.6094712018966675,0.40756165981292725,750,0.0006641738419421018,0.004946481436491013,0.2,-1.832468001767993,0.1265966796875,0.0003
989.0,1093,1576960,1442,77,3.5081436399999997,0.0118053015,0.0030673826596466823,0.6079460382461548,0.40319013595581055,760,0.000961334239837015,0.007098745554685593,0.2,-1.8153854063153267,0.1212158203125,0.0003
989.0,1107,1597440,1442,78,3.53123034,0.011166704,0.003082193833506608,0.6066551804542542,0.3794461488723755,770,0.0006759726896416396,-0.000932054128497839,0.2,-1.808874326683581,0.1297412109375,0.0003
989.0,1121,1617920,1442,79,3.57724714,0.013606695,0.0030758635704478364,0.5995150208473206,0.4104499816894531,780,0.00020430485106771813,-0.023588193580508232,0.2,-1.7839250469207764,0.142587890625,0.0003
989.0,1136,1638400,1441,80,3.6004496599999998,0.013493982,0.002989860308407515,0.5984240770339966,0.41473114490509033,790,0.0008068754759733565,0.0022882430348545313,0.2,-1.7801065571606158,0.1358837890625,0.0003
989.0,1150,1658880,1441,81,3.6452619700000004,0.01087149,0.0029049582701918555,0.5973142385482788,0.41454100608825684,800,0.0017754740484815556,0.007809803821146488,0.2,-1.7758259265497327,0.1325927734375,0.0003
989.0,1165,1679360,1441,82,3.69952656,0.010682444,0.0030498739592985658,0.5955724716186523,0.4277461767196655,810,0.0013448917400091887,0.008459546603262424,0.2,-1.7733222093060612,0.1272509765625,0.0003
989.0,1179,1699840,1441,83,3.7028684099999998,0.011637782,0.0031069998918610508,0.5949364900588989,0.4182446002960205,820,0.0017086814413778484,0.035302214324474335,0.2,-1.7636364853382112,0.134228515625,0.0003
989.0,1193,1720320,1441,84,3.7237379699999997,0.010532198,0.0029579853537143206,0.5909201502799988,0.4101715087890625,830,0.001066583330684807,-0.011416428722441196,0.2,-1.7554475780948997,0.128564453125,0.0003
989.0,1207,1740800,1441,85,3.7946194600000003,0.01291315,0.0029514884038508173,0.5898339748382568,0.4207414388656616,840,0.0006698594952467829,0.001939966343343258,0.2,-1.7458851170167327,0.13884765625,0.0003
989.0,1222,1761280,1441,86,3.8256340399999997,0.011428183,0.003303288831084501,0.5950522422790527,0.4425762891769409,850,0.0018606908989022486,-0.00159000838175416,0.2,-1.7575501812621952,0.1333740234375,0.0003
989.0,1236,1781760,1440,87,3.8483040500000003,0.012850108,0.0029395892188404105,0.588355541229248,0.42275470495224,860,0.0013029065598675516,0.00755751458927989,0.2,-1.7468845648691058,0.1394287109375,0.0003
