time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/std
1932,1,-0.16439339999999997,989.0,20480,10,,,,,,,,,,,
1652,2,-0.143896375,989.0,40960,24,-0.008436143398284912,0.2,-25.645492553710938,10,-2.8391307525336744,0.0003,0.0041518128,-0.002528828568320023,0.0404443359375,0.01025963266605686,0.9992866516113281
1588,3,-0.07804746666666666,989.0,61440,38,-0.02049962803721428,0.2,-0.543979287147522,20,-2.8119599157571793,0.0003,0.004870943,-0.0015348032989277271,0.0430126953125,0.002544149491805001,0.9864040613174438
1565,4,-0.07646988749999999,989.0,81920,52,-0.024262748658657074,0.2,0.07077229022979736,30,-2.7851031604409218,0.0003,0.0051379222,-0.0020282411425432655,0.0483154296875,0.0016472378624348494,0.9732373952865601
1547,5,-0.06681888999999999,989.0,102400,66,-0.005788673181086779,0.2,0.1768231987953186,40,-2.7735715483874084,0.0003,0.004928232,-0.0019627745570323894,0.0455419921875,0.0014532296923789544,0.9671765565872192
1531,6,-0.013127710000000006,989.0,122880,80,0.00021094048861414194,0.2,0.09861993789672852,50,-2.773787138685584,0.0003,0.004963711,-0.0022097387461690234,0.0471435546875,0.0012309052672571852,0.9696669578552246
1521,7,0.057736579999999996,989.0,143360,94,-0.015193333849310875,0.2,0.14546585083007812,60,-2.770725758597255,0.0003,0.0055142497,-0.0026360821873822717,0.05484375,0.0011563995106553193,0.9672728776931763
1517,8,0.08082558000000001,989.0,163840,107,0.0005284093203954399,0.2,0.1610327959060669,70,-2.7731625113636253,0.0003,0.006362967,-0.0003263832110678777,0.06376953125,0.0010656317973371187,0.9670044183731079
1513,9,0.16581937,989.0,184320,121,-0.010649596340954304,0.2,0.11928606033325195,80,-2.751411240696907,0.0003,0.0055483775,-0.002168538416735828,0.05646484375,0.0009599120112034143,0.957909345626831
1510,10,0.21574985,989.0,204800,135,-0.011639962904155254,0.2,0.08811599016189575,90,-2.731492846235633,0.0003,0.0058563845,-0.002445009077491704,0.0544775390625,0.0010292422521797561,0.9449653029441833
1508,11,0.23011971000000006,989.0,225280,149,0.0038443664088845253,0.2,0.10059905052185059,100,-2.7210028909891846,0.0003,0.0066045253,1.7756374727468938e-05,0.06830078125,0.0009914084701631509,0.9429900646209717
1506,12,0.24354483,989.0,245760,163,-0.007395918481051922,0.2,0.0021386146545410156,110,-2.7182501726597548,0.0003,0.004953706,-0.00252111791720381,0.056025390625,0.0009056009099822404,0.9414305686950684
1503,13,0.26893994,989.0,266240,177,-0.04052601754665375,0.2,0.03096187114715576,120,-2.6964526329934597,0.0003,0.008720769,-0.0003500047053967137,0.081728515625,0.0008534715384030279,0.9291595220565796
1503,14,0.28757575,989.0,286720,190,-0.004975908901542425,0.2,0.006416499614715576,130,-2.6823138061165808,0.0003,0.006353295,-0.001239863930386491,0.0590234375,0.0008885281412676704,0.9237738847732544
1501,15,0.37049824000000003,989.0,307200,204,0.0009867583867162466,0.2,0.04344218969345093,140,-2.6691252766549587,0.0003,0.005690704,-0.002421759643330006,0.0696337890625,0.0009071849233168905,0.9186112880706787
