id,timeOpen,timeClose,positionType,tradeResult,priceOpen,priceClose,positionSL,positionTP,profit,symbol,comment
171969,2020-01-27,2020-02-06,SELL,WIN,1.10195,1.09988,1.1127,0.0,61.8,EURUSD,(SHORT) Position closed by execution
171970,2020-02-07,2020-02-11,SELL,WIN,1.09439,1.09106,1.0981,0.0,99.23,EURUSD,(SHORT) Position closed by execution
171971,2020-02-14,2020-02-20,BUY,LOSS,1.08302,1.08069,1.0754,0.0,-69.47,EURUSD,(LONG) Position closed by execution
171972,2020-02-21,2020-03-06,BUY,WIN,1.08478,1.12369,1.0811,0.0,1197.82,EURUSD,(LONG) Position closed by execution
171973,2020-03-09,2020-03-12,SELL,WIN,1.14353,1.12704,1.1545,0.0,569.58,EURUSD,(SHORT) Position closed by execution
171974,2020-03-16,2020-03-19,SELL,WIN,1.11814,1.09166,1.1246,0.0,930.63,EURUSD,(SHORT) Position closed by execution
171975,2020-03-20,2020-03-25,SELL,LOSS,1.06973,1.07872,1.0808,0.0,-336.72,EURUSD,(SHORT) Position closed by execution
171976,2020-03-27,2020-04-06,SELL,WIN,1.11391,1.08075,1.121,0.0,1211.54,EURUSD,(SHORT) Position closed by execution
171977,2020-04-09,2020-04-14,BUY,LOSS,1.09297,1.09091,1.0822,0.0,-83.37,EURUSD,(LONG) Position closed by execution
171978,2020-04-15,2020-04-20,BUY,LOSS,1.09112,1.08712,1.0801,0.0,-160.34,EURUSD,(LONG) Position closed by execution
171979,2020-04-21,2020-04-23,SELL,WIN,1.0857,1.08231,1.0932,0.0,133.67,EURUSD,(SHORT) Position closed by execution
171980,2020-04-24,2020-04-30,SELL,LOSS,1.08261,1.08732,1.0863,0.0,-188.46,EURUSD,(SHORT) Stop loss hit - failed trade
171981,2020-05-01,2020-05-07,SELL,WIN,1.09806,1.07959,1.1046,0.0,723.52,EURUSD,(SHORT) Position closed by execution
171982,2020-05-08,2020-05-12,SELL,WIN,1.08384,1.08066,1.0875,0.0,131.43,EURUSD,(SHORT) Position closed by execution
171983,2020-05-14,2020-06-01,BUY,WIN,1.08044,1.11007,1.0704,0.0,1269.8,EURUSD,(LONG) Position closed by execution
171984,2020-06-03,2020-06-05,SELL,LOSS,1.12337,1.13355,1.1296,0.0,-485.29,EURUSD,(SHORT) Stop loss hit - failed trade
171985,2020-06-08,2020-06-18,BUY,LOSS,1.1294,1.12431,1.1257,0.0,-233.13,EURUSD,(LONG) Stop loss hit - failed trade
171986,2020-06-19,2020-07-03,BUY,WIN,1.11777,1.12394,1.1141,0.0,278.09,EURUSD,(LONG) Position closed by execution
171987,2020-07-07,2020-07-09,BUY,WIN,1.12744,1.13298,1.1175,0.0,256.44,EURUSD,(LONG) Position closed by execution
171988,2020-07-10,2020-07-14,SELL,LOSS,1.1299,1.13428,1.1336,0.0,-206.46,EURUSD,(SHORT) Stop loss hit - failed trade
171989,2020-07-15,2020-07-17,BUY,LOSS,1.14115,1.13822,1.1363,0.0,-136.72,EURUSD,(LONG) Position closed by execution
171990,2020-07-20,2020-07-22,BUY,WIN,1.14478,1.15286,1.1411,0.0,378.39,EURUSD,(LONG) Position closed by execution
171991,2020-07-23,2020-07-28,BUY,WIN,1.15971,1.17513,1.156,0.0,754.7,EURUSD,(LONG) Position closed by execution
171992,2020-07-29,2020-08-10,BUY,LOSS,1.17903,1.17868,1.1733,0.0,-18.04,EURUSD,(LONG) Position closed by execution
171993,2020-08-12,2020-08-18,BUY,WIN,1.17854,1.18701,1.1749,0.0,438.84,EURUSD,(LONG) Position closed by execution
171994,2020-08-21,2020-08-26,SELL,LOSS,1.17956,1.18339,1.1832,0.0,-203.25,EURUSD,(SHORT) Stop loss hit - failed trade
171995,2020-08-27,2020-08-31,SELL,LOSS,1.18217,1.19063,1.1859,0.0,-446.12,EURUSD,(SHORT) Stop loss hit - failed trade
171996,2020-09-01,2020-09-08,SELL,WIN,1.19118,1.18127,1.1949,0.0,504.28,EURUSD,(SHORT) Position closed by execution
171997,2020-09-09,2020-09-11,BUY,WIN,1.1803,1.18147,1.1737,0.0,61.43,EURUSD,(LONG) Position closed by execution
171998,2020-09-14,2020-09-16,SELL,WIN,1.18638,1.18466,1.1966,0.0,90.9,EURUSD,(SHORT) Position closed by execution
171999,2020-09-18,2020-09-22,SELL,WIN,1.18426,1.17714,1.1879,0.0,375.98,EURUSD,(SHORT) Position closed by execution
172000,2020-09-23,2020-10-02,BUY,WIN,1.16603,1.17456,1.1602,0.0,459.67,EURUSD,(LONG) Position closed by execution
172001,2020-10-05,2020-10-07,SELL,WIN,1.17845,1.17335,1.1821,0.0,282.02,EURUSD,(SHORT) Position closed by execution
172002,2020-10-08,2020-10-12,BUY,WIN,1.17601,1.18302,1.1705,0.0,397.18,EURUSD,(LONG) Position closed by execution
172003,2020-10-14,2020-10-16,SELL,WIN,1.17469,1.17074,1.1846,0.0,226.46,EURUSD,(SHORT) Position closed by execution
172004,2020-10-20,2020-10-27,SELL,WIN,1.18224,1.18092,1.1933,0.0,77.29,EURUSD,(SHORT) Position closed by execution
172005,2020-10-28,2020-11-02,BUY,LOSS,1.17462,1.16454,1.1672,0.0,-584.56,EURUSD,(LONG) Stop loss hit - failed trade
172006,2020-11-03,2020-11-05,SELL,LOSS,1.17202,1.17231,1.1757,0.0,-16.4,EURUSD,(SHORT) Position closed by execution
172007,2020-11-09,2020-11-11,BUY,WIN,1.18135,1.18172,1.1777,0.0,21.05,EURUSD,(LONG) Position closed by execution
172008,2020-11-12,2020-11-17,BUY,WIN,1.18056,1.18539,1.1769,0.0,276.09,EURUSD,(LONG) Position closed by execution
172009,2020-11-18,2020-11-24,SELL,WIN,1.18544,1.1841,1.1933,0.0,77.69,EURUSD,(SHORT) Position closed by execution
172010,2020-11-25,2020-11-27,BUY,LOSS,1.19139,1.1913,1.1877,0.0,-5.28,EURUSD,(LONG) Position closed by execution
172011,2020-11-30,2020-12-02,BUY,WIN,1.19257,1.2072,1.1889,0.0,868.39,EURUSD,(LONG) Position closed by execution
172012,2020-12-03,2020-12-09,SELL,WIN,1.21479,1.21046,1.2185,0.0,270.06,EURUSD,(SHORT) Position closed by execution
172013,2020-12-11,2020-12-18,BUY,WIN,1.21138,1.22669,1.2077,0.0,981.47,EURUSD,(LONG) Position closed by execution
172014,2020-12-22,2020-12-31,BUY,WIN,1.21629,1.22998,1.2126,0.0,924.83,EURUSD,(LONG) Position closed by execution
172015,2021-01-04,2021-01-06,SELL,LOSS,1.22521,1.22986,1.2289,0.0,-328.47,EURUSD,(SHORT) Stop loss hit - failed trade
172016,2021-01-07,2021-01-11,BUY,LOSS,1.22693,1.22193,1.2232,0.0,-345.47,EURUSD,(LONG) Stop loss hit - failed trade
172017,2021-01-12,2021-01-14,SELL,WIN,1.22077,1.21578,1.2245,0.0,337.33,EURUSD,(SHORT) Position closed by execution
172018,2021-01-15,2021-01-25,BUY,WIN,1.20757,1.21713,1.1965,0.0,657.66,EURUSD,(LONG) Position closed by execution
172019,2021-01-26,2021-02-03,SELL,WIN,1.21598,1.20431,1.223,0.0,819.45,EURUSD,(SHORT) Position closed by execution
172020,2021-02-04,2021-02-09,BUY,WIN,1.19611,1.20499,1.1896,0.0,647.69,EURUSD,(LONG) Position closed by execution
172021,2021-02-10,2021-02-15,SELL,WIN,1.21183,1.21182,1.2198,0.0,0.74,EURUSD,(SHORT) Position closed by execution
