time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/std,train/explained_variance,train/clip_range,train/entropy_loss
2048,-0.603968,1,1071.0,971,2,,,,,,,,,,,
4096,-0.03911133333333331,2,1071.0,875,4,0.028023534960811957,0.0040727747,0.033544921875,0.0003,-0.012437942437827587,10,-0.004900266250479035,0.9894497394561768,-20.127113342285156,0.2,-2.825323539972305
6144,0.012786200000000025,3,1071.0,877,7,0.009445287536800606,0.010662931,0.0853515625,0.0003,-0.017785269767045975,20,-0.009733691022847778,0.9775197505950928,-0.7722923755645752,0.2,-2.8041802160441875
8192,-0.009289285714285698,4,1071.0,877,9,0.0061165150895249095,0.008178197,0.061865234375,0.0003,-0.021737059578299522,30,-0.008260904159396888,0.9725178480148315,-0.3972891569137573,0.2,-2.784630524367094
10240,0.04302111111111112,5,1071.0,880,11,0.0039232502764207314,0.0069759926,0.063037109375,0.0003,-0.019917044788599014,40,-0.0075287672021659095,0.9762665033340454,-0.3365870714187622,0.2,-2.7845611944794655
12288,0.052132909090909105,6,1071.0,882,13,0.0033577577600226506,0.006797605,0.055322265625,0.0003,-0.007443157956004143,50,-0.0078002847149036825,0.9767064452171326,-0.32138073444366455,0.2,-2.7905391059815883
14336,0.07568346153846155,7,1071.0,883,16,0.0026308473279641476,0.006489071,0.044482421875,0.0003,-0.0032627684995532036,60,-0.00674010060611181,0.9761936068534851,-0.2695963382720947,0.2,-2.7887550182640553
16384,0.09193353333333334,8,1071.0,883,18,0.0020008152325317495,0.005706327,0.046875,0.0003,-0.011066842824220657,70,-0.00676742303185165,0.9792013168334961,-0.37700462341308594,0.2,-2.792706473916769
18432,0.10750764705882354,9,1071.0,883,20,0.0018157404654630227,0.005286988,0.044921875,0.0003,0.010020263493061066,80,-0.006181992165511474,0.9689649343490601,-0.21114790439605713,0.2,-2.7837765447795393
20480,0.1338965263157895,10,1071.0,883,23,0.0016055775791755877,0.00747237,0.0595703125,0.0003,-0.030304452404379845,90,-0.008189037749252748,0.9708181619644165,-0.36137378215789795,0.2,-2.7790753468871117
22528,0.11875100000000001,11,1071.0,882,25,0.0016408120163760032,0.006001825,0.04921875,0.0003,-0.014887823723256588,100,-0.0074328926057205535,0.9744476079940796,-0.13908326625823975,0.2,-2.7860102482140063
24576,0.15764250000000002,12,1071.0,882,27,0.001392793078412069,0.006204452,0.04775390625,0.0003,-0.00930485688149929,110,-0.008507192027173005,0.9582412242889404,-0.16378521919250488,0.2,-2.768247278779745
26624,0.15778358333333334,13,1071.0,881,30,0.0014084924676353694,0.007540252,0.06552734375,0.0003,0.015079470351338387,120,-0.007841386419022456,0.954037070274353,-0.22464370727539062,0.2,-2.7447680965065957
28672,0.15204600000000001,14,1071.0,881,32,0.0014685017320516635,0.0076685827,0.06953125,0.0003,-0.0006378502584993839,130,-0.007880420272704214,0.9479019045829773,-0.16303694248199463,0.2,-2.73847978413105
30720,0.17424907142857143,15,1071.0,881,34,0.0012896685513624107,0.006066876,0.056201171875,0.0003,-0.03014558181166649,140,-0.00708482905611163,0.9565296769142151,-0.21924805641174316,0.2,-2.7410534635186194
32768,0.1600121,16,1071.0,881,37,0.001329860093028401,0.012968402,0.14208984375,0.0003,-0.008408905006945133,150,0.0005778740887762979,0.9551379680633545,-0.08629786968231201,0.2,-2.7479510881006717
34816,0.14193715625,17,1071.0,881,39,0.0010384339284428279,0.0065096896,0.051123046875,0.0003,-0.012862774543464184,160,-0.007132613127760123,0.9635766744613647,-0.14792978763580322,0.2,-2.7571689866483213
36864,0.1545890882352941,18,1071.0,881,41,0.0011654085268673954,0.011758573,0.122314453125,0.0003,-0.011108518578112125,170,-0.008384685972123407,0.9522292017936707,-0.08639335632324219,0.2,-2.7482422016561032
38912,0.15735116666666665,19,1071.0,882,44,0.0011634265256361687,0.006740991,0.067822265625,0.0003,-0.0005067483871243894,180,-0.0038497144996654242,0.949971079826355,-0.0771104097366333,0.2,-2.7380451798439025
40960,0.16355010526315789,20,1071.0,882,46,0.0013807069473841694,0.0050728964,0.0431640625,0.0003,-0.008951369673013687,190,-0.004009766515810043,0.9540510177612305,-0.006586432456970215,0.2,-2.7399074457585813
43008,0.157249025,21,1071.0,882,48,0.001196734665791155,0.0047325348,0.048095703125,0.0003,-0.008926200680434704,200,-0.006257724734314252,0.9459191560745239,-0.07770717144012451,0.2,-2.7356701612472536
45056,0.14323457142857143,22,1071.0,882,51,0.0009852957036855514,0.0071311234,0.050927734375,0.0003,-0.02006896771490574,210,-0.0054850535816513,0.9290765523910522,-0.08690881729125977,0.2,-2.7069384820759295
47104,0.13245388372093023,23,1071.0,882,53,0.001203600214284961,0.0057672984,0.041015625,0.0003,-0.0001838146708905697,220,-0.0060661554627586154,0.9229625463485718,-0.061460137367248535,0.2,-2.6842281475663183
49152,0.13934897777777777,24,1071.0,883,55,0.0013362034098463483,0.0056238743,0.044384765625,0.0003,-0.012174860574305058,230,-0.005331011571979616,0.9096837043762207,-0.014953136444091797,0.2,-2.6621773689985275
51200,0.1460991489361702,25,1071.0,883,57,0.0012496094466769136,0.0055906633,0.043310546875,0.0003,-0.00030860566766932607,240,-0.005659298261161893,0.9158504009246826,-0.09027314186096191,0.2,-2.6578924216330053
53248,0.13693934693877552,26,1071.0,882,60,0.0012589986698003485,0.0054099,0.054931640625,0.0003,-0.020165132358670235,250,-0.005501280887983739,0.9206579327583313,-0.04784035682678223,0.2,-2.6695223823189735
55296,0.12721643137254904,27,1071.0,882,62,0.0010944532654320938,0.007168251,0.06943359375,0.0003,-0.017260750755667686,260,-0.009046810783911497,0.9106751680374146,-0.0319291353225708,0.2,-2.6612057432532312
57344,0.1352901886792453,28,1071.0,883,64,0.0009849510657659265,0.007075483,0.058642578125,0.0003,-0.009818985126912594,270,-0.006906922126654535,0.9041128158569336,-0.09431350231170654,0.2,-2.6433009803295135
59392,0.12957047272727273,29,1071.0,883,67,0.0012772706480973285,0.0072440766,0.051806640625,0.0003,-0.02391180954873562,280,-0.007986528308538254,0.9037090539932251,-0.022583484649658203,0.2,-2.6343793705105782
61440,0.11934949122807016,30,1071.0,883,69,0.0009928459403454326,0.0070311767,0.0642578125,0.0003,0.0028532908763736486,290,-0.00827512535324786,0.8926045894622803,-0.02336573600769043,0.2,-2.622108070552349
63488,0.11892801694915253,31,1071.0,884,71,0.0009953185788617702,0.0059171505,0.04541015625,0.0003,-0.01624208502471447,300,-0.006653770909179002,0.8806568384170532,-0.07254242897033691,0.2,-2.596298259496689
65536,0.11383616393442621,32,1071.0,884,74,0.0011591514698011452,0.0061685443,0.049951171875,0.0003,-0.012186827138066292,310,-0.004977952697663568,0.8751901388168335,-0.07107686996459961,0.2,-2.577469624578953
67584,0.11363450793650794,33,1071.0,884,76,0.00130670603030012,0.0076408363,0.07685546875,0.0003,-0.025295328348875046,320,-0.009168846267857588,0.8631693124771118,-0.012141585350036621,0.2,-2.554507005214691
69632,0.12275136923076921,34,1071.0,884,78,0.00116199479180068,0.007352296,0.065087890625,0.0003,-0.02405713126063347,330,-0.00817114679084625,0.8622562885284424,-0.0002224445343017578,0.2,-2.54143215790391
71680,0.11255269696969696,35,1071.0,884,81,0.0011886427600984462,0.006766949,0.056640625,0.0003,0.006606467999517918,340,-0.006715836536022835,0.8533134460449219,-0.03211832046508789,0.2,-2.528229184448719
73728,0.11749264705882351,36,1071.0,884,83,0.001197701857017819,0.010859554,0.094189453125,0.0003,-0.019366178661584854,350,-0.008063990864320658,0.842100977897644,0.011077344417572021,0.2,-2.5055654235184193
75776,0.12091018571428569,37,1071.0,884,85,0.0009299457302404335,0.007752446,0.065234375,0.0003,0.014906727708876133,360,-0.008372587797930464,0.8430578708648682,-0.058830857276916504,0.2,-2.4950700640678405
77824,0.11820341666666666,38,1071.0,885,87,0.0008778487004747149,0.005651976,0.077392578125,0.0003,-0.009223559871315956,370,-0.006335812335601076,0.837164044380188,0.006868600845336914,0.2,-2.489545509964228
79872,0.12273427027027027,39,1071.0,885,90,0.0009849101785221136,0.0076110046,0.067333984375,0.0003,-0.007924139499664307,380,-0.005765160283772275,0.8381593227386475,0.01574641466140747,0.2,-2.481757504492998
81920,0.1260399342105263,40,1071.0,885,92,0.0010535274333960843,0.008392687,0.0818359375,0.0003,-0.025738954544067383,390,-0.007593885660753585,0.8292255997657776,0.0027869343757629395,0.2,-2.470335678756237
83968,0.12688428205128205,41,1071.0,885,94,0.0009006045080241165,0.009041116,0.086376953125,0.0003,0.002093857154250145,400,-0.007093229150632397,0.835121750831604,-0.003545522689819336,0.2,-2.4698315232992174
86016,0.12981821249999997,42,1071.0,885,97,0.0011255333514782252,0.010165665,0.077587890625,0.0003,-0.01607161946594715,410,-0.008340676758962218,0.8300647735595703,0.03397899866104126,0.2,-2.4703869208693505
88064,0.13618110975609754,43,1071.0,885,99,0.0009422194189028232,0.007863929,0.071728515625,0.0003,0.0009479261934757233,420,-0.007088628201745451,0.8227367401123047,-0.012070655822753906,0.2,-2.4533705078065395
90112,0.14862513095238095,44,1071.0,885,101,0.0010745369063442922,0.006143244,0.078662109375,0.0003,-0.021618911996483803,430,-0.007590808189706877,0.8301209211349487,-0.013416409492492676,0.2,-2.4568211920559406
92160,0.1494725930232558,45,1071.0,885,104,0.0010762045641968144,0.011837058,0.084765625,0.0003,-0.014112631790339947,440,-0.009781841324002016,0.8252439498901367,-0.005456328392028809,0.2,-2.457473124563694
94208,0.1472133333333333,46,1071.0,884,106,0.0010256409263092793,0.009797826,0.092529296875,0.0003,0.01467767171561718,450,-0.010113320374512114,0.817913830280304,0.03339451551437378,0.2,-2.4421878196299076
96256,0.1491709775280899,47,1071.0,884,108,0.000884208110437612,0.012469703,0.094482421875,0.0003,-0.009272176772356033,460,-0.007448861488956027,0.8121787309646606,0.026245594024658203,0.2,-2.4279830805957316
98304,0.1515861758241758,48,1071.0,884,111,0.000871916138294182,0.007889502,0.079345703125,0.0003,-0.010370691306889057,470,-0.007358443591510877,0.8115180730819702,0.06520408391952515,0.2,-2.420810744166374
100352,0.15155774193548385,49,1071.0,884,113,0.0012862805961049162,0.008082086,0.080908203125,0.0003,-0.002966988831758499,480,-0.007111112377606333,0.8140714168548584,0.07747030258178711,0.2,-2.4237117007374764
102400,0.1588681052631579,50,1071.0,883,115,0.0010741596368461614,0.0072870934,0.064111328125,0.0003,0.014486678875982761,490,-0.008045568515080958,0.8063229322433472,0.023176848888397217,0.2,-2.416422489285469
104448,0.1648203711340206,51,1071.0,883,118,0.0010725037560405325,0.009358608,0.078857421875,0.0003,-0.010640778578817844,500,-0.007458591746399179,0.7911664247512817,0.004705905914306641,0.2,-2.386885891854763
106496,0.17528774747474749,52,1071.0,883,120,0.0012686786831181962,0.007289231,0.079443359375,0.0003,-0.0185856893658638,510,-0.006319201181759127,0.7877267003059387,0.035225749015808105,0.2,-2.362829165160656
108544,0.18935291000000004,53,1071.0,883,122,0.0013305773287356714,0.005787231,0.07021484375,0.0003,-0.01734439842402935,520,-0.007484913797816262,0.7870401740074158,0.08553063869476318,0.2,-2.3616482235491274
110592,0.20039971999999998,54,1071.0,883,125,0.0014103118985076435,0.007590227,0.079345703125,0.0003,-0.01584610529243946,530,-0.009464747978199739,0.7802590727806091,0.12621170282363892,0.2,-2.3507516503334047
112640,0.21124822,55,1071.0,883,127,0.0011780893517425283,0.007825045,0.071484375,0.0003,-0.0032685743644833565,540,-0.004713615428772755,0.7753502726554871,0.15287786722183228,0.2,-2.3354645051062106
114688,0.22152304999999994,56,1071.0,883,129,0.0012631546316697495,0.0048000193,0.07021484375,0.0003,-0.01981152780354023,550,-0.006181551044574007,0.769683837890625,0.08351153135299683,0.2,-2.319709412753582
116736,0.22593960999999993,57,1071.0,883,132,0.0011377604090739625,0.006382955,0.08017578125,0.0003,-0.016905441880226135,560,-0.0067908496275777,0.7625197172164917,0.14512556791305542,0.2,-2.303912550956011
118784,0.23886255999999995,58,1071.0,884,134,0.0010951771335385274,0.010049624,0.100341796875,0.0003,-0.016985153779387474,570,-0.00878750313713681,0.7577776312828064,0.0482601523399353,0.2,-2.288459538668394
120832,0.2573203,59,1071.0,884,136,0.001169201529592101,0.010322396,0.097119140625,0.0003,0.01673341542482376,580,-0.011419115148601122,0.7548278570175171,0.08899945020675659,0.2,-2.2777967274188997
122880,0.25097569000000003,60,1071.0,884,138,0.0011400273833714891,0.0075435047,0.092724609375,0.0003,-0.011749869212508202,590,-0.00857043724390678,0.7573725581169128,0.004236400127410889,0.2,-2.2782721310853957
