Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,1080,2024-03-08,12150.570000000005,1.0,1,0.0,0.2509804877633179,True,97,110,207,"{'r': 0.25098, 'l': 1070, 't': 1.356845}",False
1080,2150,2024-03-08,11130.129999999988,-0.86157084,0,0.012483512085073065,0.16253910063110244,True,92,104,196,"{'r': 0.162539, 'l': 1070, 't': 2.596718}",False
1080,3220,2024-03-08,8091.890000000011,0.4090892,2,0.0,-0.15156414570865445,True,84,105,189,"{'r': -0.151564, 'l': 1070, 't': 3.423148}",False
1080,4290,2024-03-08,15161.600000000002,-0.51925707,2,0.0,0.4807384987503924,True,95,101,196,"{'r': 0.480738, 'l': 1070, 't': 4.524916}",False
1080,5360,2024-03-08,9952.979999999992,-1.0,0,-0.015275966669898606,0.05098779690804104,True,90,110,200,"{'r': 0.050988, 'l': 1070, 't': 5.336022}",False
1080,6430,2024-03-08,10101.819999999996,-1.0,2,0.0,0.06737145378432931,True,83,109,192,"{'r': 0.067371, 'l': 1070, 't': 6.428277}",False
1080,7500,2024-03-08,7779.949999999996,-0.17623849,0,0.0,-0.17194723145054466,True,84,114,198,"{'r': -0.171947, 'l': 1070, 't': 7.234126}",False
1080,8570,2024-03-08,6485.770000000003,1.0,1,0.0,-0.37569784073261586,True,82,115,197,"{'r': -0.375698, 'l': 1070, 't': 8.327156}",False
1080,9640,2024-03-08,8119.120000000006,-1.0,2,0.0,-0.14856088176905782,True,93,106,199,"{'r': -0.148561, 'l': 1070, 't': 9.138839}",False
1080,10710,2024-03-08,19359.71000000001,-1.0,0,0.01651387226177715,0.721906407859261,True,104,86,190,"{'r': 0.721906, 'l': 1070, 't': 10.61836}",False
1080,11780,2024-03-08,13895.060000000005,0.145251,0,0.0,0.39867883574920493,True,99,93,192,"{'r': 0.398679, 'l': 1070, 't': 11.42215}",False
1080,12850,2024-03-08,8459.33,-1.0,0,-0.016515935215122148,-0.11310416826577172,True,88,100,188,"{'r': -0.113104, 'l': 1070, 't': 12.920847}",False
1080,13920,2024-03-08,14568.699999999992,-1.0,2,0.0,0.44151474171704336,True,96,92,188,"{'r': 0.441515, 'l': 1070, 't': 13.733224}",False
1080,14990,2024-03-08,5977.1800000000085,1.0,0,-0.012486865496071184,-0.46145765230622854,True,85,120,205,"{'r': -0.461458, 'l': 1070, 't': 14.836705}",False
1080,16060,2024-03-08,8768.800000000008,1.0,1,0.0,-0.07330636820131053,True,83,108,191,"{'r': -0.073306, 'l': 1070, 't': 15.649349}",False
1080,17130,2024-03-08,5498.72,0.10952886,2,0.0,-0.5408552284961835,True,75,125,200,"{'r': -0.540855, 'l': 1070, 't': 16.748004}",False
1080,18200,2024-03-08,9747.669999999993,0.3293909,0,0.0,0.02412149143315901,True,87,107,194,"{'r': 0.024121, 'l': 1070, 't': 17.553759}",False
1080,19270,2024-03-08,10428.739999999998,0.22154117,2,0.0,0.11359150273915825,True,87,102,189,"{'r': 0.113592, 'l': 1070, 't': 18.642442}",False
1080,20340,2024-03-08,13527.389999999998,-0.96746814,2,0.0,0.3643896347229061,True,96,101,197,"{'r': 0.36439, 'l': 1070, 't': 19.451564}",False
1080,21410,2024-03-08,8156.5499999999965,0.07493332,0,0.0,-0.15229704441458314,True,88,104,192,"{'r': -0.152297, 'l': 1070, 't': 20.936434}",False
1080,22480,2024-03-08,11593.220000000001,-0.26698196,2,0.0,0.21995607883172233,True,86,102,188,"{'r': 0.219956, 'l': 1070, 't': 21.73805}",False
1080,23550,2024-03-08,12648.459999999997,-0.5962865,0,-0.012485575849560998,0.29611203588262575,True,93,100,193,"{'r': 0.296112, 'l': 1070, 't': 23.265278}",False
1080,24620,2024-03-08,17882.129999999994,0.09054631,0,-0.012062124387999078,0.6472933260600485,True,101,90,191,"{'r': 0.647293, 'l': 1070, 't': 24.735621}",False
1080,25690,2024-03-08,8278.090000000002,-0.44867307,1,0.0,-0.135505143033101,True,87,105,192,"{'r': -0.135505, 'l': 1070, 't': 25.537686}",False
1080,26760,2024-03-08,12032.78,0.4602466,1,0.0,0.2522166406302461,True,89,97,186,"{'r': 0.252217, 'l': 1070, 't': 26.62265}",False
1080,27830,2024-03-08,18883.229999999996,1.0,1,0.0,0.724378582246855,True,85,99,184,"{'r': 0.724379, 'l': 1070, 't': 27.426218}",False
1080,28900,2024-03-08,11962.660000000003,-0.09597315,2,0.0,0.24075430611671922,True,86,103,189,"{'r': 0.240754, 'l': 1070, 't': 28.516049}",False
1080,29970,2024-03-08,19255.99,0.034180045,1,0.0,0.7244509523937565,True,89,93,182,"{'r': 0.724451, 'l': 1070, 't': 29.317845}",False
1080,31040,2024-03-08,13251.880000000003,0.1657937,0,0.0,0.3463993152880389,True,82,107,189,"{'r': 0.346399, 'l': 1070, 't': 30.414639}",False
