time,open,high,low,close,tick_volume,actDir,actRisk,eReward,eAccBalance,eWins,eLosses,pType,pOpenPrice,pSLPrice,pTPPrice,pProfit
2020-01-10,1.11053,1.11203,1.10923,1.11051,32024,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-13,1.11051,1.11291,1.1085,1.11212,30181,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-14,1.11162,1.11469,1.11127,1.11338,25932,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-15,1.11338,1.11444,1.11042,1.11274,31762,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-16,1.11284,1.11633,1.11185,1.11495,29102,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-17,1.11492,1.11726,1.11278,1.11358,30453,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-20,1.11352,1.11425,1.10862,1.10893,28089,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-21,1.1092,1.11024,1.10766,1.10944,18552,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-22,1.10934,1.1118,1.10809,1.10819,29051,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-23,1.10816,1.10983,1.10701,1.1092,30270,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-24,1.1092,1.11087,1.10363,1.10542,37577,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-27,1.10542,1.10617,1.10196,1.10255,32850,-0.5785744,-0.5785744,0.0,10000.0,0,0,2,1.10255,1.1064,0.0,0.0
2020-01-28,1.10295,1.10375,1.10096,1.10184,33777,0.9905,0.9905,0.0,10000.0,0,0,2,1.10255,1.1064,0.0,0.0
2020-01-29,1.10185,1.10251,1.09977,1.1022,28331,0.26253426,0.26253426,0.0,10000.0,0,0,2,1.10255,1.1064,0.0,0.0
2020-01-30,1.10219,1.10277,1.09922,1.10099,28043,-0.25678906,-0.25678906,0.0,10000.0,0,0,2,1.10255,1.1064,0.0,0.0
2020-01-31,1.10098,1.10393,1.10068,1.10312,34415,0.7113507,0.7113507,0.0,10044.41,1,0,0,0.0,0.0,0.0,44.41
2020-02-03,1.10313,1.10951,1.10168,1.10943,37949,0.6814793,0.6814793,0.0,10044.41,1,0,1,1.10943,1.1056,0.0,0.0
2020-02-04,1.10907,1.10927,1.10349,1.10593,35264,1.0,1.0,0.0,10044.41,1,0,1,1.10943,1.1056,0.0,0.0
2020-02-05,1.1059,1.10642,1.10327,1.10434,32443,0.61772764,0.61772764,0.0,10044.41,1,0,1,1.10943,1.1056,0.0,0.0
2020-02-06,1.10436,1.10478,1.09935,1.09989,33576,-0.36678606,-0.36678606,0.0,9898.39,1,1,0,0.0,0.0,0.0,-146.02
2020-02-07,1.09989,1.10138,1.09643,1.09827,29014,-0.27868307,-0.27868307,0.0,9898.39,1,1,0,1.10184,1.098,0.0,0.0
2020-02-10,1.09827,1.09849,1.09418,1.0943,38494,-0.31120324,-0.31120324,0.0,9898.39,1,1,0,1.10184,1.098,0.0,0.0
2020-02-11,1.09424,1.09574,1.09076,1.09105,28211,0.41256297,0.41256297,0.0,9898.39,1,1,0,0.0,0.0,0.0,0.0
2020-02-12,1.09105,1.09247,1.08912,1.09145,30977,0.07759311,0.07759311,0.0,9898.39,1,1,0,1.09105,1.0872,0.0,0.0
2020-02-13,1.09146,1.09255,1.08651,1.08728,31063,-1.0,-1.0,0.0,9898.39,1,1,2,1.08728,1.0989,0.0,0.0
2020-02-14,1.08716,1.08887,1.08339,1.08408,34413,0.47756067,0.47756067,0.0,9898.39,1,1,2,1.08728,1.0989,0.0,0.0
2020-02-17,1.08408,1.08612,1.08272,1.08301,29198,-0.1825131,-0.1825131,0.0,9898.39,1,1,2,1.08728,1.0989,0.0,0.0
2020-02-18,1.08397,1.08509,1.08291,1.08346,21012,0.6311696,0.6311696,0.0,10016.76,2,1,0,0.0,0.0,0.0,118.37
2020-02-19,1.08345,1.08372,1.07852,1.07907,34567,0.5978644,0.5978644,0.0,10016.76,2,1,1,1.07907,1.0686,0.0,0.0
2020-02-20,1.07906,1.08117,1.07821,1.08039,33315,-0.35406858,-0.35406858,0.0,10016.76,2,1,1,1.07907,1.0686,0.0,0.0
2020-02-21,1.08033,1.08211,1.07775,1.07838,40984,1.0,1.0,0.0,10016.76,2,1,1,1.07907,1.0686,0.0,0.0
2020-02-24,1.07841,1.08634,1.07835,1.08474,40454,-0.09075633,-0.09075633,0.0,10016.76,2,1,1,1.07907,1.0686,0.0,0.0
2020-02-25,1.0825,1.0872,1.08049,1.0852,54843,1.0,1.0,0.0,10016.76,2,1,1,1.07907,1.0686,0.0,0.0
2020-02-26,1.08519,1.08901,1.083,1.08806,60638,0.4835087,0.4835087,0.0,10016.76,2,1,1,1.07907,1.0686,0.0,0.0
2020-02-27,1.08806,1.09087,1.08549,1.08807,60645,-0.20706457,-0.20706457,0.0,10016.76,2,1,1,1.07907,1.0686,0.0,0.0
2020-02-28,1.08812,1.10066,1.08771,1.09998,76238,0.17763767,0.17763767,0.0,10016.76,2,1,1,1.07907,1.0686,0.0,0.0
2020-03-02,1.09998,1.10531,1.09508,1.10293,97598,-0.12727559,-0.12727559,0.0,10016.76,2,1,1,1.07907,1.0686,0.0,0.0
2020-03-03,1.10407,1.11845,1.10362,1.11332,86124,-1.0,-1.0,0.0,10698.45,3,1,0,0.0,0.0,0.0,681.69
2020-03-04,1.11314,1.1213,1.10951,1.1171,80800,0.84548885,0.84548885,0.0,10698.45,3,1,1,1.1171,1.1129,0.0,0.0
2020-03-05,1.11707,1.11875,1.10953,1.11336,63822,0.6130053,0.6130053,0.0,10698.45,3,1,1,1.1171,1.1129,0.0,0.0
2020-03-06,1.1134,1.12447,1.11195,1.12371,60736,-0.22560021,-0.22560021,0.0,10698.45,3,1,1,1.1171,1.1129,0.0,0.0
2020-03-09,1.1237,1.13546,1.12113,1.12901,94001,-1.0,-1.0,0.0,10903.95,4,1,0,0.0,0.0,0.0,205.5
2020-03-10,1.13469,1.14964,1.13397,1.14358,187327,-1.0,-1.0,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-11,1.14358,1.14574,1.12743,1.12905,190339,-0.0035114065,-0.0035114065,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-12,1.12905,1.13662,1.125,1.12607,129097,-1.0,-1.0,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-13,1.12602,1.13332,1.10554,1.11667,172884,-1.0,-1.0,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-16,1.11686,1.12211,1.10549,1.11025,168062,0.19528125,0.19528125,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-17,1.11886,1.12364,1.10846,1.11777,205632,0.352093,0.352093,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-18,1.11777,1.1189,1.0955,1.10052,177869,-1.0,-1.0,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-19,1.10061,1.1045,1.08016,1.09116,201942,0.07275021,0.07275021,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-20,1.09117,1.09817,1.06541,1.06589,219504,-0.93172145,-0.93172145,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-23,1.06614,1.08309,1.06375,1.06935,244937,-1.0,-1.0,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
2020-03-24,1.06937,1.08274,1.06355,1.07257,220916,0.46438277,0.46438277,0.0,10903.95,4,1,2,1.14358,1.1531,0.0,0.0
