Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
8333,8333,7229.249999999993,-0.27525607,1,0.0,-0.15231761585421644,True,668,742,1410,"{'r': -0.152318, 'l': 8323, 't': 13.372717}",False
8333,16656,12120.229999999981,0.52102965,1,0.0,0.3452575882115285,True,715,711,1426,"{'r': 0.345258, 'l': 8323, 't': 26.797366}",False
8333,24979,5621.7099999999955,0.66664493,1,0.0,-0.4047323528739988,True,670,738,1408,"{'r': -0.404732, 'l': 8323, 't': 40.216115}",False
8333,33302,33445.61999999999,-0.774149,2,0.0,1.380395697844773,True,672,685,1357,"{'r': 1.380396, 'l': 8323, 't': 53.603995}",False
8333,41625,17472.08000000001,1.0,0,-0.004379751711499414,0.7323852966242285,True,677,691,1368,"{'r': 0.732385, 'l': 8323, 't': 67.024648}",False
8333,49948,11506.85999999997,1.0,1,0.0,0.3032232139906269,True,680,678,1358,"{'r': 0.303223, 'l': 8323, 't': 80.407395}",False
8333,58271,26664.580000000016,-0.46484855,1,0.0,1.137585163290788,True,685,624,1309,"{'r': 1.137585, 'l': 8323, 't': 93.727079}",False
8333,66594,16144.31999999999,-0.18360445,0,0.0,0.6573025861077078,True,655,657,1312,"{'r': 0.657303, 'l': 8323, 't': 107.285392}",False
8333,74917,16559.57,-0.61406577,2,0.0,0.6638341064432779,True,655,678,1333,"{'r': 0.663834, 'l': 8323, 't': 120.841719}",False
8333,83240,11123.33,0.08517441,2,0.0,0.2664322101636551,True,678,655,1333,"{'r': 0.266432, 'l': 8323, 't': 134.378057}",False
8333,91563,19407.289999999975,-0.86817676,2,0.0,0.8492008445972223,True,648,659,1307,"{'r': 0.849201, 'l': 8323, 't': 148.06948}",False
8333,99886,36264.54999999997,0.98458755,1,0.0,1.4693800447060954,True,668,644,1312,"{'r': 1.46938, 'l': 8323, 't': 161.845842}",False
