Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,1080,2024-03-08,14358.370000000003,-0.13062942,1,0.0,0.4488841131276916,True,81,95,176,"{'r': 0.448884, 'l': 1070, 't': 3.090627}",False
1080,2150,2024-03-08,10245.049999999997,0.84991795,1,0.0,0.08455936166159807,True,93,86,179,"{'r': 0.084559, 'l': 1070, 't': 5.320537}",False
1080,3220,2024-03-08,5307.179999999996,-1.0,2,0.0,-0.5604368251639388,True,75,101,176,"{'r': -0.560437, 'l': 1070, 't': 7.56567}",False
1080,4290,2024-03-08,7836.130000000005,-0.19718248,1,0.0,-0.17530945371421439,True,84,98,182,"{'r': -0.175309, 'l': 1070, 't': 9.855274}",False
1080,5360,2024-03-08,12640.360000000008,0.26604104,1,0.0,0.30765421704100077,True,89,92,181,"{'r': 0.307654, 'l': 1070, 't': 12.172475}",False
1080,6430,2024-03-08,5261.729999999999,1.0,1,0.0,-0.5735623670388591,True,62,113,175,"{'r': -0.573562, 'l': 1070, 't': 14.539655}",False
1080,7500,2024-03-08,12043.200000000008,1.0,0,-0.016515535578958344,0.2457617981512097,True,90,96,186,"{'r': 0.245762, 'l': 1070, 't': 17.033918}",False
1080,8570,2024-03-08,12125.289999999994,-0.021195501,2,0.0,0.26965020101132475,True,88,98,186,"{'r': 0.26965, 'l': 1070, 't': 19.496971}",False
1080,9640,2024-03-08,6376.170000000002,-0.68615454,2,0.0,-0.3797152671518799,True,82,103,185,"{'r': -0.379715, 'l': 1070, 't': 21.977978}",False
1080,10710,2024-03-08,10586.170000000006,0.34470773,2,0.0,0.12732284546744962,True,91,97,188,"{'r': 0.127323, 'l': 1070, 't': 24.467122}",False
1080,11780,2024-03-08,5650.849999999997,0.23106685,1,0.0,-0.5040676123041647,True,76,120,196,"{'r': -0.504068, 'l': 1070, 't': 26.963975}",False
1080,12850,2024-03-08,11826.739999999987,0.39018852,1,0.0,0.23710967167200625,True,86,104,190,"{'r': 0.23711, 'l': 1070, 't': 29.408777}",False
1080,13920,2024-03-08,7609.45000000001,-1.0,2,0.0,-0.22225829692507568,True,80,105,185,"{'r': -0.222258, 'l': 1070, 't': 31.888}",False
1080,14990,2024-03-08,9144.840000000002,0.680435,1,0.0,-0.035105109462659836,True,80,97,177,"{'r': -0.035105, 'l': 1070, 't': 34.333282}",False
1080,16060,2024-03-08,15714.139999999996,-0.61343974,2,0.0,0.5264269035245503,True,89,87,176,"{'r': 0.526427, 'l': 1070, 't': 36.825824}",False
1080,17130,2024-03-08,11136.759999999995,-0.12085422,1,0.0,0.17568649234722003,True,99,90,189,"{'r': 0.175686, 'l': 1070, 't': 39.325374}",False
1080,18200,2024-03-08,10443.690000000004,0.8543441,1,0.0,0.10877655978924494,True,84,93,177,"{'r': 0.108777, 'l': 1070, 't': 41.832276}",False
1080,19270,2024-03-08,6167.319999999997,-1.0,0,0.01248341892016128,-0.4101072572113961,True,85,107,192,"{'r': -0.410107, 'l': 1070, 't': 44.341589}",False
1080,20340,2024-03-08,10161.170000000002,-0.98992264,1,0.0,0.08961638592580932,True,103,88,191,"{'r': 0.089616, 'l': 1070, 't': 46.837314}",False
1080,21410,2024-03-08,5683.190000000003,1.0,1,0.0,-0.5032305013337803,True,88,100,188,"{'r': -0.503231, 'l': 1070, 't': 49.761085}",False
1080,22480,2024-03-08,7100.189999999988,0.48157594,1,0.0,-0.2835372474260936,True,86,97,183,"{'r': -0.283537, 'l': 1070, 't': 52.752704}",False
