time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/entropy_loss,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
1,2,771,2048,,,,,,,,,,,,,
2,5,724,4096,-0.004190532611391973,0.0003,0.0474609375,0.2,10,0.04056723486573901,0.0052346615,-52.758079528808594,-0.014457984827458858,-2.8342376239597797,0.9978068470954895,,
3,8,711,6144,-0.007298291072947905,0.0003,0.033154296875,0.2,20,0.008616776070994092,0.005523761,-12.012933731079102,0.0041639963164925575,-2.818588410317898,0.9824830293655396,4989.0,-0.433544
4,11,709,8192,-0.005884445083211176,0.0003,0.054150390625,0.2,30,0.0063920200234861115,0.0064828033,-3.579634666442871,-0.0025749108754098415,-2.8034274220466613,0.9842526912689209,4989.0,-0.433544
5,14,708,10240,-0.004596875389688648,0.0003,0.067724609375,0.2,40,0.004029403053209535,0.006624724,-6.672785758972168,-0.008054688572883606,-2.7917101711034773,0.9719223976135254,4989.0,0.244011
6,17,709,12288,-0.0077631579362787305,0.0003,0.054833984375,0.2,50,0.0035076952306553723,0.008052449,-3.298062324523926,-0.013009116984903812,-2.7708296440541744,0.962925374507904,4989.0,0.244011
7,20,709,14336,-0.00937284367682878,0.0003,0.097412109375,0.2,60,0.0027717388518794907,0.010674661,-2.0036849975585938,-0.007065015845000744,-2.7501743130385874,0.9529510140419006,4989.0,0.244011
8,23,711,16384,-0.005437427206197753,0.0003,0.0734375,0.2,70,0.002502716337039601,0.008261306,-2.383683443069458,-0.013153539970517159,-2.7483856223523615,0.9602994918823242,4989.0,0.5016636666666666
9,25,711,18432,-0.003256946202600375,0.0003,0.08544921875,0.2,80,0.002199834266139078,0.009044299,-1.0940191745758057,0.016426993533968925,-2.7516527004539966,0.9549845457077026,4989.0,0.5016636666666666
10,28,711,20480,-0.0065292727667838335,0.0003,0.087939453125,0.2,90,0.0016394228652643506,0.010006976,-1.1494834423065186,-0.015546459704637527,-2.730808226764202,0.9421669840812683,4989.0,0.275502
11,31,711,22528,-0.006492430929210968,0.0003,0.099951171875,0.2,100,0.0019177013391526998,0.0079871025,-0.9692106246948242,-0.005075227469205856,-2.704675253480673,0.9300604462623596,4989.0,0.275502
12,34,712,24576,-0.00573923356278101,0.0003,0.078955078125,0.2,110,0.001637089300493244,0.010371638,-0.7071865797042847,-0.00573581550270319,-2.6973526284098623,0.9349734783172607,4989.0,0.275502
13,37,713,26624,-0.0032064027414890005,0.0003,0.106640625,0.2,120,0.0015346031303124618,0.009731853,-0.7823971509933472,0.0027759098447859287,-2.699866785109043,0.9304834008216858,4989.0,0.026733600000000024
14,40,713,28672,6.0457823565229774e-05,0.0003,0.11650390625,0.2,130,0.0016666962404997322,0.011863032,-0.4050025939941406,0.0030564088374376297,-2.6762881934642793,0.9142630696296692,4989.0,0.026733600000000024
15,43,713,30720,-0.0064176510568358935,0.0003,0.087841796875,0.2,140,0.0013300120519488701,0.009290582,-0.4927825927734375,0.00494775827974081,-2.656199621409178,0.9122588634490967,4989.0,-0.028992333333333314
16,45,712,32768,-0.0027658711886033418,0.0003,0.127783203125,0.2,150,0.0009596310233973782,0.013256608,-0.5861973762512207,-0.009445976465940475,-2.647296595573425,0.906503438949585,4989.0,-0.028992333333333314
17,48,711,34816,0.0004943750624079257,0.0003,0.132275390625,0.2,160,0.001256477566130343,0.016871084,-0.44502198696136475,-0.03240430727601051,-2.637235713005066,0.9031540155410767,4989.0,-0.028992333333333314
18,51,710,36864,-0.0029269904305692764,0.0003,0.150439453125,0.2,170,0.0010830761717443237,0.01573636,-0.4028966426849365,-0.016339905560016632,-2.614777582138777,0.888850212097168,4989.0,-0.05784842857142856
19,54,709,38912,-0.0027499069401528686,0.0003,0.136474609375,0.2,180,0.0010557474392044242,0.013030448,-0.2296161651611328,-0.0073678744956851006,-2.589215571433306,0.8801330327987671,4989.0,-0.05784842857142856
20,57,707,40960,-0.00726654905884061,0.0003,0.123828125,0.2,190,0.0015892301855274127,0.014886528,-0.11030375957489014,-0.012298810295760632,-2.581137063354254,0.883365273475647,4989.0,-0.20430900000000002
21,60,707,43008,-0.00464239431603346,0.0003,0.146240234375,0.2,200,0.0008184630059986375,0.014504014,-0.3115234375,-0.003099788911640644,-2.5828205652534963,0.8786038756370544,4989.0,-0.20430900000000002
22,63,706,45056,-0.0011414936685469,0.0003,0.137939453125,0.2,210,0.0007037743217551906,0.018600807,-0.4173988103866577,-0.01793389394879341,-2.561888270825148,0.868688702583313,4989.0,-0.22907344444444444
23,66,707,47104,-0.0028103675052989275,0.0003,0.145703125,0.2,220,0.0013495796418283134,0.014542727,-0.08344650268554688,0.020370392128825188,-2.548791892826557,0.8642673492431641,4989.0,-0.22907344444444444
24,69,707,49152,-0.002450427817529999,0.0003,0.122802734375,0.2,230,0.0007267628412591876,0.012101535,-0.2371070384979248,0.01610291190445423,-2.5320479914546015,0.8569989204406738,4989.0,-0.22907344444444444
25,72,707,51200,-0.001716150707216002,0.0003,0.16513671875,0.2,240,0.001117741082998691,0.019574713,-0.16262292861938477,-0.0019619623199105263,-2.5327784314751627,0.8625115156173706,4989.0,-0.2503089
