time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl
2048,-0.051612000000000005,1120,1,1,260.0,,,,,,,,,,,
4096,-0.018158666666666663,997,4,2,260.0,0.0003,-0.031017949804663658,-26.122390747070312,0.2,0.00802953509737563,10,0.030419921875,-0.005281422441476025,1.0026936531066895,-2.8401445031166075,0.0050131464
6144,-0.009009478260869563,954,6,3,260.0,0.0003,-0.002824183087795973,-1.959639072418213,0.2,0.0015656433119147551,20,0.029345703125,-0.003959086706163362,1.00022554397583,-2.841099148988724,0.0037655586
8192,-0.00459490322580645,938,8,4,260.0,0.0003,-0.005089185666292906,-0.6580687761306763,0.2,0.0010463617183631869,30,0.06298828125,-0.005867984393262304,1.0062992572784424,-2.8460869930684565,0.006283122
10240,-0.010334923076923071,932,10,5,260.0,0.0003,-0.015233352780342102,-0.41695117950439453,0.2,0.0007993817329406738,40,0.022021484375,-0.002639709231152665,1.0135555267333984,-2.858655531704426,0.003987394
12288,-0.0006840851063829773,927,13,6,260.0,0.0003,-0.024872727692127228,-0.20166897773742676,0.2,0.0005825589825690259,50,0.049169921875,-0.007805930577160325,1.0242769718170166,-2.8771961450576784,0.0066596093
14336,-0.00591030909090909,924,15,7,260.0,0.0003,-0.008110074326395988,-0.12162673473358154,0.2,0.0006397027590537618,60,0.0283203125,-0.004981308497372083,1.0280733108520508,-2.8920138768851755,0.005706489
16384,-0.0001809047619047607,918,17,8,260.0,0.0003,0.00047336885472759604,-0.023844242095947266,0.2,0.0005961375367405708,70,0.034228515625,-0.007441007430315949,1.028120994567871,-2.8935132667422296,0.005735925
18432,0.0003618428571428567,911,20,9,260.0,0.0003,-0.01594974286854267,0.07440966367721558,0.2,0.0005050450718044885,80,0.042138671875,-0.006344748983974568,1.0278090238571167,-2.893699041754007,0.0057143033
20480,0.0034468461538461545,910,22,10,260.0,0.0003,-0.01731237769126892,-0.20797181129455566,0.2,0.0003943467883800622,90,0.0498046875,-0.004411103136953897,1.0262298583984375,-2.8904309928417207,0.004496664
22528,0.004574802325581395,907,24,11,260.0,0.0003,-0.0079342657700181,-0.12154924869537354,0.2,0.0003994791890363558,100,0.05947265625,-0.00551608424866572,1.024285912513733,-2.8861792005598543,0.0073710177
24576,0.012071914893617018,903,27,12,260.0,0.0003,-0.018379295244812965,-0.07456004619598389,0.2,0.00044345050901029026,110,0.038134765625,-0.003705546326818876,1.0144495964050293,-2.874468985199928,0.004868543
26624,0.01945694,904,29,13,260.0,0.0003,0.017112581059336662,-0.03758668899536133,0.2,0.0004296413387692155,120,0.0458984375,-0.0065604142815573144,1.018272876739502,-2.8702668860554694,0.0066296253
28672,0.020829319999999995,906,31,14,260.0,0.0003,-0.024150334298610687,-0.08448278903961182,0.2,0.0004180725580226863,130,0.04609375,-0.004279378728824668,1.0165655612945557,-2.868751870840788,0.0059265364
30720,0.028075889999999996,908,33,15,260.0,0.0003,-0.012206940911710262,-0.05553627014160156,0.2,0.00041966085582316736,140,0.066064453125,-0.006864406689419411,1.019545316696167,-2.8722460895776747,0.006793815
