time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/std,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/learning_rate
1,2048,260.0,1069,1,-0.066511,,,,,,,,,,,
2,4096,260.0,980,4,-0.025390199999999998,-0.00658060762216337,-2.8306214533746243,0.006937212,0.9952314496040344,-7.841630935668945,10,0.05830078125,-0.010744024068117142,0.0207869728692458,0.2,0.0003
3,6144,260.0,951,6,-0.01621091304347826,-0.004878523564548232,-2.820818737894297,0.0046143136,0.987365186214447,-0.17118465900421143,20,0.041748046875,-0.004203923046588898,0.008534927232540212,0.2,0.0003
4,8192,260.0,936,8,0.013307741935483864,-0.008596706777461804,-2.8023403011262418,0.007555956,0.977867841720581,0.02596759796142578,30,0.05859375,0.010687517002224922,0.00519170152474544,0.2,0.0003
5,10240,260.0,928,11,0.015592538461538462,-0.003910904171061702,-2.776215662807226,0.0061155455,0.9628159999847412,0.09557807445526123,40,0.032470703125,-0.017517726868391037,0.003107241709221853,0.2,0.0003
6,12288,260.0,917,13,0.02809910638297872,-0.005974993604468182,-2.7611348912119866,0.004691975,0.9612587690353394,0.11840695142745972,50,0.0333984375,-0.010553905740380287,0.002055971653680899,0.2,0.0003
7,14336,260.0,915,15,0.03400707272727273,-0.0077699211920844394,-2.758932127803564,0.0062105963,0.9611611366271973,0.1519567370414734,60,0.056201171875,-0.027873951941728592,0.0014383048730451265,0.2,0.0003
8,16384,260.0,915,17,0.02894787301587301,-0.0055865629692561924,-2.7474535547196863,0.0059188367,0.952461838722229,0.12273472547531128,70,0.0529296875,-0.0026683739852160215,0.0012783754616975784,0.2,0.0003
9,18432,260.0,912,20,0.020646142857142852,-0.006728868011850864,-2.7374857775866985,0.007012222,0.9490907192230225,0.08596837520599365,80,0.061767578125,-0.01738722436130047,0.001021115464027389,0.2,0.0003
10,20480,260.0,913,22,0.02622580769230769,-0.0071670832141535355,-2.733992502093315,0.005151549,0.9505993127822876,0.0006340146064758301,90,0.048681640625,-0.01485985703766346,0.0007297341871890239,0.2,0.0003
11,22528,260.0,911,24,0.025576430232558133,-0.005169359911815263,-2.7246469758450984,0.0054745055,0.9406418800354004,0.017564356327056885,100,0.055322265625,-0.0018173378193750978,0.0009750443654411356,0.2,0.0003
12,24576,260.0,910,26,0.029905478723404245,-0.007538437857874669,-2.7111386612057684,0.006516303,0.9380319714546204,0.019875645637512207,110,0.055859375,-0.002761809155344963,0.0007077933298205608,0.2,0.0003
13,26624,260.0,909,29,0.018796419999999994,-0.005404200209886767,-2.694023563712835,0.0044740285,0.9258239269256592,0.019776582717895508,120,0.029345703125,0.012680333107709885,0.0007899899792391807,0.2,0.0003
14,28672,260.0,909,31,0.02324058,-0.005381590759498067,-2.690524282306433,0.005393237,0.9338122606277466,0.05549806356430054,130,0.03623046875,-0.009126832708716393,0.000693803349713562,0.2,0.0003
15,30720,260.0,908,33,0.028156830000000004,-0.006785832656896673,-2.691242379695177,0.007491741,0.9264733791351318,0.06296837329864502,140,0.052197265625,-0.004543863236904144,0.0007128584958991269,0.2,0.0003
