time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/std,train/clip_fraction
1,2048,-0.056517333333333336,1,1088,206.0,,,,,,,,,,,
4,4096,0.0017405789473684183,2,984,206.0,-0.004580383724533022,10,0.0003,0.004675753,-36.72278594970703,0.01148569619981572,-0.008405269123613834,-2.8522466592490674,0.2,1.0122005939483643,0.0271484375
6,6144,0.002856103448275862,3,967,206.0,-0.006608030485222116,20,0.0003,0.0044565657,-1.4847509860992432,0.0014290472769062034,-0.011891566216945648,-2.869304770231247,0.2,1.0161460638046265,0.03681640625
8,8192,0.009271153846153842,4,959,206.0,-0.005866640483145602,30,0.0003,0.005845368,-0.4917585849761963,0.000943454774460406,0.008849098347127438,-2.856795446574688,0.2,1.003889560699463,0.036572265625
10,10240,0.016120897959183672,5,955,206.0,-0.008020329897408373,40,0.0003,0.006614336,-0.28513216972351074,0.0007160943250710261,-0.03294399008154869,-2.846344342082739,0.2,1.003121018409729,0.05947265625
12,12288,0.020386966101694912,6,951,206.0,-0.00604692232736852,50,0.0003,0.006464202,-0.19572949409484863,0.0006403990353646804,-0.008004723116755486,-2.826916541159153,0.2,0.9881414771080017,0.045849609375
15,14336,0.018925927536231884,7,951,206.0,-0.007538831364945509,60,0.0003,0.005576872,-0.20617330074310303,0.000562498306226189,0.015036031603813171,-2.8107745237648487,0.2,0.9848834872245789,0.044091796875
17,16384,0.025198417721518984,8,950,206.0,-0.009004430077038706,70,0.0003,0.006423018,-0.07869088649749756,0.0005390862473177549,-0.028057491406798363,-2.793296118825674,0.2,0.9726684093475342,0.071044921875
19,18432,0.032445853932584263,9,949,206.0,-0.009296060033375398,80,0.0003,0.006421417,-0.12328112125396729,0.0006720526831486495,0.012462528422474861,-2.7795392237603664,0.2,0.9676672220230103,0.061083984375
21,20480,0.03641978787878787,10,949,206.0,-0.008587412259657867,90,0.0003,0.007413422,-0.05088365077972412,0.0005058934392309311,0.014191072434186935,-2.754181382805109,0.2,0.9524900913238525,0.059814453125
23,22528,0.04532277,11,949,206.0,-0.006327497679740191,100,0.0003,0.005868337,0.0008772611618041992,0.000511555317643797,-0.017969664186239243,-2.735419188439846,0.2,0.9459826350212097,0.05439453125
25,24576,0.048679340000000015,12,949,206.0,-0.00872974170051748,110,0.0003,0.0063343383,-0.017915964126586914,0.0004500738099523005,-0.015947116538882256,-2.723332276940346,0.2,0.9420902729034424,0.05234375
28,26624,0.056982569999999996,13,949,206.0,-0.008776783276698553,120,0.0003,0.0063353796,-0.034820556640625,0.0004387642487017729,-0.024572985246777534,-2.725107064843178,0.2,0.9483822584152222,0.046337890625
30,28672,0.06697972000000002,14,945,206.0,-0.008561664806620684,130,0.0003,0.0060590543,0.001841723918914795,0.0004665250978177937,-0.014302998781204224,-2.7414812579751016,0.2,0.95597243309021,0.048828125
32,30720,0.07471177000000001,15,943,206.0,-0.007558238563069608,140,0.0003,0.006611429,0.06221991777420044,0.0006022152874720632,-0.0074354661628603935,-2.753526672720909,0.2,0.9602346420288086,0.061083984375
