time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/learning_rate,train/n_updates
8192,7,1248.0,623.769464,1,1065,,,,,,,,,,,
16384,17,2495.0,1247.5136043333334,2,946,0.3205188583946438,0.005839505,-0.15367698669433594,0.006432484835386276,-0.004541823364706943,0.2,0.041064453125,-2.8214871801435946,0.9847493171691895,0.0003,10
24576,26,3118.5,1559.21623625,3,928,0.0409656245734368,0.0051567154,0.20086532831192017,-0.025475163012742996,-0.003790559589106124,0.2,0.04376220703125,-2.794407852739096,0.9746404886245728,0.0003,20
32768,35,3742.0,1870.7942610000002,4,921,0.031240040558805048,0.003991498,-0.06625580787658691,-0.03307315334677696,-0.0023555576815851966,0.2,0.045166015625,-2.7853445414453746,0.9702289700508118,0.0003,30
40960,44,4053.75,2026.843636125,5,917,0.043511949819367145,0.0051634237,0.004831910133361816,-0.019715595990419388,-0.0027055199363530845,0.2,0.04117431640625,-2.7853904347866774,0.9763899445533752,0.0003,40
49152,53,4157.666666666667,2078.8037924444448,6,913,0.052128134500526356,0.005581497,-0.020027875900268555,0.025390176102519035,-0.003323042748888838,0.2,0.05953369140625,-2.793379804864526,0.9804879426956177,0.0003,50
57344,62,4308.818181818182,2154.395602181818,7,910,0.03555375894557074,0.0051925993,-0.016051888465881348,0.04449131339788437,-0.003278823169239331,0.2,0.05067138671875,-2.792435500025749,0.9748265147209167,0.0003,60
65536,72,4413.461538461538,2206.7084904615385,8,907,0.07382416194395773,0.0074267345,0.011599063873291016,-0.01869729720056057,-0.0036992970788560344,0.2,0.06409912109375,-2.8169635448604824,0.9969620704650879,0.0003,70
73728,81,4454.571428571428,2227.232246285714,9,905,0.08556113071663277,0.006608991,0.0394938588142395,0.00015071826055645943,-0.0038773587191826666,0.2,0.08021240234375,-2.839404500834644,1.0011932849884033,0.0003,80
81920,90,4521.375,2260.686677875,10,904,0.05058936846526194,0.0060868673,0.03484141826629639,-0.007051827386021614,-0.0040311193235538665,0.2,0.06553955078125,-2.8452410807833077,1.0051954984664917,0.0003,90
90112,99,4573.333333333333,2286.7328685,11,903,0.10639231374589145,0.0064020543,0.05097615718841553,0.009148435667157173,-0.0026444749937581946,0.2,0.06502685546875,-2.8706643169745805,1.0230393409729004,0.0003,100
98304,108,4595.210526315789,2297.6844584210526,12,902,0.11709289248356072,0.006746787,0.06083279848098755,-0.004996475763618946,-0.0037591971682559232,0.2,0.06953125,-2.9117762809619308,1.0475513935089111,0.0003,110
106496,118,4632.714285714285,2316.4795742857145,13,900,0.0636066449998907,0.0057873814,0.08249205350875854,0.09105493873357773,-0.003592306159407599,0.2,0.05152587890625,-2.916154420375824,1.0370793342590332,0.0003,120
114688,127,4648.909090909091,2324.5912600454544,14,900,0.1295287902083146,0.0075009246,0.11036676168441772,-0.008493264205753803,-0.0027116898796521126,0.2,0.07041015625,-2.907629771158099,1.034411907196045,0.0003,130
122880,136,4677.25,2338.7726626666667,15,899,0.07215687341349622,0.00734925,0.10197103023529053,0.2195616513490677,-0.003808775826837518,0.2,0.06966552734375,-2.9044947938993575,1.0332670211791992,0.0003,140
131072,145,4701.2307692307695,2350.7717152692308,16,899,0.12997169325271898,0.006245573,0.08850419521331787,-0.023097313940525055,-0.0028632119196117856,0.2,0.05712890625,-2.906680073402822,1.034175157546997,0.0003,150
139264,154,4711.888888888889,2356.133007851852,17,899,0.1491303435741429,0.006407218,0.10196584463119507,0.016784217208623886,-0.0018539994813181692,0.2,0.0630126953125,-2.902950356528163,1.0329108238220215,0.0003,160
147456,163,4731.0,2365.6892301034486,18,899,0.0792831602604565,0.0071402313,0.17401552200317383,-0.013138813897967339,-0.002975172758669942,0.2,0.06881103515625,-2.891979298740625,1.0222384929656982,0.0003,170
155648,172,4747.645161290323,2374.0009814193554,19,899,0.15097197217874053,0.0072017238,0.1856411099433899,-0.01228474173694849,-0.0033009133676387137,0.2,0.08065185546875,-2.875833909958601,1.0176966190338135,0.0003,180
163840,182,4755.1875,2377.7681735,20,899,0.1590314268392831,0.007926069,0.1925244927406311,0.013124563731253147,-0.003933085811149794,0.2,0.0803955078125,-2.8865336565300823,1.0263757705688477,0.0003,190
172032,191,4768.941176470588,2384.6244265294117,21,898,0.08451138592899951,0.007311312,0.22544342279434204,0.0639716386795044,-0.0033746626919310073,0.2,0.07425537109375,-2.884450709633529,1.0225856304168701,0.0003,200
180224,200,4781.166666666667,2390.7482025555555,22,898,0.15718805984834033,0.0074168416,0.20957791805267334,0.5019349455833435,-0.0033325348907965236,0.2,0.07740478515625,-2.896161503717303,1.0315048694610596,0.0003,210
188416,210,4786.783783783784,2393.5715437297295,23,897,0.16414225628141138,0.006598668,0.20447945594787598,0.02458786591887474,-0.003578082434250973,0.2,0.0615966796875,-2.9032728757709263,1.0327322483062744,0.0003,220
196608,219,4797.153846153846,2398.7415004871796,24,896,0.08594709494500422,0.0056204917,0.30082011222839355,0.01907343789935112,-0.00401924267935101,0.2,0.06634521484375,-2.8942759819328785,1.025547742843628,0.0003,230
204800,228,4806.512195121952,2403.4460660731706,25,896,0.16297817151753408,0.0071491543,0.3345736265182495,0.02804134041070938,-0.0025480626954959007,0.2,0.0693603515625,-2.891682687588036,1.0273768901824951,0.0003,240
212992,237,4810.857142857143,2405.6026848809524,26,896,0.16691506820097857,0.006250716,0.323228657245636,0.02223966270685196,-0.002989659503509756,0.2,0.0646728515625,-2.8924842089414597,1.0276893377304077,0.0003,250
