time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction
8192,1248.0,1,7,1068,623.994774,,,,,,,,,,,
16384,2495.0,2,16,969,1247.4346723333333,0.0037443521,0.27008354663848877,0.37959675639576745,0.0003,0.1078575849533081,0.998012363910675,-2.835808871127665,10,0.2,-0.0028218308219948086,0.0246826171875
24576,3118.5,3,26,943,1559.2603534999998,0.004642698,0.016686122864484787,0.06909332957293372,0.0003,0.5904213786125183,0.9896025657653809,-2.8195756217464805,20,0.2,-0.0023373740179522427,0.03419189453125
32768,3742.0,4,35,931,1870.996465833333,0.005051154,-0.0042677829042077065,0.04582472288384452,0.0003,0.44275057315826416,0.9829927682876587,-2.8047207653522492,30,0.2,-0.002494504852074897,0.0369384765625
40960,4053.75,5,44,924,2026.8580511249997,0.0046833227,0.001566433347761631,0.04754616939972038,0.0003,0.3081151247024536,0.9772672653198242,-2.795832053385675,40,0.2,-0.0027489030482684028,0.0421630859375
49152,4157.666666666667,6,53,919,2078.8153479999996,0.0036948689,-0.007455211132764816,0.05269848374027788,0.0003,0.09954315423965454,0.9757193326950073,-2.787548666447401,50,0.2,-0.0026759517269965725,0.03895263671875
57344,4308.818181818182,7,62,917,2154.4020459090907,0.0054426077,-2.9033049941062927e-05,0.0371138603604777,0.0003,-0.07949042320251465,0.9742491245269775,-2.7871976722031833,60,0.2,-0.0033627461103606037,0.04068603515625
65536,4413.461538461538,8,71,914,2206.7453699999996,0.0061528636,-0.00766016636043787,0.07266170544280612,0.0003,0.03984034061431885,0.9737765789031982,-2.785612032748759,70,0.2,-0.003613510752620641,0.0608642578125
73728,4454.571428571428,9,80,913,2227.3139115714284,0.006652849,0.13813595473766327,0.08549287810637907,0.0003,0.03689032793045044,0.978155255317688,-2.794280279614031,80,0.2,-0.003350561959814513,0.05810546875
81920,4521.375,10,89,912,2260.6980715624995,0.0054350244,0.052603673189878464,0.051580044538604854,0.0003,0.019188225269317627,0.9903125762939453,-2.8085911106318235,90,0.2,-0.0038569791220652407,0.0533447265625
90112,4573.333333333333,11,98,910,2286.6964227222215,0.005577633,-0.0031991861760616302,0.1065737794566303,0.0003,0.04504448175430298,0.9851022362709045,-2.8127572247758508,100,0.2,-0.003791450630524196,0.06260986328125
98304,4595.210526315789,12,108,909,2297.6352751052627,0.005944091,-0.00257758772931993,0.11746801767749275,0.0003,0.08154189586639404,0.9887820482254028,-2.8115465054288507,110,0.2,-0.00286247894873668,0.06304931640625
106496,4632.714285714285,13,117,908,2316.4017768095237,0.005702265,-0.01948985457420349,0.0651582787910229,0.0003,0.07079249620437622,0.9862722754478455,-2.8149122169241307,120,0.2,-0.0032034432457294314,0.04971923828125
114688,4648.909090909091,14,126,907,2324.509936681818,0.006191368,0.2383599579334259,0.13019777133631577,0.0003,0.10148656368255615,0.9973691701889038,-2.8262713311240075,130,0.2,-0.001756079298320401,0.05482177734375
122880,4677.25,15,135,907,2338.6337345416664,0.0064494084,0.05365610495209694,0.07425390734952089,0.0003,0.09420078992843628,0.9864708185195923,-2.81556948274374,140,0.2,-0.004077520359351184,0.06798095703125
131072,4701.2307692307695,16,144,906,2350.5936457692305,0.006682982,-0.009016751311719418,0.13142347931971016,0.0003,0.08702713251113892,0.978184700012207,-2.8016511404886844,150,0.2,-0.004419698638957925,0.0705078125
139264,4711.888888888889,17,153,905,2355.889555333333,0.006494865,0.12448948621749878,0.15107547746902128,0.0003,0.1319599151611328,0.9852264523506165,-2.805213102325797,160,0.2,-0.0018115874907380202,0.0631591796875
147456,4731.0,18,162,905,2365.4423919310348,0.005961109,-0.004657946527004242,0.08224408389833116,0.0003,0.10797238349914551,0.9812246561050415,-2.801361453719437,170,0.2,-0.0026238166727125646,0.0585205078125
155648,4747.645161290323,19,171,905,2373.7614612258067,0.008124084,0.13929739594459534,0.15179525292969628,0.0003,0.14695745706558228,0.9859309196472168,-2.8053323140367867,180,0.2,-0.003665750732034212,0.0842529296875
163840,4755.1875,20,181,904,2377.5260318125,0.0062036687,0.020219724625349045,0.1635591147125524,0.0003,0.17539137601852417,0.9833780527114868,-2.807999467290938,190,0.2,-0.0032055808951554354,0.06788330078125
172032,4768.941176470588,21,190,904,2384.3876814705886,0.007370809,0.014661651104688644,0.08639909121502569,0.0003,0.1687476634979248,0.9721288681030273,-2.7920163951814176,200,0.2,-0.003730850639112759,0.0723388671875
180224,4781.166666666667,22,199,903,2390.4914346111113,0.0065092077,0.003843014594167471,0.15911973607653634,0.0003,0.20452213287353516,0.9795278310775757,-2.7896456085145473,210,0.2,-0.004116635332684382,0.08123779296875
188416,4786.783783783784,23,208,903,2393.293182675676,0.005928673,-0.009030671790242195,0.16650459571646933,0.0003,0.24822163581848145,0.982986330986023,-2.7984666522592305,220,0.2,-0.0028687048450592558,0.07396240234375
196608,4797.153846153846,24,217,902,2398.4783276410258,0.007923648,0.0006368949543684721,0.08770875947884633,0.0003,0.26739639043807983,0.9763216972351074,-2.7907730093225838,230,0.2,-0.003815847171790665,0.0781005859375
204800,4806.512195121952,25,227,902,2403.154524804878,0.0074660876,0.11948707699775696,0.159583840248888,0.0003,0.27963292598724365,0.9754549860954285,-2.788096589408815,240,0.2,-0.003205241337491316,0.08148193359375
212992,4810.857142857143,26,236,901,2405.3349628095234,0.006919558,0.037032730877399445,0.16874104722955963,0.0003,0.2683171033859253,0.9866301417350769,-2.801025234349072,250,0.2,-0.002486454346217215,0.0787353515625
221184,4818.954545454545,27,245,901,2409.3745243863636,0.00683748,0.053973469883203506,0.08876885896406747,0.0003,0.24456077814102173,0.9819022417068481,-2.804540706239641,260,0.2,-0.00533709671744873,0.06988525390625
229376,4822.733333333334,28,254,901,2411.251448955555,0.008770643,0.0015368787571787834,0.16570859821877093,0.0003,0.25826507806777954,0.9848470687866211,-2.806947822496295,270,0.2,-0.003798044471477624,0.0848388671875
237568,4829.808510638298,29,263,901,2414.7911199574464,0.006647707,0.009813304990530014,0.09426019689726672,0.0003,0.22923660278320312,0.9799813628196716,-2.804711576551199,280,0.2,-0.004881450542961829,0.06793212890625
